,raw_time,raw_win_pct,clean_time,NE_win_pct
0,14:25 - 1st),ARI 70.2%,35,29.799999999999997
1,13:45 - 1st),ARI 67.4%,75,32.599999999999994
2,13:40 - 1st),ARI 65.2%,80,34.8
3,13:03 - 1st),ARI 63.4%,117,36.6
4,11:59 - 1st),ARI 62.4%,181,37.6
5,11:47 - 1st),ARI 65.3%,193,34.7
6,11:41 - 1st),ARI 66.5%,199,33.5
7,11:02 - 1st),ARI 60.6%,238,39.4
8,10:29 - 1st),ARI 65.8%,271,34.2
9,10:01 - 1st),ARI 58.9%,299,41.1
10,9:30 - 1st) ,ARI 61.1%,330,38.9
11,8:47 - 1st) ,ARI 56.9%,373,43.1
12,8:23 - 1st) ,ARI 56.9%,397,43.1
13,7:34 - 1st) ,NE 55.2%,446,55.2
14,7:29 - 1st) ,ARI 50.9%,451,49.1
15,7:02 - 1st) ,NE 51.3%,478,51.3
16,6:26 - 1st) ,NE 58.2%,514,58.2
17,6:18 - 1st) ,NE 56.8%,522,56.8
18,6:12 - 1st) ,NE 57.1%,528,57.1
19,5:40 - 1st) ,NE 57.5%,560,57.5
20,5:03 - 1st) ,NE 57.8%,597,57.8
21,4:57 - 1st) ,NE 62.7%,603,62.7
22,4:27 - 1st) ,NE 65.0%,633,65.0
23,3:50 - 1st) ,NE 62.8%,670,62.8
24,3:18 - 1st) ,NE 62.2%,702,62.2
25,2:40 - 1st) ,NE 67.7%,740,67.7
26,2:02 - 1st) ,NE 63.6%,778,63.6
27,1:56 - 1st) ,NE 67.4%,784,67.4
28,1:10 - 1st) ,NE 63.0%,830,63.0
29,1:00 - 1st) ,NE 66.4%,840,66.4
30,0:52 - 1st) ,NE 62.2%,848,62.2
31,0:08 - 1st) ,NE 67.3%,892,67.3
32,15:00 - 2nd),NE 65.1%,900,65.1
33,14:22 - 2nd),NE 60.1%,938,60.1
34,13:58 - 2nd),NE 63.8%,962,63.8
35,13:19 - 2nd),NE 59.8%,1001,59.8
36,12:40 - 2nd),NE 70.7%,1040,70.7
37,12:30 - 2nd),NE 71.2%,1050,71.2
38,12:22 - 2nd),NE 70.5%,1058,70.5
39,11:53 - 2nd),NE 69.0%,1087,69.0
40,11:48 - 2nd),NE 74.9%,1092,74.9
41,11:14 - 2nd),NE 72.4%,1126,72.4
42,11:10 - 2nd),NE 75.4%,1130,75.4
43,10:32 - 2nd),NE 65.0%,1168,65.0
44,10:26 - 2nd),NE 72.0%,1174,72.0
45,9:21 - 2nd) ,NE 58.0%,1239,58.0
46,8:07 - 2nd) ,NE 61.8%,1313,61.8
47,7:21 - 2nd) ,NE 67.1%,1359,67.1
48,6:15 - 2nd) ,NE 55.4%,1425,55.4
49,5:36 - 2nd) ,NE 55.5%,1464,55.5
50,4:55 - 2nd) ,NE 56.7%,1505,56.7
51,4:06 - 2nd) ,NE 55.4%,1554,55.4
52,4:00 - 2nd) ,NE 53.9%,1560,53.9
53,3:26 - 2nd) ,ARI 60.4%,1594,39.6
54,2:00 - 2nd) ,ARI 52.5%,1680,47.5
55,1:50 - 2nd) ,NE 50.7%,1690,50.7
56,1:39 - 2nd) ,NE 55.2%,1701,55.2
57,1:34 - 2nd) ,NE 56.3%,1706,56.3
58,1:24 - 2nd) ,NE 53.9%,1716,53.9
59,0:47 - 2nd) ,NE 53.0%,1753,53.0
60,0:33 - 2nd) ,ARI 58.7%,1767,41.3
61,0:27 - 2nd) ,NE 51.8%,1773,51.8
62,0:15 - 2nd) ,NE 55.7%,1785,55.7
63,15:00 - 3rd),NE 55.4%,1800,55.4
64,14:24 - 3rd),NE 57.4%,1836,57.4
65,13:02 - 3rd),NE 71.3%,1918,71.3
66,10:00 - 3rd),NE 78.6%,2100,78.6
67,9:21 - 3rd) ,NE 77.1%,2139,77.1
68,8:45 - 3rd) ,NE 77.4%,2175,77.4
69,7:58 - 3rd) ,NE 81.2%,2222,81.2
70,7:18 - 3rd) ,NE 88.9%,2262,88.9
71,7:14 - 3rd) ,NE 84.5%,2266,84.5
72,7:01 - 3rd) ,NE 84.3%,2279,84.3
73,6:30 - 3rd) ,NE 74.9%,2310,74.9
74,6:20 - 3rd) ,NE 64.9%,2320,64.9
75,5:41 - 3rd) ,NE 63.2%,2359,63.2
76,4:58 - 3rd) ,NE 64.1%,2402,64.1
77,4:29 - 3rd) ,NE 58.2%,2431,58.2
78,3:51 - 3rd) ,NE 63.0%,2469,63.0
79,3:05 - 3rd) ,NE 62.6%,2515,62.6
80,2:29 - 3rd) ,NE 61.6%,2551,61.6
81,1:46 - 3rd) ,NE 66.7%,2594,66.7
82,1:12 - 3rd) ,NE 63.9%,2628,63.9
83,0:27 - 3rd) ,NE 66.5%,2673,66.5
84,15:00 - 4th),NE 73.4%,2700,73.4
85,14:57 - 4th),NE 71.3%,2703,71.3
86,14:14 - 4th),NE 73.9%,2746,73.9
87,13:27 - 4th),NE 74.5%,2793,74.5
88,13:18 - 4th),NE 67.2%,2802,67.2
89,12:50 - 4th),NE 65.5%,2830,65.5
90,12:35 - 4th),NE 73.2%,2845,73.2
91,12:29 - 4th),NE 72.8%,2851,72.8
92,11:49 - 4th),NE 69.3%,2891,69.3
93,11:13 - 4th),NE 68.6%,2927,68.6
94,11:08 - 4th),NE 52.8%,2932,52.8
95,10:18 - 4th),NE 61.0%,2982,61.0
96,10:13 - 4th),NE 63.8%,2987,63.8
97,10:08 - 4th),ARI 51.1%,2992,48.9
98,9:46 - 4th) ,ARI 63.1%,3014,36.9
99,9:07 - 4th) ,ARI 61.6%,3053,38.4
100,9:04 - 4th) ,ARI 52.4%,3056,47.6
101,8:23 - 4th) ,ARI 58.3%,3097,41.7
102,7:43 - 4th) ,ARI 50.4%,3137,49.6
103,6:58 - 4th) ,NE 50.7%,3182,50.7
104,5:39 - 4th) ,NE 50.9%,3261,50.9
105,5:35 - 4th) ,NE 63.1%,3265,63.1
106,4:45 - 4th) ,NE 61.4%,3315,61.4
107,4:37 - 4th) ,NE 62.8%,3323,62.8
108,4:33 - 4th) ,NE 57.5%,3327,57.5
109,3:44 - 4th) ,NE 67.9%,3376,67.9
110,3:38 - 4th) ,NE 63.0%,3382,63.0
111,3:15 - 4th) ,NE 64.7%,3405,64.7
112,2:42 - 4th) ,NE 50.1%,3438,50.1
113,2:15 - 4th) ,NE 58.1%,3465,58.1
114,2:06 - 4th) ,ARI 59.7%,3474,40.3
115,1:55 - 4th) ,NE 70.3%,3485,70.3
116,1:51 - 4th) ,NE 78.4%,3489,78.4
117,1:10 - 4th) ,NE 50.5%,3530,50.5
118,0:41 - 4th) ,NE 100%,3559,100.0
119,0:36 - 4th) ,NE 100%,3564,100.0
120,0:00 - 4th) ,NE 100%,3600,100.0
