,raw_time,raw_win_pct,clean_time,BUF_win_pct
0,14:57 - 1st),BAL 59.3%,3,40.7
1,14:32 - 1st),BAL 60.9%,28,39.1
2,14:01 - 1st),BAL 57.8%,59,42.2
3,13:35 - 1st),BAL 61.1%,85,38.9
4,12:54 - 1st),BAL 54.7%,126,45.3
5,12:05 - 1st),BUF 52.0%,175,52.0
6,11:52 - 1st),BAL 53.9%,188,46.1
7,11:44 - 1st),BAL 56.3%,196,43.7
8,11:02 - 1st),BAL 60.0%,238,40.0
9,10:15 - 1st),BAL 61.8%,285,38.2
10,9:42 - 1st) ,BAL 61.5%,318,38.5
11,9:33 - 1st) ,BAL 59.6%,327,40.4
12,9:05 - 1st) ,BAL 61.8%,355,38.2
13,8:31 - 1st) ,BAL 58.3%,389,41.7
14,8:07 - 1st) ,BAL 56.1%,413,43.9
15,7:45 - 1st) ,BAL 63.3%,435,36.7
16,7:11 - 1st) ,BAL 60.0%,469,40.0
17,7:05 - 1st) ,BUF 50.3%,475,50.3
18,7:00 - 1st) ,BAL 50.6%,480,49.4
19,6:19 - 1st) ,BAL 53.2%,521,46.8
20,5:35 - 1st) ,BAL 57.9%,565,42.1
21,5:22 - 1st) ,BAL 54.5%,578,45.5
22,4:54 - 1st) ,BAL 62.6%,606,37.4
23,4:15 - 1st) ,BAL 61.9%,645,38.1
24,3:38 - 1st) ,BAL 64.3%,682,35.7
25,2:58 - 1st) ,BAL 67.0%,722,33.0
26,2:25 - 1st) ,BAL 65.7%,755,34.3
27,1:48 - 1st) ,BAL 60.6%,792,39.4
28,1:22 - 1st) ,BAL 59.4%,818,40.6
29,1:18 - 1st) ,BAL 59.0%,822,41.0
30,0:35 - 1st) ,BAL 65.9%,865,34.099999999999994
31,0:04 - 1st) ,BAL 63.7%,896,36.3
32,15:00 - 2nd),BAL 60.0%,900,40.0
33,14:32 - 2nd),BAL 63.1%,928,36.9
34,14:27 - 2nd),BAL 62.9%,933,37.1
35,13:42 - 2nd),BAL 67.3%,978,32.7
36,13:07 - 2nd),BAL 65.5%,1013,34.5
37,12:59 - 2nd),BAL 62.2%,1021,37.8
38,12:54 - 2nd),BAL 65.9%,1026,34.099999999999994
39,12:19 - 2nd),BAL 67.0%,1061,33.0
40,11:32 - 2nd),BAL 65.6%,1108,34.400000000000006
41,10:57 - 2nd),BAL 66.5%,1143,33.5
42,10:11 - 2nd),BAL 77.7%,1189,22.299999999999997
43,9:39 - 2nd) ,BAL 76.2%,1221,23.799999999999997
44,8:57 - 2nd) ,BAL 80.7%,1263,19.299999999999997
45,8:50 - 2nd) ,BAL 79.0%,1270,21.0
46,8:03 - 2nd) ,BAL 76.2%,1317,23.799999999999997
47,7:32 - 2nd) ,BAL 74.2%,1348,25.799999999999997
48,6:50 - 2nd) ,BAL 76.5%,1390,23.5
49,6:44 - 2nd) ,BAL 80.2%,1396,19.799999999999997
50,5:57 - 2nd) ,BAL 77.0%,1443,23.0
51,5:06 - 2nd) ,BAL 67.7%,1494,32.3
52,4:33 - 2nd) ,BAL 68.6%,1527,31.400000000000006
