,raw_time,raw_win_pct,clean_time,GB_win_pct
0,14:56 - 1st),GB 57.4%,4,57.4
1,14:16 - 1st),GB 55.7%,44,55.7
2,13:37 - 1st),GB 58.6%,83,58.6
3,13:30 - 1st),GB 59.4%,90,59.4
4,12:53 - 1st),GB 67.9%,127,67.9
5,12:41 - 1st),GB 64.4%,139,64.4
6,12:07 - 1st),GB 65.3%,173,65.3
7,11:29 - 1st),GB 62.8%,211,62.8
8,10:51 - 1st),GB 71.5%,249,71.5
9,10:33 - 1st),GB 72.4%,267,72.4
10,10:29 - 1st),GB 70.2%,271,70.2
11,9:36 - 1st) ,GB 76.7%,324,76.7
12,9:00 - 1st) ,GB 77.8%,360,77.8
13,8:49 - 1st) ,GB 72.1%,371,72.1
14,8:21 - 1st) ,GB 71.5%,399,71.5
15,7:52 - 1st) ,GB 75.0%,428,75.0
16,7:12 - 1st) ,GB 72.1%,468,72.1
17,6:43 - 1st) ,GB 78.1%,497,78.1
18,6:06 - 1st) ,GB 75.6%,534,75.6
19,5:56 - 1st) ,GB 73.6%,544,73.6
20,5:27 - 1st) ,GB 72.2%,573,72.2
21,5:21 - 1st) ,GB 69.8%,579,69.8
22,5:16 - 1st) ,GB 70.2%,584,70.2
23,5:04 - 1st) ,GB 63.1%,596,63.1
24,4:22 - 1st) ,GB 62.2%,638,62.2
25,3:40 - 1st) ,GB 59.1%,680,59.1
26,3:05 - 1st) ,GB 59.3%,715,59.3
27,2:27 - 1st) ,GB 54.7%,753,54.7
28,2:17 - 1st) ,GB 56.0%,763,56.0
29,2:10 - 1st) ,GB 55.4%,770,55.4
30,1:28 - 1st) ,GB 60.7%,812,60.7
31,0:46 - 1st) ,GB 62.1%,854,62.1
32,15:00 - 2nd),GB 53.3%,900,53.3
33,14:56 - 2nd),GB 51.2%,904,51.2
34,14:21 - 2nd),GB 53.8%,939,53.8
35,13:56 - 2nd),GB 50.2%,964,50.2
36,13:51 - 2nd),GB 51.4%,969,51.4
37,13:40 - 2nd),GB 57.9%,980,57.9
38,13:01 - 2nd),GB 59.3%,1019,59.3
39,12:55 - 2nd),GB 59.7%,1025,59.7
40,12:12 - 2nd),JAX 51.0%,1068,49.0
41,11:47 - 2nd),JAX 53.8%,1093,46.2
42,11:09 - 2nd),JAX 51.4%,1131,48.6
43,10:33 - 2nd),JAX 57.1%,1167,42.9
44,10:05 - 2nd),JAX 57.2%,1195,42.8
45,9:24 - 2nd) ,JAX 52.4%,1236,47.6
46,8:38 - 2nd) ,JAX 51.1%,1282,48.9
47,8:33 - 2nd) ,GB 51.5%,1287,51.5
48,7:48 - 2nd) ,GB 50.6%,1332,50.6
49,7:16 - 2nd) ,GB 53.0%,1364,53.0
50,6:49 - 2nd) ,GB 53.0%,1391,53.0
51,6:12 - 2nd) ,GB 56.9%,1428,56.9
52,5:34 - 2nd) ,GB 54.7%,1466,54.7
53,5:00 - 2nd) ,GB 58.3%,1500,58.3
54,4:27 - 2nd) ,GB 63.1%,1533,63.1
55,3:46 - 2nd) ,GB 62.6%,1574,62.6
56,3:05 - 2nd) ,GB 70.9%,1615,70.9
57,3:00 - 2nd) ,GB 66.0%,1620,66.0
58,2:31 - 2nd) ,GB 64.1%,1649,64.1
59,2:00 - 2nd) ,GB 58.5%,1680,58.5
60,1:52 - 2nd) ,GB 61.1%,1688,61.1
61,1:19 - 2nd) ,GB 62.3%,1721,62.3
62,1:09 - 2nd) ,JAX 60.9%,1731,39.1
63,1:02 - 2nd) ,GB 52.8%,1738,52.8
64,0:42 - 2nd) ,JAX 57.7%,1758,42.3
65,0:25 - 2nd) ,JAX 57.3%,1775,42.7
66,0:13 - 2nd) ,GB 70.9%,1787,70.9
67,15:00 - 3rd),GB 70.2%,1800,70.2
68,14:32 - 3rd),GB 68.3%,1828,68.3
69,13:58 - 3rd),GB 72.4%,1862,72.4
70,13:22 - 3rd),GB 69.9%,1898,69.9
71,13:08 - 3rd),GB 77.8%,1912,77.8
72,12:21 - 3rd),GB 76.5%,1959,76.5
73,11:44 - 3rd),GB 75.5%,1996,75.5
74,11:40 - 3rd),GB 81.5%,2000,81.5
75,11:20 - 3rd),GB 81.1%,2020,81.1
76,10:46 - 3rd),GB 79.5%,2054,79.5
77,10:40 - 3rd),GB 76.5%,2060,76.5
78,10:12 - 3rd),GB 77.3%,2088,77.3
79,9:33 - 3rd) ,GB 78.8%,2127,78.8
80,9:29 - 3rd) ,GB 69.0%,2131,69.0
81,8:54 - 3rd) ,GB 69.5%,2166,69.5
82,8:18 - 3rd) ,GB 67.0%,2202,67.0
83,7:41 - 3rd) ,GB 66.7%,2239,66.7
84,7:09 - 3rd) ,GB 67.3%,2271,67.3
85,6:30 - 3rd) ,GB 69.1%,2310,69.1
86,6:24 - 3rd) ,GB 72.6%,2316,72.6
87,6:15 - 3rd) ,GB 69.7%,2325,69.7
88,5:35 - 3rd) ,GB 71.1%,2365,71.1
89,5:00 - 3rd) ,GB 73.2%,2400,73.2
90,4:26 - 3rd) ,GB 71.9%,2434,71.9
91,3:41 - 3rd) ,GB 72.0%,2479,72.0
92,3:01 - 3rd) ,GB 75.9%,2519,75.9
93,2:24 - 3rd) ,GB 77.3%,2556,77.3
94,1:45 - 3rd) ,GB 74.2%,2595,74.2
95,1:36 - 3rd) ,GB 78.3%,2604,78.3
96,1:28 - 3rd) ,GB 76.6%,2612,76.6
97,0:56 - 3rd) ,GB 84.8%,2644,84.8
98,0:19 - 3rd) ,GB 84.4%,2681,84.4
99,15:00 - 4th),GB 86.3%,2700,86.3
100,14:54 - 4th),GB 88.0%,2706,88.0
101,14:12 - 4th),GB 88.4%,2748,88.4
102,13:31 - 4th),GB 80.4%,2789,80.4
103,12:47 - 4th),GB 82.6%,2833,82.6
104,12:01 - 4th),GB 81.2%,2879,81.2
105,11:52 - 4th),GB 86.8%,2888,86.8
106,11:10 - 4th),GB 78.9%,2930,78.9
107,10:45 - 4th),GB 78.0%,2955,78.0
108,10:10 - 4th),GB 78.6%,2990,78.6
109,9:29 - 4th) ,GB 86.7%,3031,86.7
110,8:45 - 4th) ,GB 77.6%,3075,77.6
111,8:17 - 4th) ,GB 81.4%,3103,81.4
112,8:07 - 4th) ,GB 87.4%,3113,87.4
113,7:29 - 4th) ,GB 75.5%,3151,75.5
114,6:50 - 4th) ,GB 75.5%,3190,75.5
115,6:07 - 4th) ,GB 78.7%,3233,78.7
116,6:01 - 4th) ,GB 92.0%,3239,92.0
117,5:12 - 4th) ,GB 82.0%,3288,82.0
118,5:05 - 4th) ,GB 61.4%,3295,61.4
119,4:13 - 4th) ,GB 81.9%,3347,81.9
120,3:28 - 4th) ,GB 73.4%,3392,73.4
121,3:17 - 4th) ,GB 70.8%,3403,70.8
122,2:39 - 4th) ,GB 77.3%,3441,77.3
123,2:14 - 4th) ,GB 79.6%,3466,79.6
124,2:08 - 4th) ,GB 82.2%,3472,82.2
125,2:00 - 4th) ,GB 91.7%,3480,91.7
126,1:43 - 4th) ,GB 71.3%,3497,71.3
127,1:15 - 4th) ,GB 68.7%,3525,68.7
128,0:52 - 4th) ,GB 51.7%,3548,51.7
129,0:47 - 4th) ,JAX 64.9%,3553,35.099999999999994
130,0:27 - 4th) ,GB 66.1%,3573,66.1
131,0:14 - 4th) ,GB 100%,3586,100.0
132,0:00 - 4th) ,GB 100%,3600,100.0
