,raw_time,raw_win_pct,clean_time,CIN_win_pct
0,14:24 - 1st),TIE,36,50.0
1,13:48 - 1st),NYJ 57.0%,72,43.0
2,13:20 - 1st),NYJ 53.9%,100,46.1
3,13:18 - 1st),NYJ 64.2%,102,35.8
4,12:42 - 1st),NYJ 56.9%,138,43.1
5,12:29 - 1st),CIN 51.5%,151,51.5
6,11:52 - 1st),NYJ 58.6%,188,41.4
7,11:15 - 1st),CIN 55.0%,225,55.0
8,11:12 - 1st),NYJ 54.9%,228,45.1
9,10:28 - 1st),NYJ 61.5%,272,38.5
10,9:48 - 1st) ,NYJ 63.7%,312,36.3
11,9:10 - 1st) ,NYJ 61.0%,350,39.0
12,9:07 - 1st) ,NYJ 65.7%,353,34.3
13,8:22 - 1st) ,NYJ 52.2%,398,47.8
14,7:47 - 1st) ,NYJ 53.9%,433,46.1
15,7:40 - 1st) ,NYJ 70.6%,440,29.400000000000006
16,7:35 - 1st) ,NYJ 68.7%,445,31.299999999999997
17,6:59 - 1st) ,NYJ 73.5%,481,26.5
18,6:16 - 1st) ,NYJ 80.4%,524,19.599999999999994
19,6:12 - 1st) ,NYJ 69.0%,528,31.0
20,6:02 - 1st) ,NYJ 83.5%,538,16.5
21,5:21 - 1st) ,NYJ 81.4%,579,18.599999999999994
22,4:43 - 1st) ,NYJ 80.2%,617,19.799999999999997
23,4:39 - 1st) ,NYJ 83.2%,621,16.799999999999997
24,4:28 - 1st) ,NYJ 78.2%,632,21.799999999999997
25,3:45 - 1st) ,NYJ 72.6%,675,27.400000000000006
26,3:42 - 1st) ,NYJ 71.4%,678,28.599999999999994
27,3:06 - 1st) ,NYJ 62.0%,714,38.0
28,2:23 - 1st) ,NYJ 65.4%,757,34.599999999999994
29,2:18 - 1st) ,NYJ 60.8%,762,39.2
30,1:36 - 1st) ,NYJ 68.8%,804,31.200000000000003
31,1:29 - 1st) ,NYJ 68.3%,811,31.700000000000003
32,1:22 - 1st) ,NYJ 64.0%,818,36.0
33,0:46 - 1st) ,NYJ 71.4%,854,28.599999999999994
34,0:08 - 1st) ,NYJ 70.6%,892,29.400000000000006
35,0:00 - 1st) ,NYJ 70.6%,900,29.400000000000006
36,14:57 - 2nd),NYJ 66.1%,903,33.900000000000006
37,14:29 - 2nd),NYJ 64.7%,931,35.3
38,13:51 - 2nd),NYJ 62.3%,969,37.7
39,13:34 - 2nd),NYJ 67.4%,986,32.599999999999994
40,12:49 - 2nd),NYJ 67.2%,1031,32.8
41,12:12 - 2nd),NYJ 60.1%,1068,39.9
42,11:23 - 2nd),NYJ 53.5%,1117,46.5
43,11:13 - 2nd),CIN 51.5%,1127,51.5
44,10:38 - 2nd),CIN 53.5%,1162,53.5
45,10:30 - 2nd),NYJ 56.2%,1170,43.8
46,10:28 - 2nd),NYJ 58.8%,1172,41.2
47,9:38 - 2nd) ,NYJ 67.5%,1222,32.5
48,8:57 - 2nd) ,NYJ 68.8%,1263,31.200000000000003
49,8:13 - 2nd) ,NYJ 69.5%,1307,30.5
50,8:08 - 2nd) ,NYJ 65.8%,1312,34.2
51,8:01 - 2nd) ,NYJ 67.3%,1319,32.7
52,7:20 - 2nd) ,NYJ 71.1%,1360,28.900000000000006
53,6:38 - 2nd) ,NYJ 69.1%,1402,30.900000000000006
54,5:56 - 2nd) ,NYJ 68.4%,1444,31.599999999999994
55,5:13 - 2nd) ,NYJ 73.7%,1487,26.299999999999997
56,4:43 - 2nd) ,NYJ 74.6%,1517,25.400000000000006
57,4:06 - 2nd) ,NYJ 72.3%,1554,27.700000000000003
58,3:27 - 2nd) ,NYJ 69.1%,1593,30.900000000000006
59,3:19 - 2nd) ,NYJ 75.2%,1601,24.799999999999997
60,3:10 - 2nd) ,NYJ 70.0%,1610,30.0
61,2:51 - 2nd) ,NYJ 71.9%,1629,28.099999999999994
62,2:34 - 2nd) ,NYJ 68.7%,1646,31.299999999999997
63,2:00 - 2nd) ,NYJ 73.4%,1680,26.599999999999994
64,1:55 - 2nd) ,NYJ 69.4%,1685,30.599999999999994
65,1:29 - 2nd) ,NYJ 60.8%,1711,39.2
66,1:25 - 2nd) ,NYJ 60.3%,1715,39.7
67,1:00 - 2nd) ,NYJ 57.0%,1740,43.0
68,0:54 - 2nd) ,NYJ 66.0%,1746,34.0
69,0:47 - 2nd) ,NYJ 67.1%,1753,32.900000000000006
70,0:18 - 2nd) ,NYJ 65.4%,1782,34.599999999999994
71,15:00 - 3rd),NYJ 61.1%,1800,38.9
