,raw_time,raw_win_pct,clean_time,MIA_win_pct
0,14:29 - 1st),SEA 81.8%,31,18.200000000000003
1,13:54 - 1st),SEA 81.6%,66,18.400000000000006
2,13:23 - 1st),SEA 80.1%,97,19.900000000000006
3,13:19 - 1st),SEA 76.8%,101,23.200000000000003
4,13:11 - 1st),SEA 76.9%,109,23.099999999999994
5,13:03 - 1st),SEA 80.0%,117,20.0
6,12:45 - 1st),SEA 78.5%,135,21.5
7,12:08 - 1st),SEA 80.8%,172,19.200000000000003
8,11:27 - 1st),SEA 80.3%,213,19.700000000000003
9,11:19 - 1st),SEA 77.5%,221,22.5
10,10:45 - 1st),SEA 76.2%,255,23.799999999999997
11,10:04 - 1st),SEA 80.8%,296,19.200000000000003
12,9:23 - 1st) ,SEA 80.7%,337,19.299999999999997
13,9:02 - 1st) ,SEA 79.0%,358,21.0
14,8:23 - 1st) ,SEA 81.5%,397,18.5
15,7:49 - 1st) ,SEA 82.8%,431,17.200000000000003
16,7:19 - 1st) ,SEA 84.2%,461,15.799999999999997
17,6:42 - 1st) ,SEA 82.1%,498,17.900000000000006
18,6:05 - 1st) ,SEA 80.9%,535,19.099999999999994
19,5:56 - 1st) ,SEA 78.5%,544,21.5
20,5:11 - 1st) ,SEA 79.5%,589,20.5
21,5:05 - 1st) ,SEA 81.1%,595,18.900000000000006
22,4:31 - 1st) ,SEA 81.4%,629,18.599999999999994
23,3:48 - 1st) ,SEA 72.6%,672,27.400000000000006
24,3:15 - 1st) ,SEA 73.3%,705,26.700000000000003
25,2:42 - 1st) ,SEA 74.0%,738,26.0
26,2:06 - 1st) ,SEA 76.3%,774,23.700000000000003
27,1:21 - 1st) ,SEA 80.8%,819,19.200000000000003
28,1:09 - 1st) ,SEA 77.7%,831,22.299999999999997
29,0:33 - 1st) ,SEA 79.6%,867,20.400000000000006
30,15:00 - 2nd),SEA 76.2%,900,23.799999999999997
31,14:20 - 2nd),SEA 77.2%,940,22.799999999999997
32,14:09 - 2nd),SEA 79.5%,951,20.5
33,14:01 - 2nd),SEA 82.4%,959,17.599999999999994
34,13:22 - 2nd),SEA 81.9%,998,18.099999999999994
35,12:40 - 2nd),SEA 68.8%,1040,31.200000000000003
36,12:26 - 2nd),SEA 80.2%,1054,19.799999999999997
37,11:40 - 2nd),SEA 78.1%,1100,21.900000000000006
38,11:01 - 2nd),SEA 72.2%,1139,27.799999999999997
39,10:51 - 2nd),SEA 72.2%,1149,27.799999999999997
40,10:16 - 2nd),SEA 69.5%,1184,30.5
41,9:43 - 2nd) ,SEA 71.8%,1217,28.200000000000003
42,9:37 - 2nd) ,SEA 71.3%,1223,28.700000000000003
43,8:55 - 2nd) ,SEA 74.4%,1265,25.599999999999994
44,8:39 - 2nd) ,SEA 70.1%,1281,29.900000000000006
45,7:55 - 2nd) ,SEA 74.4%,1325,25.599999999999994
46,7:19 - 2nd) ,SEA 72.5%,1361,27.5
47,6:43 - 2nd) ,SEA 68.3%,1397,31.700000000000003
48,6:36 - 2nd) ,SEA 70.0%,1404,30.0
49,5:56 - 2nd) ,SEA 66.4%,1444,33.599999999999994
50,5:52 - 2nd) ,SEA 65.9%,1448,34.099999999999994
51,5:40 - 2nd) ,SEA 67.0%,1460,33.0
52,5:13 - 2nd) ,SEA 64.3%,1487,35.7
53,4:38 - 2nd) ,SEA 65.9%,1522,34.099999999999994
54,4:30 - 2nd) ,SEA 69.9%,1530,30.099999999999994
55,4:21 - 2nd) ,SEA 69.4%,1539,30.599999999999994
56,3:57 - 2nd) ,SEA 65.4%,1563,34.599999999999994
57,3:51 - 2nd) ,SEA 64.0%,1569,36.0
58,3:47 - 2nd) ,SEA 62.0%,1573,38.0
59,3:38 - 2nd) ,SEA 62.8%,1582,37.2
60,3:28 - 2nd) ,SEA 65.9%,1592,34.099999999999994
61,3:23 - 2nd) ,SEA 67.2%,1597,32.8
62,2:42 - 2nd) ,SEA 69.0%,1638,31.0
63,2:25 - 2nd) ,SEA 69.3%,1655,30.700000000000003
64,2:00 - 2nd) ,SEA 67.3%,1680,32.7
65,1:52 - 2nd) ,SEA 67.4%,1688,32.599999999999994
66,1:30 - 2nd) ,SEA 66.8%,1710,33.2
67,1:22 - 2nd) ,SEA 67.3%,1718,32.7
