,raw_time,raw_win_pct,clean_time,LAR_win_pct
0,14:54 - 1st),LAR 52.2%,6,52.2
1,13:54 - 1st),SF 58.8%,66,41.2
2,13:27 - 1st),SF 57.6%,93,42.4
3,12:52 - 1st),SF 56.3%,128,43.7
4,12:07 - 1st),SF 55.5%,173,44.5
5,11:36 - 1st),LAR 53.9%,204,53.9
6,11:32 - 1st),LAR 52.3%,208,52.3
7,11:20 - 1st),SF 51.5%,220,48.5
8,11:12 - 1st),LAR 51.4%,228,51.4
9,10:57 - 1st),LAR 52.9%,243,52.9
10,10:46 - 1st),SF 53.3%,254,46.7
11,10:24 - 1st),SF 51.3%,276,48.7
12,9:54 - 1st) ,LAR 58.8%,306,58.8
13,9:21 - 1st) ,LAR 58.7%,339,58.7
14,8:55 - 1st) ,LAR 50.9%,365,50.9
15,8:47 - 1st) ,SF 52.2%,373,47.8
16,8:08 - 1st) ,SF 53.4%,412,46.6
17,7:23 - 1st) ,SF 57.5%,457,42.5
18,6:42 - 1st) ,SF 56.2%,498,43.8
19,6:32 - 1st) ,SF 55.1%,508,44.9
20,6:15 - 1st) ,SF 53.9%,525,46.1
21,6:05 - 1st) ,SF 58.2%,535,41.8
22,5:32 - 1st) ,SF 58.9%,568,41.1
23,5:04 - 1st) ,SF 62.1%,596,37.9
24,4:53 - 1st) ,SF 61.3%,607,38.7
25,4:35 - 1st) ,SF 59.3%,625,40.7
26,4:22 - 1st) ,SF 60.7%,638,39.3
27,3:56 - 1st) ,SF 59.6%,664,40.4
28,3:24 - 1st) ,SF 67.6%,696,32.400000000000006
29,3:19 - 1st) ,SF 67.8%,701,32.2
30,3:07 - 1st) ,SF 79.1%,713,20.900000000000006
31,2:30 - 1st) ,SF 69.8%,750,30.200000000000003
32,1:51 - 1st) ,SF 73.9%,789,26.099999999999994
33,1:44 - 1st) ,SF 73.7%,796,26.299999999999997
34,1:09 - 1st) ,SF 72.2%,831,27.799999999999997
35,0:45 - 1st) ,SF 77.3%,855,22.700000000000003
36,0:07 - 1st) ,SF 77.0%,893,23.0
37,0:00 - 1st) ,SF 77.0%,900,23.0
38,14:47 - 2nd),SF 75.7%,913,24.299999999999997
39,14:20 - 2nd),SF 72.6%,940,27.400000000000006
40,14:10 - 2nd),SF 66.5%,950,33.5
41,14:00 - 2nd),SF 65.7%,960,34.3
