,raw_time,raw_win_pct,clean_time,NYJ_win_pct
0,14:54 - 1st),BUF 66.8%,6,33.2
1,14:11 - 1st),BUF 59.6%,49,40.4
2,13:34 - 1st),BUF 59.8%,86,40.2
3,12:51 - 1st),BUF 61.2%,129,38.8
4,12:00 - 1st),BUF 62.0%,180,38.0
5,11:30 - 1st),BUF 59.9%,210,40.1
6,10:49 - 1st),BUF 60.0%,251,40.0
7,10:42 - 1st),BUF 54.3%,258,45.7
8,10:03 - 1st),BUF 55.3%,297,44.7
9,9:24 - 1st) ,BUF 53.1%,336,46.9
10,9:20 - 1st) ,BUF 50.5%,340,49.5
11,8:39 - 1st) ,BUF 51.8%,381,48.2
12,7:57 - 1st) ,BUF 51.3%,423,48.7
13,7:10 - 1st) ,BUF 54.4%,470,45.6
14,6:51 - 1st) ,BUF 64.2%,489,35.8
15,6:41 - 1st) ,BUF 57.3%,499,42.7
16,6:36 - 1st) ,BUF 53.7%,504,46.3
17,6:05 - 1st) ,BUF 51.0%,535,49.0
18,5:16 - 1st) ,BUF 72.6%,584,27.400000000000006
19,5:09 - 1st) ,BUF 75.2%,591,24.799999999999997
20,4:27 - 1st) ,BUF 70.9%,633,29.099999999999994
21,3:48 - 1st) ,BUF 72.6%,672,27.400000000000006
22,3:15 - 1st) ,BUF 72.8%,705,27.200000000000003
23,2:48 - 1st) ,BUF 65.9%,732,34.099999999999994
24,2:43 - 1st) ,BUF 61.9%,737,38.1
25,1:59 - 1st) ,BUF 63.7%,781,36.3
26,1:23 - 1st) ,BUF 60.0%,817,40.0
27,0:42 - 1st) ,BUF 67.3%,858,32.7
28,15:00 - 2nd),BUF 67.1%,900,32.900000000000006
29,14:52 - 2nd),BUF 63.8%,908,36.2
30,14:47 - 2nd),BUF 62.6%,913,37.4
31,14:07 - 2nd),BUF 54.2%,953,45.8
32,13:32 - 2nd),BUF 59.5%,988,40.5
33,13:22 - 2nd),BUF 56.2%,998,43.8
34,13:01 - 2nd),BUF 53.1%,1019,46.9
35,12:58 - 2nd),BUF 54.0%,1022,46.0
36,12:13 - 2nd),BUF 51.8%,1067,48.2
37,11:53 - 2nd),NYJ 53.5%,1087,53.5
38,11:07 - 2nd),NYJ 58.4%,1133,58.4
39,10:33 - 2nd),NYJ 53.2%,1167,53.2
40,10:05 - 2nd),NYJ 51.6%,1195,51.6
41,9:29 - 2nd) ,NYJ 55.5%,1231,55.5
42,9:25 - 2nd) ,NYJ 59.6%,1235,59.6
43,8:59 - 2nd) ,NYJ 61.1%,1261,61.1
44,8:51 - 2nd) ,NYJ 62.9%,1269,62.9
45,8:23 - 2nd) ,NYJ 63.1%,1297,63.1
46,7:48 - 2nd) ,NYJ 62.7%,1332,62.7
47,7:47 - 2nd) ,NYJ 66.2%,1333,66.2
48,7:09 - 2nd) ,NYJ 64.4%,1371,64.4
49,6:53 - 2nd) ,NYJ 69.5%,1387,69.5
50,6:07 - 2nd) ,NYJ 74.2%,1433,74.2
51,5:31 - 2nd) ,NYJ 69.6%,1469,69.6
52,5:06 - 2nd) ,NYJ 68.9%,1494,68.9
53,4:27 - 2nd) ,NYJ 78.3%,1533,78.3
54,3:53 - 2nd) ,NYJ 79.7%,1567,79.7
55,3:29 - 2nd) ,NYJ 79.0%,1591,79.0
56,2:56 - 2nd) ,NYJ 80.0%,1624,80.0
57,2:18 - 2nd) ,NYJ 79.7%,1662,79.7
58,2:00 - 2nd) ,NYJ 85.0%,1680,85.0
59,1:28 - 2nd) ,NYJ 75.0%,1712,75.0
60,1:19 - 2nd) ,NYJ 80.8%,1721,80.8
61,0:41 - 2nd) ,NYJ 76.9%,1759,76.9
62,0:36 - 2nd) ,NYJ 73.8%,1764,73.8
63,0:15 - 2nd) ,NYJ 79.2%,1785,79.2
64,0:05 - 2nd) ,NYJ 77.6%,1795,77.6
65,15:00 - 3rd),NYJ 73.9%,1800,73.9
66,14:59 - 3rd),NYJ 76.5%,1801,76.5
67,14:28 - 3rd),NYJ 76.5%,1832,76.5
68,14:09 - 3rd),NYJ 56.0%,1851,56.0
69,14:03 - 3rd),NYJ 53.3%,1857,53.3
70,13:22 - 3rd),BUF 57.3%,1898,42.7
71,12:42 - 3rd),BUF 56.8%,1938,43.2
