,raw_time,raw_win_pct,clean_time,TB_win_pct
0,14:50 - 1st),ATL 57.8%,10,42.2
1,14:16 - 1st),ATL 50.8%,44,49.2
2,13:40 - 1st),ATL 54.5%,80,45.5
3,12:54 - 1st),ATL 53.6%,126,46.4
4,12:49 - 1st),ATL 56.0%,131,44.0
5,12:04 - 1st),ATL 55.7%,176,44.3
6,11:25 - 1st),TB 51.5%,215,51.5
7,11:17 - 1st),TB 54.0%,223,54.0
8,10:47 - 1st),ATL 52.1%,253,47.9
9,10:02 - 1st),ATL 53.0%,298,47.0
10,9:52 - 1st) ,ATL 52.6%,308,47.4
11,9:41 - 1st) ,ATL 62.3%,319,37.7
12,9:07 - 1st) ,ATL 61.3%,353,38.7
13,8:30 - 1st) ,ATL 59.0%,390,41.0
14,7:49 - 1st) ,ATL 54.1%,431,45.9
15,7:08 - 1st) ,ATL 54.5%,472,45.5
16,7:03 - 1st) ,ATL 57.6%,477,42.4
17,6:28 - 1st) ,ATL 58.8%,512,41.2
18,6:20 - 1st) ,ATL 60.5%,520,39.5
19,5:34 - 1st) ,ATL 61.4%,566,38.6
20,5:26 - 1st) ,ATL 57.9%,574,42.1
21,4:40 - 1st) ,TB 51.5%,620,51.5
22,4:19 - 1st) ,ATL 56.4%,641,43.6
23,4:13 - 1st) ,ATL 57.2%,647,42.8
24,3:32 - 1st) ,ATL 62.3%,688,37.7
25,2:31 - 1st) ,ATL 64.9%,749,35.099999999999994
26,2:24 - 1st) ,ATL 70.0%,756,30.0
27,1:45 - 1st) ,ATL 70.2%,795,29.799999999999997
28,1:06 - 1st) ,ATL 71.6%,834,28.400000000000006
29,0:11 - 1st) ,ATL 73.1%,889,26.900000000000006
30,0:00 - 1st) ,ATL 73.9%,900,26.099999999999994
31,14:55 - 2nd),ATL 72.0%,905,28.0
32,14:14 - 2nd),ATL 71.1%,946,28.900000000000006
33,13:49 - 2nd),ATL 68.8%,971,31.200000000000003
34,13:06 - 2nd),ATL 68.3%,1014,31.700000000000003
35,12:41 - 2nd),ATL 66.7%,1039,33.3
36,12:09 - 2nd),ATL 68.5%,1071,31.5
