,raw_time,raw_win_pct,clean_time,NYG_win_pct
0,14:27 - 1st),DAL 53.5%,33,46.5
1,13:56 - 1st),DAL 54.8%,64,45.2
2,13:17 - 1st),DAL 57.4%,103,42.6
3,12:39 - 1st),DAL 56.4%,141,43.6
4,12:05 - 1st),DAL 54.9%,175,45.1
5,11:21 - 1st),DAL 59.2%,219,40.8
6,10:38 - 1st),DAL 62.6%,262,37.4
7,9:59 - 1st) ,DAL 61.9%,301,38.1
8,9:21 - 1st) ,DAL 65.1%,339,34.900000000000006
9,8:40 - 1st) ,DAL 64.8%,380,35.2
10,8:01 - 1st) ,DAL 59.9%,419,40.1
11,7:57 - 1st) ,DAL 59.9%,423,40.1
12,7:18 - 1st) ,DAL 66.5%,462,33.5
13,6:35 - 1st) ,DAL 58.0%,505,42.0
14,6:01 - 1st) ,DAL 58.3%,539,41.7
15,5:16 - 1st) ,DAL 57.7%,584,42.3
16,4:30 - 1st) ,DAL 57.7%,630,42.3
17,4:24 - 1st) ,DAL 61.5%,636,38.5
18,4:07 - 1st) ,DAL 56.7%,653,43.3
19,3:29 - 1st) ,DAL 56.6%,691,43.4
20,2:49 - 1st) ,DAL 61.6%,731,38.4
21,2:24 - 1st) ,DAL 59.2%,756,40.8
22,1:38 - 1st) ,DAL 58.0%,802,42.0
23,0:58 - 1st) ,DAL 63.3%,842,36.7
24,0:17 - 1st) ,DAL 65.8%,883,34.2
25,0:00 - 1st) ,DAL 65.8%,900,34.2
26,14:50 - 2nd),DAL 65.7%,910,34.3
27,14:18 - 2nd),DAL 67.6%,942,32.400000000000006
28,13:34 - 2nd),DAL 55.3%,986,44.7
29,12:58 - 2nd),DAL 69.6%,1022,30.400000000000006
30,12:17 - 2nd),DAL 66.9%,1063,33.099999999999994
31,12:09 - 2nd),DAL 65.1%,1071,34.900000000000006
32,11:27 - 2nd),DAL 55.5%,1113,44.5
33,11:18 - 2nd),DAL 67.2%,1122,32.8
34,11:09 - 2nd),DAL 67.8%,1131,32.2
35,10:43 - 2nd),DAL 73.6%,1157,26.400000000000006
36,10:15 - 2nd),DAL 53.8%,1185,46.2
37,9:36 - 2nd) ,DAL 53.8%,1224,46.2
38,9:06 - 2nd) ,DAL 51.4%,1254,48.6
39,8:33 - 2nd) ,NYG 50.9%,1287,50.9
40,7:45 - 2nd) ,DAL 56.4%,1335,43.6
41,7:39 - 2nd) ,DAL 60.5%,1341,39.5
42,6:58 - 2nd) ,DAL 57.6%,1382,42.4
43,6:16 - 2nd) ,DAL 73.1%,1424,26.900000000000006
44,6:07 - 2nd) ,DAL 60.9%,1433,39.1
45,5:38 - 2nd) ,DAL 54.9%,1462,45.1
46,4:53 - 2nd) ,DAL 53.4%,1507,46.6
47,4:46 - 2nd) ,DAL 52.1%,1514,47.9
48,4:02 - 2nd) ,NYG 51.8%,1558,51.8
49,3:32 - 2nd) ,DAL 63.1%,1588,36.9
50,2:57 - 2nd) ,DAL 50.3%,1623,49.7
51,2:54 - 2nd) ,NYG 53.6%,1626,53.6
52,2:31 - 2nd) ,DAL 51.8%,1649,48.2
53,2:00 - 2nd) ,NYG 53.3%,1680,53.3
54,1:35 - 2nd) ,DAL 50.1%,1705,49.9
55,1:29 - 2nd) ,DAL 51.8%,1711,48.2
56,1:05 - 2nd) ,NYG 61.3%,1735,61.3
57,0:20 - 2nd) ,NYG 55.9%,1780,55.9
58,0:07 - 2nd) ,NYG 67.1%,1793,67.1
59,15:00 - 3rd),NYG 69.7%,1800,69.7
60,14:53 - 3rd),NYG 63.9%,1807,63.9
