,raw_time,raw_win_pct,clean_time,DET_win_pct
0,14:29 - 1st),IND 71.6%,31,28.400000000000006
1,13:46 - 1st),IND 72.2%,74,27.799999999999997
2,12:57 - 1st),IND 71.0%,123,29.0
3,12:34 - 1st),IND 70.2%,146,29.799999999999997
4,11:51 - 1st),IND 74.0%,189,26.0
5,11:07 - 1st),IND 68.7%,233,31.299999999999997
6,10:22 - 1st),IND 67.5%,278,32.5
7,9:55 - 1st) ,IND 65.8%,305,34.2
8,9:16 - 1st) ,IND 65.3%,344,34.7
9,9:06 - 1st) ,IND 63.8%,354,36.2
10,8:28 - 1st) ,IND 64.7%,392,35.3
11,8:02 - 1st) ,IND 61.7%,418,38.3
12,7:43 - 1st) ,IND 62.8%,437,37.2
13,7:10 - 1st) ,IND 59.8%,470,40.2
14,6:26 - 1st) ,IND 63.0%,514,37.0
15,6:21 - 1st) ,IND 57.2%,519,42.8
16,5:31 - 1st) ,IND 54.1%,569,45.9
17,4:43 - 1st) ,DET 54.9%,617,54.9
18,4:04 - 1st) ,DET 56.1%,656,56.1
19,3:22 - 1st) ,DET 59.9%,698,59.9
20,3:18 - 1st) ,DET 57.7%,702,57.7
21,3:04 - 1st) ,IND 57.2%,716,42.8
22,2:38 - 1st) ,DET 53.2%,742,53.2
23,2:32 - 1st) ,DET 50.9%,748,50.9
24,2:00 - 1st) ,DET 53.5%,780,53.5
25,1:49 - 1st) ,DET 55.9%,791,55.9
26,1:27 - 1st) ,DET 57.8%,813,57.8
27,1:19 - 1st) ,DET 58.3%,821,58.3
28,1:11 - 1st) ,DET 54.1%,829,54.1
29,0:37 - 1st) ,DET 57.1%,863,57.1
30,15:00 - 2nd),DET 61.2%,900,61.2
31,14:26 - 2nd),DET 60.8%,934,60.8
32,13:45 - 2nd),DET 67.1%,975,67.1
33,13:03 - 2nd),DET 63.3%,1017,63.3
34,12:55 - 2nd),DET 68.3%,1025,68.3
35,12:14 - 2nd),DET 70.0%,1066,70.0
36,11:48 - 2nd),DET 67.4%,1092,67.4
37,11:41 - 2nd),DET 66.3%,1099,66.3
38,11:36 - 2nd),DET 67.2%,1104,67.2
39,11:07 - 2nd),DET 72.0%,1133,72.0
