,raw_time,raw_win_pct,clean_time,OAK_win_pct
0,14:52 - 1st),NO 50.9%,8,49.1
1,14:45 - 1st),OAK 53.6%,15,53.6
2,14:18 - 1st),OAK 53.3%,42,53.3
3,13:32 - 1st),OAK 52.7%,88,52.7
4,12:47 - 1st),OAK 58.3%,133,58.3
5,12:23 - 1st),OAK 56.0%,157,56.0
6,12:18 - 1st),OAK 59.3%,162,59.3
7,12:15 - 1st),OAK 55.5%,165,55.5
8,11:42 - 1st),OAK 54.2%,198,54.2
9,11:01 - 1st),OAK 52.4%,239,52.4
10,10:22 - 1st),OAK 50.8%,278,50.8
11,9:49 - 1st) ,OAK 53.9%,311,53.9
12,9:05 - 1st) ,NO 51.7%,355,48.3
13,8:30 - 1st) ,NO 50.9%,390,49.1
14,8:01 - 1st) ,NO 56.8%,419,43.2
15,7:22 - 1st) ,NO 52.5%,458,47.5
16,7:18 - 1st) ,NO 51.8%,462,48.2
17,6:41 - 1st) ,NO 53.1%,499,46.9
18,6:31 - 1st) ,NO 50.6%,509,49.4
19,6:24 - 1st) ,NO 52.2%,516,47.8
20,5:43 - 1st) ,NO 54.9%,557,45.1
21,5:20 - 1st) ,NO 54.5%,580,45.5
22,4:34 - 1st) ,OAK 51.1%,626,51.1
23,4:03 - 1st) ,OAK 56.9%,657,56.9
24,3:17 - 1st) ,OAK 56.1%,703,56.1
25,2:35 - 1st) ,OAK 63.7%,745,63.7
26,1:43 - 1st) ,OAK 68.5%,797,68.5
27,1:01 - 1st) ,OAK 66.4%,839,66.4
28,0:28 - 1st) ,OAK 65.3%,872,65.3
29,15:00 - 2nd),OAK 65.7%,900,65.7
30,14:27 - 2nd),OAK 57.9%,933,57.9
31,13:36 - 2nd),OAK 56.7%,984,56.7
32,12:56 - 2nd),OAK 59.6%,1024,59.6
33,12:51 - 2nd),OAK 64.6%,1029,64.6
34,12:11 - 2nd),OAK 64.7%,1069,64.7
35,12:00 - 2nd),OAK 64.0%,1080,64.0
36,11:52 - 2nd),NO 63.0%,1088,37.0
37,11:47 - 2nd),NO 51.4%,1093,48.6
38,11:07 - 2nd),NO 53.0%,1133,47.0
39,11:03 - 2nd),OAK 53.8%,1137,53.8
40,10:25 - 2nd),NO 53.2%,1175,46.8
41,9:58 - 2nd) ,NO 51.2%,1202,48.8
42,9:16 - 2nd) ,NO 60.5%,1244,39.5
43,9:11 - 2nd) ,NO 53.4%,1249,46.6
44,9:01 - 2nd) ,OAK 50.2%,1259,50.2
45,8:33 - 2nd) ,NO 55.4%,1287,44.6
46,7:59 - 2nd) ,NO 57.7%,1321,42.3
47,7:21 - 2nd) ,NO 57.3%,1359,42.7
48,6:46 - 2nd) ,NO 54.2%,1394,45.8
49,6:12 - 2nd) ,NO 60.4%,1428,39.6
50,5:36 - 2nd) ,NO 66.1%,1464,33.900000000000006
51,4:55 - 2nd) ,NO 71.5%,1505,28.5
52,4:49 - 2nd) ,NO 74.3%,1511,25.700000000000003
53,4:45 - 2nd) ,NO 70.7%,1515,29.299999999999997
54,4:09 - 2nd) ,NO 76.2%,1551,23.799999999999997
55,3:31 - 2nd) ,NO 76.9%,1589,23.099999999999994
56,2:52 - 2nd) ,NO 77.3%,1628,22.700000000000003
57,2:40 - 2nd) ,NO 78.2%,1640,21.799999999999997
58,2:15 - 2nd) ,NO 78.4%,1665,21.599999999999994
59,2:00 - 2nd) ,NO 79.4%,1680,20.599999999999994
60,1:43 - 2nd) ,NO 76.7%,1697,23.299999999999997
61,1:40 - 2nd) ,NO 79.9%,1700,20.099999999999994
62,1:32 - 2nd) ,NO 78.7%,1708,21.299999999999997
63,1:20 - 2nd) ,NO 74.4%,1720,25.599999999999994
64,1:11 - 2nd) ,NO 73.5%,1729,26.5
65,0:49 - 2nd) ,NO 73.5%,1751,26.5
66,0:45 - 2nd) ,NO 71.3%,1755,28.700000000000003
67,0:24 - 2nd) ,NO 77.6%,1776,22.400000000000006
68,0:06 - 2nd) ,NO 75.5%,1794,24.5
69,15:00 - 3rd),NO 81.2%,1800,18.799999999999997
70,14:22 - 3rd),NO 74.9%,1838,25.099999999999994
71,13:44 - 3rd),NO 79.1%,1876,20.900000000000006
72,13:41 - 3rd),NO 65.3%,1879,34.7
73,13:29 - 3rd),NO 72.5%,1891,27.5
74,12:57 - 3rd),NO 70.7%,1923,29.299999999999997
75,12:44 - 3rd),NO 72.6%,1936,27.400000000000006
76,12:08 - 3rd),NO 71.4%,1972,28.599999999999994
77,11:37 - 3rd),NO 74.0%,2003,26.0
78,11:23 - 3rd),NO 73.0%,2017,27.0
79,11:00 - 3rd),NO 72.0%,2040,28.0
80,10:20 - 3rd),NO 69.4%,2080,30.599999999999994
81,9:39 - 3rd) ,NO 70.2%,2121,29.799999999999997
82,9:04 - 3rd) ,NO 73.3%,2156,26.700000000000003
83,9:00 - 3rd) ,NO 74.8%,2160,25.200000000000003
84,8:17 - 3rd) ,NO 82.9%,2203,17.099999999999994
85,8:12 - 3rd) ,NO 76.7%,2208,23.299999999999997
86,7:52 - 3rd) ,NO 92.3%,2228,7.700000000000003
87,7:27 - 3rd) ,NO 91.9%,2253,8.099999999999994
88,7:22 - 3rd) ,NO 91.5%,2258,8.5
89,6:51 - 3rd) ,NO 91.7%,2289,8.299999999999997
90,6:08 - 3rd) ,NO 90.9%,2332,9.099999999999994
91,5:31 - 3rd) ,NO 89.3%,2369,10.700000000000003
92,5:02 - 3rd) ,NO 90.9%,2398,9.099999999999994
93,4:16 - 3rd) ,NO 86.7%,2444,13.299999999999997
94,3:55 - 3rd) ,NO 94.8%,2465,5.200000000000003
95,3:51 - 3rd) ,NO 89.1%,2469,10.900000000000006
96,3:21 - 3rd) ,NO 91.3%,2499,8.700000000000003
97,3:11 - 3rd) ,NO 91.4%,2509,8.599999999999994
98,3:04 - 3rd) ,NO 92.6%,2516,7.400000000000006
99,2:38 - 3rd) ,NO 92.4%,2542,7.599999999999994
100,2:03 - 3rd) ,NO 93.5%,2577,6.5
101,1:28 - 3rd) ,NO 92.4%,2612,7.599999999999994
102,0:54 - 3rd) ,NO 93.1%,2646,6.900000000000006
103,0:27 - 3rd) ,NO 95.2%,2673,4.799999999999997
104,15:00 - 4th),NO 94.4%,2700,5.599999999999994
105,14:31 - 4th),NO 95.0%,2729,5.0
106,13:53 - 4th),NO 90.3%,2767,9.700000000000003
107,13:47 - 4th),NO 89.2%,2773,10.799999999999997
108,13:42 - 4th),NO 92.9%,2778,7.099999999999994
109,13:12 - 4th),NO 83.8%,2808,16.200000000000003
110,12:28 - 4th),NO 77.8%,2852,22.200000000000003
111,12:02 - 4th),NO 78.0%,2878,22.0
112,11:53 - 4th),NO 57.9%,2887,42.1
113,11:43 - 4th),NO 82.2%,2897,17.799999999999997
114,11:37 - 4th),NO 83.4%,2903,16.599999999999994
115,10:58 - 4th),NO 87.8%,2942,12.200000000000003
116,10:52 - 4th),NO 90.0%,2948,10.0
117,10:15 - 4th),NO 90.4%,2985,9.599999999999994
118,9:39 - 4th) ,NO 89.2%,3021,10.799999999999997
119,9:31 - 4th) ,NO 86.7%,3029,13.299999999999997
120,8:46 - 4th) ,NO 87.1%,3074,12.900000000000006
121,8:42 - 4th) ,NO 88.7%,3078,11.299999999999997
122,8:26 - 4th) ,TIE,3094,50.0
123,8:15 - 4th) ,NO 51.7%,3105,48.3
124,7:32 - 4th) ,NO 52.3%,3148,47.7
125,6:07 - 4th) ,NO 78.4%,3233,21.599999999999994
126,6:03 - 4th) ,NO 81.6%,3237,18.400000000000006
127,5:23 - 4th) ,NO 77.6%,3277,22.400000000000006
128,4:43 - 4th) ,NO 75.6%,3317,24.400000000000006
129,4:04 - 4th) ,NO 80.3%,3356,19.700000000000003
130,3:22 - 4th) ,NO 75.1%,3398,24.900000000000006
131,3:18 - 4th) ,NO 79.5%,3402,20.5
132,2:41 - 4th) ,NO 71.6%,3439,28.400000000000006
133,2:00 - 4th) ,NO 77.9%,3480,22.099999999999994
134,1:55 - 4th) ,NO 80.6%,3485,19.400000000000006
135,1:50 - 4th) ,NO 81.6%,3490,18.400000000000006
136,1:37 - 4th) ,NO 69.3%,3503,30.700000000000003
137,0:52 - 4th) ,NO 71.2%,3548,28.799999999999997
138,0:47 - 4th) ,OAK 89.3%,3553,89.3
139,0:40 - 4th) ,OAK 78.1%,3560,78.1
140,0:23 - 4th) ,OAK 77.1%,3577,77.1
141,0:09 - 4th) ,OAK 77.6%,3591,77.6
142,0:00 - 4th) ,OAK 100%,3600,100.0
