,raw_time,raw_win_pct,clean_time,MIN_win_pct
0,14:54 - 1st),MIN 58.8%,6,58.8
1,14:09 - 1st),MIN 56.1%,51,56.1
2,13:29 - 1st),MIN 54.7%,91,54.7
3,12:50 - 1st),MIN 57.7%,130,57.7
4,12:44 - 1st),MIN 52.7%,136,52.7
5,12:07 - 1st),MIN 50.8%,173,50.8
6,11:25 - 1st),MIN 53.7%,215,53.7
7,11:21 - 1st),MIN 57.4%,219,57.4
8,10:39 - 1st),MIN 60.4%,261,60.4
9,10:26 - 1st),MIN 58.6%,274,58.6
10,10:02 - 1st),MIN 59.3%,298,59.3
11,9:26 - 1st) ,MIN 55.1%,334,55.1
12,9:22 - 1st) ,MIN 54.6%,338,54.6
13,9:09 - 1st) ,MIN 55.9%,351,55.9
14,8:36 - 1st) ,TEN 50.9%,384,49.1
15,7:41 - 1st) ,TEN 51.2%,439,48.8
16,7:07 - 1st) ,TEN 55.0%,473,45.0
17,6:24 - 1st) ,TEN 55.4%,516,44.6
18,5:37 - 1st) ,TEN 51.5%,563,48.5
19,4:54 - 1st) ,MIN 52.8%,606,52.8
20,4:45 - 1st) ,MIN 54.2%,615,54.2
21,4:08 - 1st) ,MIN 54.3%,652,54.3
22,3:29 - 1st) ,MIN 56.1%,691,56.1
23,2:47 - 1st) ,MIN 56.5%,733,56.5
24,2:09 - 1st) ,MIN 55.2%,771,55.2
25,1:27 - 1st) ,MIN 58.7%,813,58.7
26,0:46 - 1st) ,MIN 55.5%,854,55.5
27,0:42 - 1st) ,MIN 57.9%,858,57.9
28,0:20 - 1st) ,MIN 57.9%,880,57.9
29,0:15 - 1st) ,MIN 64.2%,885,64.2
30,0:00 - 1st) ,MIN 64.2%,900,64.2
31,14:59 - 2nd),MIN 64.1%,901,64.1
32,14:14 - 2nd),MIN 58.1%,946,58.1
33,13:41 - 2nd),MIN 55.8%,979,55.8
34,12:59 - 2nd),MIN 53.7%,1021,53.7
35,12:53 - 2nd),TEN 53.6%,1027,46.4
36,12:18 - 2nd),TEN 55.1%,1062,44.9
37,12:13 - 2nd),TEN 55.4%,1067,44.6
38,11:35 - 2nd),TEN 54.4%,1105,45.6
39,10:54 - 2nd),TEN 58.6%,1146,41.4
40,10:15 - 2nd),TEN 56.0%,1185,44.0
41,9:39 - 2nd) ,TEN 55.4%,1221,44.6
42,9:20 - 2nd) ,TEN 60.0%,1240,40.0
43,8:39 - 2nd) ,TEN 51.5%,1281,48.5
44,8:01 - 2nd) ,TEN 52.8%,1319,47.2
45,7:53 - 2nd) ,TEN 55.1%,1327,44.9
46,7:16 - 2nd) ,MIN 50.8%,1364,50.8
47,6:43 - 2nd) ,TEN 52.9%,1397,47.1
48,6:37 - 2nd) ,TEN 58.4%,1403,41.6
49,6:18 - 2nd) ,TEN 67.8%,1422,32.2
50,5:49 - 2nd) ,TEN 63.4%,1451,36.6
51,5:03 - 2nd) ,TEN 57.1%,1497,42.9
52,4:55 - 2nd) ,TEN 57.1%,1505,42.9
53,4:18 - 2nd) ,TEN 60.7%,1542,39.3
54,3:48 - 2nd) ,TEN 60.1%,1572,39.9
55,3:13 - 2nd) ,TEN 61.9%,1607,38.1
56,2:29 - 2nd) ,TEN 65.8%,1651,34.2
57,2:00 - 2nd) ,TEN 64.3%,1680,35.7
58,1:24 - 2nd) ,TEN 63.3%,1716,36.7
59,1:20 - 2nd) ,TEN 68.4%,1720,31.599999999999994
