,raw_time,raw_win_pct,clean_time,BAL_win_pct
0,14:19 - 1st),CIN 60.9%,41,39.1
1,13:47 - 1st),CIN 58.2%,73,41.8
2,13:10 - 1st),CIN 56.5%,110,43.5
3,13:03 - 1st),CIN 52.4%,117,47.6
4,12:46 - 1st),CIN 55.4%,134,44.6
5,12:38 - 1st),CIN 55.5%,142,44.5
6,11:58 - 1st),CIN 53.0%,182,47.0
7,11:45 - 1st),TIE,195,50.0
8,11:04 - 1st),BAL 50.9%,236,50.9
9,10:34 - 1st),CIN 52.2%,266,47.8
10,9:48 - 1st) ,BAL 53.2%,312,53.2
11,9:17 - 1st) ,CIN 59.1%,343,40.9
12,8:40 - 1st) ,BAL 56.0%,380,56.0
13,7:59 - 1st) ,CIN 50.6%,421,49.4
14,7:34 - 1st) ,BAL 50.6%,446,50.6
15,6:54 - 1st) ,BAL 57.2%,486,57.2
16,6:16 - 1st) ,BAL 59.8%,524,59.8
17,5:39 - 1st) ,BAL 54.9%,561,54.9
18,5:35 - 1st) ,BAL 55.1%,565,55.1
19,4:52 - 1st) ,BAL 50.9%,608,50.9
20,4:44 - 1st) ,BAL 53.6%,616,53.6
21,3:59 - 1st) ,CIN 50.7%,661,49.3
22,3:28 - 1st) ,CIN 52.0%,692,48.0
23,2:46 - 1st) ,CIN 51.0%,734,49.0
24,2:10 - 1st) ,CIN 54.6%,770,45.4
25,1:46 - 1st) ,BAL 60.9%,794,60.9
26,1:34 - 1st) ,BAL 59.5%,806,59.5
27,1:01 - 1st) ,BAL 56.8%,839,56.8
28,0:42 - 1st) ,BAL 57.6%,858,57.6
29,15:00 - 2nd),BAL 53.1%,900,53.1
30,14:48 - 2nd),BAL 71.7%,912,71.7
31,14:26 - 2nd),BAL 52.9%,934,52.9
32,13:46 - 2nd),BAL 55.5%,974,55.5
33,13:08 - 2nd),BAL 50.5%,1012,50.5
34,12:42 - 2nd),CIN 53.5%,1038,46.5
35,12:15 - 2nd),CIN 51.1%,1065,48.9
36,11:50 - 2nd),BAL 50.7%,1090,50.7
37,11:09 - 2nd),CIN 56.4%,1131,43.6
38,10:44 - 2nd),CIN 60.0%,1156,40.0
39,10:22 - 2nd),CIN 55.9%,1178,44.1
40,9:50 - 2nd) ,CIN 55.7%,1210,44.3
41,9:06 - 2nd) ,BAL 58.4%,1254,58.4
42,8:51 - 2nd) ,BAL 55.0%,1269,55.0
43,8:48 - 2nd) ,BAL 55.2%,1272,55.2
44,8:07 - 2nd) ,CIN 50.2%,1313,49.8
45,7:22 - 2nd) ,BAL 50.1%,1358,50.1
46,7:10 - 2nd) ,BAL 65.2%,1370,65.2
47,6:45 - 2nd) ,BAL 55.5%,1395,55.5
48,6:41 - 2nd) ,BAL 55.2%,1399,55.2
49,5:58 - 2nd) ,BAL 59.1%,1442,59.1
50,5:52 - 2nd) ,BAL 59.0%,1448,59.0
51,5:46 - 2nd) ,BAL 55.8%,1454,55.8
52,5:03 - 2nd) ,BAL 61.2%,1497,61.2
53,4:25 - 2nd) ,BAL 63.9%,1535,63.9
54,3:41 - 2nd) ,BAL 58.3%,1579,58.3
55,3:15 - 2nd) ,BAL 58.1%,1605,58.1
56,2:37 - 2nd) ,BAL 60.0%,1643,60.0
57,2:00 - 2nd) ,BAL 59.9%,1680,59.9
58,1:47 - 2nd) ,BAL 80.8%,1693,80.8
