,raw_time,raw_win_pct,clean_time,ARI_win_pct
0,14:54 - 1st),DET 60.0%,6,40.0
1,14:16 - 1st),DET 60.7%,44,39.3
2,13:34 - 1st),DET 55.6%,86,44.4
3,12:51 - 1st),DET 59.7%,129,40.3
4,12:13 - 1st),DET 55.7%,167,44.3
5,12:08 - 1st),DET 70.2%,172,29.799999999999997
6,12:00 - 1st),DET 58.6%,180,41.4
7,11:14 - 1st),ARI 66.6%,226,66.6
8,11:08 - 1st),ARI 60.7%,232,60.7
9,10:29 - 1st),ARI 61.6%,271,61.6
10,9:51 - 1st) ,ARI 64.6%,309,64.6
11,9:42 - 1st) ,ARI 63.3%,318,63.3
12,9:33 - 1st) ,ARI 62.6%,327,62.6
13,8:57 - 1st) ,ARI 55.6%,363,55.6
14,8:37 - 1st) ,ARI 57.0%,383,57.0
15,7:56 - 1st) ,ARI 64.9%,424,64.9
16,7:17 - 1st) ,ARI 64.5%,463,64.5
17,6:31 - 1st) ,ARI 68.3%,509,68.3
18,6:21 - 1st) ,ARI 66.0%,519,66.0
19,6:12 - 1st) ,ARI 70.1%,528,70.1
20,5:32 - 1st) ,ARI 69.3%,568,69.3
21,4:49 - 1st) ,ARI 66.9%,611,66.9
22,4:40 - 1st) ,ARI 70.4%,620,70.4
23,4:36 - 1st) ,ARI 70.4%,624,70.4
24,4:04 - 1st) ,ARI 70.7%,656,70.7
25,3:22 - 1st) ,ARI 76.4%,698,76.4
26,2:40 - 1st) ,ARI 70.2%,740,70.2
27,2:35 - 1st) ,ARI 72.7%,745,72.7
28,2:02 - 1st) ,ARI 70.7%,778,70.7
29,1:18 - 1st) ,ARI 69.2%,822,69.2
30,0:46 - 1st) ,ARI 72.6%,854,72.6
31,0:24 - 1st) ,ARI 69.8%,876,69.8
32,15:00 - 2nd),ARI 66.4%,900,66.4
33,14:27 - 2nd),ARI 68.1%,933,68.1
34,14:01 - 2nd),ARI 65.7%,959,65.7
35,13:16 - 2nd),ARI 73.7%,1004,73.7
36,12:37 - 2nd),ARI 70.9%,1043,70.9
37,12:33 - 2nd),ARI 70.7%,1047,70.7
38,11:53 - 2nd),ARI 78.9%,1087,78.9
39,11:20 - 2nd),ARI 76.0%,1120,76.0
40,11:14 - 2nd),ARI 72.2%,1126,72.2
41,10:49 - 2nd),ARI 64.6%,1151,64.6
42,10:38 - 2nd),ARI 71.1%,1162,71.1
43,10:19 - 2nd),ARI 70.7%,1181,70.7
44,9:47 - 2nd) ,ARI 66.7%,1213,66.7
45,9:05 - 2nd) ,ARI 62.8%,1255,62.8
46,8:19 - 2nd) ,ARI 62.5%,1301,62.5
47,7:40 - 2nd) ,ARI 64.6%,1340,64.6
48,7:33 - 2nd) ,ARI 60.8%,1347,60.8
49,7:09 - 2nd) ,ARI 59.4%,1371,59.4
50,6:34 - 2nd) ,ARI 58.4%,1406,58.4
51,5:50 - 2nd) ,ARI 58.1%,1450,58.1
52,5:09 - 2nd) ,ARI 61.0%,1491,61.0
53,4:22 - 2nd) ,ARI 50.8%,1538,50.8
54,4:10 - 2nd) ,ARI 50.8%,1550,50.8
55,4:00 - 2nd) ,ARI 51.3%,1560,51.3
56,3:54 - 2nd) ,ARI 57.2%,1566,57.2
57,3:15 - 2nd) ,ARI 56.4%,1605,56.4
58,2:31 - 2nd) ,ARI 60.2%,1649,60.2
59,2:01 - 2nd) ,ARI 61.3%,1679,61.3
60,1:53 - 2nd) ,ARI 57.7%,1687,57.7
61,1:49 - 2nd) ,ARI 62.8%,1691,62.8
62,1:30 - 2nd) ,ARI 61.6%,1710,61.6
63,1:19 - 2nd) ,ARI 68.2%,1721,68.2
64,1:11 - 2nd) ,ARI 67.1%,1729,67.1
65,1:04 - 2nd) ,ARI 71.4%,1736,71.4
66,0:55 - 2nd) ,ARI 56.2%,1745,56.2
67,0:44 - 2nd) ,ARI 55.6%,1756,55.6
68,0:39 - 2nd) ,ARI 54.3%,1761,54.3
69,0:28 - 2nd) ,ARI 58.4%,1772,58.4
70,0:17 - 2nd) ,ARI 56.7%,1783,56.7
71,0:08 - 2nd) ,ARI 59.2%,1792,59.2
72,15:00 - 3rd),DET 52.1%,1800,47.9
73,14:26 - 3rd),DET 50.1%,1834,49.9
74,13:41 - 3rd),DET 55.4%,1879,44.6
75,13:04 - 3rd),DET 53.4%,1916,46.6
76,12:24 - 3rd),DET 54.6%,1956,45.4
77,11:44 - 3rd),ARI 51.3%,1996,51.3
78,11:26 - 3rd),DET 53.1%,2014,46.9
79,10:53 - 3rd),ARI 51.4%,2047,51.4
80,10:12 - 3rd),ARI 52.3%,2088,52.3
81,9:30 - 3rd) ,ARI 57.2%,2130,57.2
82,9:23 - 3rd) ,ARI 59.3%,2137,59.3
83,8:54 - 3rd) ,ARI 55.8%,2166,55.8
84,8:49 - 3rd) ,ARI 62.9%,2171,62.9
85,8:28 - 3rd) ,ARI 60.5%,2192,60.5
86,7:46 - 3rd) ,ARI 65.6%,2234,65.6
87,7:01 - 3rd) ,ARI 68.1%,2279,68.1
