,raw_time,raw_win_pct,clean_time,SEA_win_pct
0,14:53 - 1st),GB 62.5%,7,37.5
1,14:48 - 1st),GB 67.7%,12,32.3
2,14:12 - 1st),GB 66.0%,48,34.0
3,13:34 - 1st),GB 64.9%,86,35.099999999999994
4,13:26 - 1st),GB 65.5%,94,34.5
5,13:22 - 1st),GB 63.9%,98,36.1
6,12:41 - 1st),GB 63.7%,139,36.3
7,12:00 - 1st),GB 52.3%,180,47.7
8,11:07 - 1st),GB 61.3%,233,38.7
9,11:02 - 1st),GB 65.4%,238,34.599999999999994
10,10:26 - 1st),GB 70.9%,274,29.099999999999994
11,9:37 - 1st) ,GB 66.1%,323,33.900000000000006
12,9:26 - 1st) ,GB 58.3%,334,41.7
13,8:52 - 1st) ,GB 56.4%,368,43.6
14,8:06 - 1st) ,GB 63.2%,414,36.8
15,7:53 - 1st) ,GB 59.2%,427,40.8
16,7:19 - 1st) ,GB 58.9%,461,41.1
17,6:34 - 1st) ,GB 62.8%,506,37.2
18,5:48 - 1st) ,GB 60.1%,552,39.9
19,5:10 - 1st) ,GB 59.9%,590,40.1
20,4:25 - 1st) ,GB 64.4%,635,35.599999999999994
21,3:51 - 1st) ,GB 66.5%,669,33.5
22,3:13 - 1st) ,GB 66.0%,707,34.0
23,2:26 - 1st) ,GB 62.8%,754,37.2
24,2:15 - 1st) ,GB 57.5%,765,42.5
25,1:41 - 1st) ,GB 57.8%,799,42.2
26,1:34 - 1st) ,GB 62.3%,806,37.7
27,0:52 - 1st) ,GB 65.2%,848,34.8
28,0:14 - 1st) ,GB 64.4%,886,35.599999999999994
29,15:00 - 2nd),GB 61.3%,900,38.7
30,14:48 - 2nd),GB 57.7%,912,42.3
31,14:40 - 2nd),GB 63.3%,920,36.7
32,14:09 - 2nd),GB 65.1%,951,34.900000000000006
33,13:51 - 2nd),GB 65.8%,969,34.2
34,13:28 - 2nd),GB 63.3%,992,36.7
35,12:53 - 2nd),GB 61.7%,1027,38.3
36,12:10 - 2nd),GB 50.1%,1070,49.9
37,11:21 - 2nd),GB 57.5%,1119,42.5
38,11:13 - 2nd),GB 57.4%,1127,42.6
39,10:43 - 2nd),GB 57.0%,1157,43.0
40,10:06 - 2nd),GB 54.0%,1194,46.0
41,9:48 - 2nd) ,GB 55.5%,1212,44.5
42,9:11 - 2nd) ,GB 57.4%,1249,42.6
