,raw_time,raw_win_pct,clean_time,JAX_win_pct
0,14:57 - 1st),HOU 72.7%,3,27.299999999999997
1,14:26 - 1st),HOU 70.2%,34,29.799999999999997
2,13:48 - 1st),HOU 66.1%,72,33.900000000000006
3,13:19 - 1st),HOU 63.1%,101,36.9
4,12:51 - 1st),HOU 62.1%,129,37.9
5,12:21 - 1st),HOU 63.7%,159,36.3
6,12:17 - 1st),HOU 61.6%,163,38.4
7,12:08 - 1st),HOU 66.8%,172,33.2
8,11:36 - 1st),HOU 59.8%,204,40.2
9,10:52 - 1st),HOU 58.4%,248,41.6
10,10:44 - 1st),HOU 58.7%,256,41.3
11,10:34 - 1st),HOU 60.6%,266,39.4
12,10:02 - 1st),HOU 61.2%,298,38.8
13,9:26 - 1st) ,HOU 65.4%,334,34.599999999999994
14,9:22 - 1st) ,HOU 65.1%,338,34.900000000000006
15,9:12 - 1st) ,HOU 64.9%,348,35.099999999999994
16,8:41 - 1st) ,HOU 65.0%,379,35.0
17,8:11 - 1st) ,HOU 66.6%,409,33.400000000000006
18,7:28 - 1st) ,HOU 66.1%,452,33.900000000000006
19,7:07 - 1st) ,HOU 63.5%,473,36.5
20,6:39 - 1st) ,HOU 68.0%,501,32.0
21,5:51 - 1st) ,HOU 63.9%,549,36.1
22,5:26 - 1st) ,HOU 62.2%,574,37.8
23,5:17 - 1st) ,HOU 59.3%,583,40.7
24,5:03 - 1st) ,HOU 57.5%,597,42.5
25,4:32 - 1st) ,HOU 55.6%,628,44.4
26,4:02 - 1st) ,HOU 55.7%,658,44.3
27,3:24 - 1st) ,HOU 51.3%,696,48.7
28,2:42 - 1st) ,JAX 52.6%,738,52.6
29,2:10 - 1st) ,HOU 54.2%,770,45.8
30,1:42 - 1st) ,JAX 50.6%,798,50.6
31,1:05 - 1st) ,JAX 53.2%,835,53.2
32,0:57 - 1st) ,JAX 56.8%,843,56.8
33,0:25 - 1st) ,JAX 51.2%,875,51.2
34,15:00 - 2nd),HOU 52.7%,900,47.3
35,14:49 - 2nd),HOU 53.7%,911,46.3
36,14:42 - 2nd),JAX 51.0%,918,51.0
37,14:06 - 2nd),JAX 52.9%,954,52.9
38,14:01 - 2nd),JAX 55.3%,959,55.3
39,13:16 - 2nd),HOU 59.8%,1004,40.2
40,12:58 - 2nd),JAX 53.1%,1022,53.1
41,12:22 - 2nd),JAX 53.9%,1058,53.9
42,11:42 - 2nd),HOU 51.8%,1098,48.2
43,11:35 - 2nd),HOU 52.2%,1105,47.8
44,11:24 - 2nd),JAX 50.6%,1116,50.6
45,11:02 - 2nd),JAX 50.8%,1138,50.8
46,10:55 - 2nd),JAX 57.6%,1145,57.6
47,10:22 - 2nd),JAX 55.7%,1178,55.7
48,10:12 - 2nd),JAX 54.4%,1188,54.4
49,9:36 - 2nd) ,JAX 52.2%,1224,52.2
50,8:58 - 2nd) ,HOU 50.9%,1262,49.1
51,8:51 - 2nd) ,HOU 50.7%,1269,49.3
52,8:37 - 2nd) ,HOU 53.3%,1283,46.7
53,8:10 - 2nd) ,HOU 51.0%,1310,49.0
54,7:38 - 2nd) ,JAX 62.3%,1342,62.3
55,7:31 - 2nd) ,JAX 62.2%,1349,62.2
56,6:53 - 2nd) ,JAX 64.5%,1387,64.5
57,6:05 - 2nd) ,JAX 71.0%,1435,71.0
58,5:41 - 2nd) ,JAX 68.7%,1459,68.7
59,4:57 - 2nd) ,JAX 73.7%,1503,73.7
60,4:32 - 2nd) ,JAX 72.2%,1528,72.2
61,3:43 - 2nd) ,JAX 64.3%,1577,64.3
62,3:08 - 2nd) ,JAX 64.0%,1612,64.0
63,2:02 - 2nd) ,JAX 72.9%,1678,72.9
64,1:57 - 2nd) ,JAX 70.6%,1683,70.6
65,1:18 - 2nd) ,JAX 74.5%,1722,74.5
66,1:12 - 2nd) ,JAX 67.5%,1728,67.5
