,raw_time,raw_win_pct,clean_time,CAR_win_pct
0,14:47 - 1st),CAR 60.5%,13,60.5
1,14:30 - 1st),CAR 60.5%,30,60.5
2,13:28 - 1st),CAR 57.7%,92,57.7
3,12:59 - 1st),CAR 64.5%,121,64.5
4,12:20 - 1st),CAR 59.3%,160,59.3
5,12:12 - 1st),CAR 54.5%,168,54.5
6,12:02 - 1st),CAR 58.0%,178,58.0
7,11:45 - 1st),CAR 68.7%,195,68.7
8,11:16 - 1st),CAR 60.2%,224,60.2
9,10:51 - 1st),CAR 57.9%,249,57.9
10,10:07 - 1st),CAR 57.2%,293,57.2
11,9:37 - 1st) ,CAR 57.7%,323,57.7
12,9:11 - 1st) ,CAR 58.2%,349,58.2
13,8:38 - 1st) ,CAR 58.8%,382,58.8
14,8:28 - 1st) ,CAR 65.6%,392,65.6
15,7:53 - 1st) ,CAR 61.3%,427,61.3
16,7:47 - 1st) ,CAR 61.1%,433,61.1
17,7:40 - 1st) ,CAR 59.1%,440,59.1
18,6:54 - 1st) ,CAR 57.8%,486,57.8
19,6:16 - 1st) ,CAR 56.8%,524,56.8
20,6:13 - 1st) ,CAR 53.3%,527,53.3
21,6:04 - 1st) ,CAR 56.0%,536,56.0
22,5:52 - 1st) ,CAR 54.1%,548,54.1
23,5:28 - 1st) ,CAR 54.6%,572,54.6
24,4:35 - 1st) ,CAR 60.9%,625,60.9
25,4:18 - 1st) ,CAR 61.0%,642,61.0
26,3:37 - 1st) ,CAR 66.4%,683,66.4
27,3:00 - 1st) ,CAR 74.2%,720,74.2
28,2:51 - 1st) ,CAR 71.8%,729,71.8
29,2:16 - 1st) ,CAR 74.2%,764,74.2
30,1:53 - 1st) ,CAR 77.7%,787,77.7
31,1:21 - 1st) ,CAR 78.5%,819,78.5
32,0:58 - 1st) ,CAR 79.2%,842,79.2
33,0:45 - 1st) ,CAR 78.2%,855,78.2
34,0:34 - 1st) ,CAR 77.2%,866,77.2
35,0:00 - 1st) ,CAR 77.2%,900,77.2
36,14:53 - 2nd),CAR 77.0%,907,77.0
37,14:15 - 2nd),CAR 73.2%,945,73.2
38,14:07 - 2nd),CAR 74.2%,953,74.2
39,13:56 - 2nd),CAR 79.5%,964,79.5
40,13:24 - 2nd),CAR 80.7%,996,80.7
41,12:52 - 2nd),CAR 80.8%,1028,80.8
42,12:14 - 2nd),CAR 78.5%,1066,78.5
43,12:09 - 2nd),CAR 78.0%,1071,78.0
44,11:35 - 2nd),CAR 80.7%,1105,80.7
45,11:22 - 2nd),CAR 79.3%,1118,79.3
46,10:49 - 2nd),CAR 81.6%,1151,81.6
47,10:15 - 2nd),CAR 81.8%,1185,81.8
48,9:46 - 2nd) ,CAR 79.1%,1214,79.1
49,9:28 - 2nd) ,CAR 74.6%,1232,74.6
50,9:12 - 2nd) ,CAR 74.3%,1248,74.3
51,8:16 - 2nd) ,CAR 70.9%,1304,70.9
52,7:47 - 2nd) ,CAR 71.4%,1333,71.4
53,7:15 - 2nd) ,CAR 72.8%,1365,72.8
54,6:55 - 2nd) ,CAR 77.9%,1385,77.9
55,6:32 - 2nd) ,CAR 77.4%,1408,77.4
56,6:27 - 2nd) ,CAR 81.5%,1413,81.5
57,6:14 - 2nd) ,CAR 82.8%,1426,82.8
58,5:42 - 2nd) ,CAR 79.0%,1458,79.0
59,5:09 - 2nd) ,CAR 77.2%,1491,77.2
60,4:53 - 2nd) ,CAR 84.2%,1507,84.2
61,4:07 - 2nd) ,CAR 85.2%,1553,85.2
62,3:32 - 2nd) ,CAR 83.5%,1588,83.5
63,3:28 - 2nd) ,CAR 80.9%,1592,80.9
64,3:18 - 2nd) ,CAR 83.1%,1602,83.1
65,3:04 - 2nd) ,CAR 78.4%,1616,78.4
66,2:34 - 2nd) ,CAR 80.6%,1646,80.6
67,2:00 - 2nd) ,CAR 80.9%,1680,80.9
68,1:49 - 2nd) ,CAR 79.9%,1691,79.9
69,1:05 - 2nd) ,CAR 84.5%,1735,84.5
70,0:46 - 2nd) ,CAR 85.4%,1754,85.4
71,0:36 - 2nd) ,CAR 86.1%,1764,86.1
72,0:26 - 2nd) ,CAR 87.0%,1774,87.0
73,0:21 - 2nd) ,CAR 86.6%,1779,86.6
74,0:05 - 2nd) ,CAR 90.0%,1795,90.0
75,15:00 - 3rd),CAR 88.9%,1800,88.9
76,14:48 - 3rd),CAR 93.3%,1812,93.3
77,14:25 - 3rd),CAR 94.5%,1835,94.5
78,14:19 - 3rd),CAR 94.6%,1841,94.6
79,13:34 - 3rd),CAR 95.0%,1886,95.0
80,12:43 - 3rd),CAR 96.0%,1937,96.0
81,12:09 - 3rd),CAR 96.0%,1971,96.0
82,11:32 - 3rd),CAR 96.9%,2008,96.9
83,11:24 - 3rd),CAR 97.8%,2016,97.8
84,11:12 - 3rd),CAR 98.1%,2028,98.1
85,10:47 - 3rd),CAR 98.1%,2053,98.1
86,10:15 - 3rd),CAR 98.6%,2085,98.6
87,10:04 - 3rd),CAR 98.6%,2096,98.6
88,9:50 - 3rd) ,CAR 98.4%,2110,98.4
89,9:12 - 3rd) ,CAR 98.9%,2148,98.9
90,8:25 - 3rd) ,CAR 99.1%,2195,99.1
91,8:02 - 3rd) ,CAR 99.1%,2218,99.1
92,7:52 - 3rd) ,CAR 99.1%,2228,99.1
