,raw_time,raw_win_pct,clean_time,OAK_win_pct
0,14:58 - 1st),OAK 50.4%,2,50.4
1,14:16 - 1st),OAK 53.7%,44,53.7
2,13:40 - 1st),OAK 56.3%,80,56.3
3,12:49 - 1st),OAK 64.8%,131,64.8
4,12:44 - 1st),OAK 65.1%,136,65.1
5,12:39 - 1st),OAK 57.8%,141,57.8
6,11:57 - 1st),OAK 58.4%,183,58.4
7,11:18 - 1st),OAK 56.3%,222,56.3
8,10:40 - 1st),OAK 59.1%,260,59.1
9,9:59 - 1st) ,OAK 61.3%,301,61.3
10,9:55 - 1st) ,OAK 54.8%,305,54.8
11,9:11 - 1st) ,OAK 57.5%,349,57.5
12,8:31 - 1st) ,OAK 58.7%,389,58.7
13,7:49 - 1st) ,TEN 50.5%,431,49.5
14,6:58 - 1st) ,TEN 53.8%,482,46.2
15,6:16 - 1st) ,TEN 55.5%,524,44.5
16,6:11 - 1st) ,TIE,529,50.0
17,5:28 - 1st) ,TEN 50.5%,572,49.5
18,4:40 - 1st) ,TEN 55.3%,620,44.7
19,4:09 - 1st) ,TEN 56.7%,651,43.3
20,4:05 - 1st) ,OAK 53.6%,655,53.6
21,3:59 - 1st) ,OAK 51.1%,661,51.1
22,3:23 - 1st) ,OAK 60.0%,697,60.0
23,2:51 - 1st) ,OAK 58.8%,729,58.8
24,2:10 - 1st) ,OAK 57.4%,770,57.4
25,1:25 - 1st) ,OAK 51.4%,815,51.4
26,0:45 - 1st) ,OAK 60.8%,855,60.8
27,0:10 - 1st) ,OAK 59.9%,890,59.9
28,0:00 - 1st) ,OAK 50.8%,900,50.8
29,14:55 - 2nd),OAK 53.8%,905,53.8
30,14:21 - 2nd),OAK 53.1%,939,53.1
31,13:49 - 2nd),OAK 57.2%,971,57.2
32,13:09 - 2nd),OAK 55.0%,1011,55.0
33,13:00 - 2nd),OAK 51.3%,1020,51.3
34,12:26 - 2nd),OAK 57.3%,1054,57.3
35,11:50 - 2nd),OAK 56.1%,1090,56.1
36,11:13 - 2nd),OAK 59.0%,1127,59.0
37,10:35 - 2nd),OAK 56.7%,1165,56.7
38,10:00 - 2nd),OAK 62.4%,1200,62.4
39,9:15 - 2nd) ,OAK 59.7%,1245,59.7
40,8:37 - 2nd) ,OAK 55.6%,1283,55.6
41,7:54 - 2nd) ,OAK 52.6%,1326,52.6
42,7:14 - 2nd) ,OAK 56.0%,1366,56.0
43,7:03 - 2nd) ,OAK 58.4%,1377,58.4
44,6:30 - 2nd) ,OAK 55.7%,1410,55.7
45,5:49 - 2nd) ,OAK 50.7%,1451,50.7
46,5:08 - 2nd) ,OAK 53.4%,1492,53.4
47,4:32 - 2nd) ,TEN 52.4%,1528,47.6
48,3:42 - 2nd) ,OAK 51.7%,1578,51.7
49,3:39 - 2nd) ,OAK 51.7%,1581,51.7
50,2:56 - 2nd) ,TEN 54.1%,1624,45.9
51,2:13 - 2nd) ,TEN 56.4%,1667,43.6
52,2:00 - 2nd) ,TEN 58.4%,1680,41.6
53,1:45 - 2nd) ,TEN 60.5%,1695,39.5
54,1:04 - 2nd) ,TEN 63.8%,1736,36.2
55,0:58 - 2nd) ,TEN 53.7%,1742,46.3
56,0:43 - 2nd) ,TEN 51.0%,1757,49.0
57,0:36 - 2nd) ,OAK 50.9%,1764,50.9
58,0:29 - 2nd) ,OAK 52.2%,1771,52.2
59,0:20 - 2nd) ,OAK 54.4%,1780,54.4
60,0:02 - 2nd) ,OAK 52.2%,1798,52.2
61,15:00 - 3rd),OAK 54.1%,1800,54.1
62,14:24 - 3rd),OAK 57.0%,1836,57.0
63,13:40 - 3rd),OAK 53.8%,1880,53.8
64,12:57 - 3rd),OAK 54.4%,1923,54.4
65,12:16 - 3rd),OAK 57.5%,1964,57.5
66,11:37 - 3rd),OAK 61.2%,2003,61.2
67,11:31 - 3rd),OAK 59.2%,2009,59.2
68,11:21 - 3rd),OAK 55.7%,2019,55.7
69,11:17 - 3rd),OAK 58.3%,2023,58.3
70,10:41 - 3rd),OAK 53.8%,2059,53.8
71,10:24 - 3rd),OAK 62.4%,2076,62.4
72,9:38 - 3rd) ,OAK 64.4%,2122,64.4
73,8:55 - 3rd) ,OAK 66.3%,2165,66.3
74,8:50 - 3rd) ,OAK 65.3%,2170,65.3
75,8:42 - 3rd) ,OAK 63.4%,2178,63.4
76,8:03 - 3rd) ,OAK 61.9%,2217,61.9
77,7:24 - 3rd) ,OAK 68.4%,2256,68.4
78,6:49 - 3rd) ,OAK 65.3%,2291,65.3
79,6:12 - 3rd) ,OAK 69.7%,2328,69.7
80,6:10 - 3rd) ,OAK 69.6%,2330,69.6
81,5:32 - 3rd) ,OAK 63.1%,2368,63.1
82,5:10 - 3rd) ,OAK 62.0%,2390,62.0
83,4:44 - 3rd) ,OAK 72.0%,2416,72.0
84,4:31 - 3rd) ,OAK 70.1%,2429,70.1
85,3:50 - 3rd) ,OAK 68.9%,2470,68.9
86,3:22 - 3rd) ,OAK 63.8%,2498,63.8
87,2:42 - 3rd) ,OAK 65.2%,2538,65.2
88,2:15 - 3rd) ,OAK 56.4%,2565,56.4
89,1:31 - 3rd) ,OAK 61.2%,2609,61.2
90,1:27 - 3rd) ,OAK 55.1%,2613,55.1
91,0:42 - 3rd) ,OAK 66.3%,2658,66.3
92,15:00 - 4th),OAK 70.3%,2700,70.3
93,14:27 - 4th),OAK 73.1%,2733,73.1
94,13:58 - 4th),OAK 71.9%,2762,71.9
95,13:10 - 4th),OAK 76.0%,2810,76.0
96,12:29 - 4th),OAK 81.2%,2851,81.2
97,11:58 - 4th),OAK 88.8%,2882,88.8
98,11:50 - 4th),OAK 86.0%,2890,86.0
99,11:20 - 4th),OAK 90.0%,2920,90.0
100,10:48 - 4th),OAK 90.4%,2952,90.4
101,10:38 - 4th),OAK 93.4%,2962,93.4
102,10:32 - 4th),OAK 91.6%,2968,91.6
103,9:53 - 4th) ,OAK 92.8%,3007,92.8
104,9:15 - 4th) ,OAK 96.4%,3045,96.4
105,8:31 - 4th) ,OAK 95.7%,3089,95.7
106,7:45 - 4th) ,OAK 96.5%,3135,96.5
107,7:03 - 4th) ,OAK 96.1%,3177,96.1
108,6:59 - 4th) ,OAK 95.9%,3181,95.9
109,6:44 - 4th) ,OAK 95.4%,3196,95.4
110,6:30 - 4th) ,OAK 93.8%,3210,93.8
111,6:09 - 4th) ,OAK 95.5%,3231,95.5
112,6:03 - 4th) ,OAK 98.6%,3237,98.6
113,5:41 - 4th) ,OAK 89.8%,3259,89.8
114,5:11 - 4th) ,OAK 91.2%,3289,91.2
115,5:03 - 4th) ,OAK 91.7%,3297,91.7
116,4:59 - 4th) ,OAK 92.5%,3301,92.5
117,4:49 - 4th) ,OAK 91.8%,3311,91.8
118,4:41 - 4th) ,OAK 91.1%,3319,91.1
119,3:55 - 4th) ,OAK 93.9%,3365,93.9
120,3:17 - 4th) ,OAK 94.0%,3403,94.0
121,3:05 - 4th) ,OAK 98.0%,3415,98.0
122,2:58 - 4th) ,OAK 99.1%,3422,99.1
123,2:52 - 4th) ,OAK 99.4%,3428,99.4
124,2:06 - 4th) ,OAK 99.9%,3474,99.9
125,2:00 - 4th) ,OAK 99.9%,3480,99.9
126,1:14 - 4th) ,OAK 99.9%,3526,99.9
127,1:09 - 4th) ,OAK 99.9%,3531,99.9
128,0:47 - 4th) ,OAK 99.9%,3553,99.9
129,0:46 - 4th) ,OAK 99.9%,3554,99.9
130,0:38 - 4th) ,OAK 99.9%,3562,99.9
131,0:21 - 4th) ,OAK 99.9%,3579,99.9
132,0:18 - 4th) ,OAK 99.9%,3582,99.9
133,0:07 - 4th) ,OAK 99.9%,3593,99.9
134,0:00 - 4th) ,OAK 100%,3600,100.0
