,raw_time,raw_win_pct,clean_time,PHI_win_pct
0,14:50 - 1st),PHI 52.6%,10,52.6
1,14:12 - 1st),WSH 54.2%,48,45.8
2,13:31 - 1st),WSH 50.5%,89,49.5
3,12:52 - 1st),PHI 50.9%,128,50.9
4,12:49 - 1st),PHI 53.1%,131,53.1
5,12:35 - 1st),PHI 51.3%,145,51.3
6,12:27 - 1st),WSH 51.2%,153,48.8
7,11:28 - 1st),PHI 68.2%,212,68.2
8,11:23 - 1st),PHI 60.1%,217,60.1
9,10:50 - 1st),PHI 61.7%,250,61.7
10,10:10 - 1st),PHI 64.0%,290,64.0
11,9:58 - 1st) ,PHI 73.0%,302,73.0
12,9:16 - 1st) ,PHI 69.9%,344,69.9
13,8:33 - 1st) ,PHI 70.8%,387,70.8
14,7:57 - 1st) ,PHI 76.2%,423,76.2
15,7:16 - 1st) ,PHI 74.2%,464,74.2
16,6:37 - 1st) ,PHI 62.6%,503,62.6
17,6:24 - 1st) ,PHI 68.3%,516,68.3
18,6:21 - 1st) ,PHI 68.2%,519,68.2
19,5:43 - 1st) ,PHI 66.0%,557,66.0
20,5:02 - 1st) ,PHI 70.6%,598,70.6
21,4:49 - 1st) ,PHI 68.9%,611,68.9
22,4:14 - 1st) ,PHI 70.6%,646,70.6
23,3:31 - 1st) ,PHI 64.6%,689,64.6
24,2:55 - 1st) ,PHI 77.0%,725,77.0
25,2:43 - 1st) ,PHI 77.8%,737,77.8
26,1:57 - 1st) ,PHI 78.5%,783,78.5
27,1:11 - 1st) ,PHI 80.9%,829,80.9
28,0:27 - 1st) ,PHI 81.5%,873,81.5
29,15:00 - 2nd),PHI 82.7%,900,82.7
30,14:16 - 2nd),PHI 83.1%,944,83.1
31,13:33 - 2nd),PHI 82.0%,987,82.0
32,13:23 - 2nd),PHI 82.6%,997,82.6
33,13:18 - 2nd),PHI 82.6%,1002,82.6
34,12:40 - 2nd),PHI 83.2%,1040,83.2
35,12:06 - 2nd),PHI 81.8%,1074,81.8
36,11:35 - 2nd),PHI 84.3%,1105,84.3
37,11:00 - 2nd),PHI 85.0%,1140,85.0
38,10:20 - 2nd),PHI 86.5%,1180,86.5
39,9:26 - 2nd) ,PHI 86.7%,1234,86.7
40,8:43 - 2nd) ,PHI 84.9%,1277,84.9
41,8:30 - 2nd) ,PHI 72.0%,1290,72.0
42,7:51 - 2nd) ,PHI 69.4%,1329,69.4
43,7:21 - 2nd) ,PHI 70.9%,1359,70.9
44,6:37 - 2nd) ,PHI 71.3%,1403,71.3
45,5:51 - 2nd) ,PHI 66.4%,1449,66.4
46,5:23 - 2nd) ,PHI 69.9%,1477,69.9
47,4:35 - 2nd) ,PHI 66.1%,1525,66.1
48,4:03 - 2nd) ,PHI 65.9%,1557,65.9
49,3:52 - 2nd) ,PHI 64.0%,1568,64.0
50,3:15 - 2nd) ,PHI 61.9%,1605,61.9
51,2:11 - 2nd) ,PHI 63.5%,1669,63.5
52,2:00 - 2nd) ,PHI 61.5%,1680,61.5
53,1:34 - 2nd) ,PHI 60.4%,1706,60.4
54,1:26 - 2nd) ,PHI 61.2%,1714,61.2
55,1:17 - 2nd) ,WSH 52.4%,1723,47.6
56,1:11 - 2nd) ,WSH 53.4%,1729,46.6
57,1:04 - 2nd) ,PHI 53.4%,1736,53.4
58,0:56 - 2nd) ,WSH 50.2%,1744,49.8
59,0:41 - 2nd) ,PHI 52.8%,1759,52.8
60,0:22 - 2nd) ,PHI 50.3%,1778,50.3
61,0:15 - 2nd) ,WSH 55.5%,1785,44.5
62,0:10 - 2nd) ,PHI 53.9%,1790,53.9
63,15:00 - 3rd),PHI 64.3%,1800,64.3
64,14:26 - 3rd),PHI 60.4%,1834,60.4
65,13:35 - 3rd),PHI 66.2%,1885,66.2
66,12:58 - 3rd),PHI 69.1%,1922,69.1
67,12:32 - 3rd),PHI 65.5%,1948,65.5
68,11:39 - 3rd),PHI 66.2%,2001,66.2
69,10:53 - 3rd),PHI 65.3%,2047,65.3
70,10:49 - 3rd),PHI 63.8%,2051,63.8
71,10:38 - 3rd),PHI 66.9%,2062,66.9
72,10:33 - 3rd),PHI 72.1%,2067,72.1
73,9:53 - 3rd) ,PHI 71.5%,2107,71.5
74,9:23 - 3rd) ,PHI 66.2%,2137,66.2
75,9:03 - 3rd) ,PHI 67.1%,2157,67.1
76,8:14 - 3rd) ,PHI 64.0%,2206,64.0
77,7:40 - 3rd) ,PHI 64.8%,2240,64.8
78,6:59 - 3rd) ,PHI 62.0%,2281,62.0
79,6:14 - 3rd) ,PHI 60.0%,2326,60.0
80,5:54 - 3rd) ,PHI 59.0%,2346,59.0
81,5:15 - 3rd) ,PHI 63.7%,2385,63.7
82,5:05 - 3rd) ,PHI 56.2%,2395,56.2
83,4:17 - 3rd) ,PHI 53.6%,2443,53.6
84,3:34 - 3rd) ,PHI 57.6%,2486,57.6
85,3:05 - 3rd) ,PHI 55.6%,2515,55.6
86,2:23 - 3rd) ,PHI 57.7%,2557,57.7
87,2:18 - 3rd) ,PHI 62.0%,2562,62.0
88,2:06 - 3rd) ,PHI 61.8%,2574,61.8
89,2:00 - 3rd) ,PHI 64.7%,2580,64.7
90,1:28 - 3rd) ,PHI 67.6%,2612,67.6
