,raw_time,raw_win_pct,clean_time,CLE_win_pct
0,13:48 - 1st),BAL 83.9%,72,16.099999999999994
1,13:22 - 1st),BAL 83.0%,98,17.0
2,13:15 - 1st),BAL 80.8%,105,19.200000000000003
3,12:41 - 1st),BAL 84.3%,139,15.700000000000003
4,12:12 - 1st),BAL 85.2%,168,14.799999999999997
5,11:30 - 1st),BAL 83.4%,210,16.599999999999994
6,10:54 - 1st),BAL 82.0%,246,18.0
7,10:50 - 1st),BAL 79.1%,250,20.900000000000006
8,10:14 - 1st),BAL 79.5%,286,20.5
9,10:06 - 1st),BAL 78.2%,294,21.799999999999997
10,9:32 - 1st) ,BAL 78.2%,328,21.799999999999997
11,8:49 - 1st) ,BAL 75.9%,371,24.099999999999994
12,8:17 - 1st) ,BAL 77.6%,403,22.400000000000006
13,7:43 - 1st) ,BAL 78.3%,437,21.700000000000003
14,7:38 - 1st) ,BAL 76.2%,442,23.799999999999997
15,7:30 - 1st) ,BAL 85.3%,450,14.700000000000003
16,7:01 - 1st) ,BAL 85.8%,479,14.200000000000003
17,6:25 - 1st) ,BAL 84.8%,515,15.200000000000003
18,5:52 - 1st) ,BAL 85.4%,548,14.599999999999994
19,5:17 - 1st) ,BAL 84.3%,583,15.700000000000003
20,4:34 - 1st) ,BAL 86.7%,626,13.299999999999997
21,3:56 - 1st) ,BAL 90.3%,664,9.700000000000003
22,3:38 - 1st) ,BAL 90.3%,682,9.700000000000003
23,3:09 - 1st) ,BAL 90.7%,711,9.299999999999997
24,3:01 - 1st) ,BAL 85.3%,719,14.700000000000003
25,2:27 - 1st) ,BAL 83.7%,753,16.299999999999997
26,1:51 - 1st) ,BAL 84.2%,789,15.799999999999997
27,1:15 - 1st) ,BAL 83.9%,825,16.099999999999994
28,0:34 - 1st) ,BAL 88.9%,866,11.099999999999994
29,0:28 - 1st) ,BAL 88.7%,872,11.299999999999997
30,15:00 - 2nd),BAL 89.0%,900,11.0
31,14:27 - 2nd),BAL 90.2%,933,9.799999999999997
32,13:51 - 2nd),BAL 93.7%,969,6.299999999999997
33,13:41 - 2nd),BAL 89.7%,979,10.299999999999997
34,13:07 - 2nd),BAL 87.0%,1013,13.0
