,raw_time,raw_win_pct,clean_time,BUF_win_pct
0,14:20 - 1st),CAR 71.5%,40,28.5
1,14:16 - 1st),CAR 77.1%,44,22.900000000000006
2,13:33 - 1st),CAR 77.9%,87,22.099999999999994
3,12:50 - 1st),CAR 75.2%,130,24.799999999999997
4,12:45 - 1st),CAR 78.0%,135,22.0
5,11:59 - 1st),CAR 79.4%,181,20.599999999999994
6,11:08 - 1st),CAR 79.3%,232,20.700000000000003
7,10:34 - 1st),CAR 80.0%,266,20.0
8,9:50 - 1st) ,CAR 79.3%,310,20.700000000000003
9,9:07 - 1st) ,CAR 80.3%,353,19.700000000000003
10,9:01 - 1st) ,CAR 74.6%,359,25.400000000000006
11,8:49 - 1st) ,CAR 77.2%,371,22.799999999999997
12,8:22 - 1st) ,CAR 78.1%,398,21.900000000000006
13,8:17 - 1st) ,CAR 83.0%,403,17.0
14,7:56 - 1st) ,CAR 77.7%,424,22.299999999999997
15,7:43 - 1st) ,CAR 74.7%,437,25.299999999999997
16,7:12 - 1st) ,CAR 76.4%,468,23.599999999999994
17,6:29 - 1st) ,CAR 79.8%,511,20.200000000000003
18,5:41 - 1st) ,CAR 77.2%,559,22.799999999999997
19,5:35 - 1st) ,CAR 80.5%,565,19.5
20,4:46 - 1st) ,CAR 81.1%,614,18.900000000000006
21,3:59 - 1st) ,CAR 78.4%,661,21.599999999999994
22,3:12 - 1st) ,CAR 73.9%,708,26.099999999999994
23,2:34 - 1st) ,CAR 74.2%,746,25.799999999999997
24,2:25 - 1st) ,CAR 76.3%,755,23.700000000000003
25,1:52 - 1st) ,CAR 77.0%,788,23.0
26,1:09 - 1st) ,CAR 78.7%,831,21.299999999999997
27,0:34 - 1st) ,CAR 78.4%,866,21.599999999999994
28,0:24 - 1st) ,CAR 75.9%,876,24.099999999999994
29,0:19 - 1st) ,CAR 79.8%,881,20.200000000000003
30,15:00 - 2nd),CAR 82.5%,900,17.5
31,14:22 - 2nd),CAR 78.0%,938,22.0
32,13:40 - 2nd),CAR 76.8%,980,23.200000000000003
33,12:54 - 2nd),CAR 69.2%,1026,30.799999999999997
34,12:11 - 2nd),CAR 73.9%,1069,26.099999999999994
35,12:01 - 2nd),CAR 73.9%,1079,26.099999999999994
36,11:21 - 2nd),CAR 75.7%,1119,24.299999999999997
37,10:47 - 2nd),CAR 71.8%,1153,28.200000000000003
38,10:22 - 2nd),CAR 73.1%,1178,26.900000000000006
39,9:51 - 2nd) ,CAR 73.9%,1209,26.099999999999994
40,9:16 - 2nd) ,CAR 83.2%,1244,16.799999999999997
