,raw_time,raw_win_pct,clean_time,ARI_win_pct
0,14:24 - 1st),ARI 53.9%,36,53.9
1,13:39 - 1st),ARI 52.5%,81,52.5
2,13:34 - 1st),ARI 51.4%,86,51.4
3,13:23 - 1st),ARI 51.6%,97,51.6
4,12:58 - 1st),ARI 53.7%,122,53.7
5,12:53 - 1st),IND 51.2%,127,48.8
6,12:22 - 1st),ARI 54.0%,158,54.0
7,11:46 - 1st),ARI 55.6%,194,55.6
8,11:38 - 1st),IND 53.5%,202,46.5
9,11:02 - 1st),IND 56.7%,238,43.3
10,10:26 - 1st),IND 56.5%,274,43.5
11,9:49 - 1st) ,IND 57.6%,311,42.4
12,9:08 - 1st) ,IND 54.2%,352,45.8
13,8:34 - 1st) ,IND 51.4%,386,48.6
14,7:57 - 1st) ,ARI 51.1%,423,51.1
15,7:49 - 1st) ,IND 56.5%,431,43.5
16,7:38 - 1st) ,IND 61.6%,442,38.4
17,7:32 - 1st) ,IND 62.8%,448,37.2
18,6:48 - 1st) ,IND 64.3%,492,35.7
19,6:05 - 1st) ,IND 74.3%,535,25.700000000000003
20,5:48 - 1st) ,IND 71.3%,552,28.700000000000003
21,5:12 - 1st) ,IND 70.4%,588,29.599999999999994
22,4:35 - 1st) ,IND 67.4%,625,32.599999999999994
23,4:04 - 1st) ,IND 73.4%,656,26.599999999999994
24,3:24 - 1st) ,IND 71.2%,696,28.799999999999997
25,2:52 - 1st) ,IND 66.7%,728,33.3
26,2:11 - 1st) ,IND 69.0%,769,31.0
27,1:27 - 1st) ,IND 63.9%,813,36.1
28,0:51 - 1st) ,IND 63.7%,849,36.3
29,0:12 - 1st) ,IND 61.2%,888,38.8
30,15:00 - 2nd),IND 64.1%,900,35.900000000000006
31,14:21 - 2nd),IND 68.3%,939,31.700000000000003
32,13:49 - 2nd),IND 69.6%,971,30.400000000000006
33,13:05 - 2nd),IND 75.3%,1015,24.700000000000003
34,13:00 - 2nd),IND 71.4%,1020,28.599999999999994
35,12:25 - 2nd),IND 70.1%,1055,29.900000000000006
36,12:17 - 2nd),IND 69.5%,1063,30.5
37,12:03 - 2nd),IND 69.1%,1077,30.900000000000006
38,11:45 - 2nd),IND 74.0%,1095,26.0
39,11:38 - 2nd),IND 76.5%,1102,23.5
40,11:08 - 2nd),IND 71.7%,1132,28.299999999999997
41,10:35 - 2nd),IND 70.6%,1165,29.400000000000006
42,10:32 - 2nd),IND 72.9%,1168,27.099999999999994
43,9:55 - 2nd) ,IND 69.1%,1205,30.900000000000006
44,9:18 - 2nd) ,IND 67.7%,1242,32.3
45,8:42 - 2nd) ,IND 70.5%,1278,29.5
46,8:37 - 2nd) ,IND 65.1%,1283,34.900000000000006
47,8:30 - 2nd) ,IND 66.5%,1290,33.5
48,7:54 - 2nd) ,IND 68.9%,1326,31.099999999999994
49,7:49 - 2nd) ,IND 63.3%,1331,36.7
50,7:15 - 2nd) ,IND 64.1%,1365,35.900000000000006
51,6:35 - 2nd) ,IND 67.6%,1405,32.400000000000006
52,6:15 - 2nd) ,IND 69.8%,1425,30.200000000000003
53,6:07 - 2nd) ,IND 73.0%,1433,27.0
54,5:56 - 2nd) ,IND 59.0%,1444,41.0
55,5:48 - 2nd) ,IND 66.4%,1452,33.599999999999994
56,5:12 - 2nd) ,IND 67.7%,1488,32.3
57,4:58 - 2nd) ,IND 67.4%,1502,32.599999999999994
58,4:20 - 2nd) ,IND 65.9%,1540,34.099999999999994
