,raw_time,raw_win_pct,clean_time,NE_win_pct
0,14:28 - 1st),NE 60.1%,32,60.1
1,13:54 - 1st),NE 53.7%,66,53.7
2,13:27 - 1st),NE 58.6%,93,58.6
3,13:23 - 1st),NE 57.7%,97,57.7
4,12:46 - 1st),NE 63.6%,134,63.6
5,12:08 - 1st),NE 60.9%,172,60.9
6,11:36 - 1st),NE 65.7%,204,65.7
7,11:04 - 1st),NE 67.6%,236,67.6
8,10:31 - 1st),NE 67.3%,269,67.3
9,10:27 - 1st),NE 67.4%,273,67.4
10,9:55 - 1st) ,NE 65.2%,305,65.2
11,9:34 - 1st) ,NE 62.7%,326,62.7
12,9:10 - 1st) ,NE 64.9%,350,64.9
13,8:33 - 1st) ,NE 65.3%,387,65.3
14,7:49 - 1st) ,NE 62.2%,431,62.2
15,7:38 - 1st) ,NE 63.2%,442,63.2
16,7:34 - 1st) ,NE 69.2%,446,69.2
17,6:54 - 1st) ,NE 57.0%,486,57.0
18,6:19 - 1st) ,NE 56.8%,521,56.8
19,5:29 - 1st) ,NE 78.3%,571,78.3
20,5:23 - 1st) ,NE 82.3%,577,82.3
21,5:15 - 1st) ,NE 82.9%,585,82.9
22,5:08 - 1st) ,NE 83.7%,592,83.7
23,4:46 - 1st) ,NE 86.5%,614,86.5
24,4:17 - 1st) ,NE 83.2%,643,83.2
25,4:09 - 1st) ,NE 83.5%,651,83.5
26,3:44 - 1st) ,NE 75.3%,676,75.3
27,3:07 - 1st) ,NE 83.2%,713,83.2
28,2:38 - 1st) ,NE 82.1%,742,82.1
29,2:34 - 1st) ,NE 85.8%,746,85.8
30,1:51 - 1st) ,NE 82.4%,789,82.4
31,1:07 - 1st) ,NE 82.8%,833,82.8
32,0:24 - 1st) ,NE 86.6%,876,86.6
33,0:16 - 1st) ,NE 91.2%,884,91.2
34,0:12 - 1st) ,NE 91.7%,888,91.7
35,15:00 - 2nd),NE 91.4%,900,91.4
36,14:34 - 2nd),NE 91.4%,926,91.4
37,14:29 - 2nd),NE 86.6%,931,86.6
38,13:50 - 2nd),NE 86.1%,970,86.1
39,13:14 - 2nd),NE 84.8%,1006,84.8
40,12:38 - 2nd),NE 87.3%,1042,87.3
41,12:35 - 2nd),NE 86.5%,1045,86.5
42,11:52 - 2nd),NE 81.5%,1088,81.5
43,11:15 - 2nd),NE 80.5%,1125,80.5
44,11:10 - 2nd),NE 77.1%,1130,77.1
45,10:40 - 2nd),NE 77.1%,1160,77.1
46,10:31 - 2nd),NE 79.0%,1169,79.0
47,9:53 - 2nd) ,NE 80.2%,1207,80.2
48,9:47 - 2nd) ,NE 70.1%,1213,70.1
49,9:15 - 2nd) ,NE 72.1%,1245,72.1
50,8:37 - 2nd) ,NE 73.8%,1283,73.8
51,8:33 - 2nd) ,NE 77.5%,1287,77.5
52,8:23 - 2nd) ,NE 82.5%,1297,82.5
