,raw_time,raw_win_pct,clean_time,MIN_win_pct
0,14:56 - 1st),PIT 66.2%,4,33.8
1,14:10 - 1st),PIT 66.3%,50,33.7
2,13:26 - 1st),PIT 63.9%,94,36.1
3,12:55 - 1st),PIT 60.8%,125,39.2
4,12:42 - 1st),PIT 64.3%,138,35.7
5,12:13 - 1st),PIT 62.4%,167,37.6
6,11:29 - 1st),PIT 60.0%,211,40.0
7,10:46 - 1st),PIT 65.3%,254,34.7
8,10:18 - 1st),PIT 66.0%,282,34.0
9,10:14 - 1st),PIT 67.0%,286,33.0
10,9:38 - 1st) ,PIT 66.6%,322,33.400000000000006
11,8:45 - 1st) ,PIT 62.7%,375,37.3
12,8:04 - 1st) ,PIT 61.5%,416,38.5
13,7:18 - 1st) ,PIT 59.7%,462,40.3
14,7:13 - 1st) ,PIT 67.1%,467,32.900000000000006
15,6:50 - 1st) ,PIT 66.0%,490,34.0
16,6:13 - 1st) ,PIT 70.7%,527,29.299999999999997
17,6:07 - 1st) ,PIT 71.7%,533,28.299999999999997
18,5:34 - 1st) ,PIT 72.1%,566,27.900000000000006
19,4:55 - 1st) ,PIT 75.4%,605,24.599999999999994
20,4:16 - 1st) ,PIT 74.0%,644,26.0
21,3:37 - 1st) ,PIT 67.8%,683,32.2
22,3:02 - 1st) ,PIT 80.7%,718,19.299999999999997
23,2:34 - 1st) ,PIT 81.3%,746,18.700000000000003
24,1:56 - 1st) ,PIT 82.4%,784,17.599999999999994
25,1:43 - 1st) ,PIT 83.7%,797,16.299999999999997
26,1:05 - 1st) ,PIT 80.7%,835,19.299999999999997
27,0:40 - 1st) ,PIT 78.6%,860,21.400000000000006
28,15:00 - 2nd),PIT 87.7%,900,12.299999999999997
29,14:54 - 2nd),PIT 87.5%,906,12.5
30,14:14 - 2nd),PIT 87.0%,946,13.0
31,13:31 - 2nd),PIT 88.4%,989,11.599999999999994
32,12:56 - 2nd),PIT 89.2%,1024,10.799999999999997
33,12:16 - 2nd),PIT 88.9%,1064,11.099999999999994
34,11:35 - 2nd),PIT 90.1%,1105,9.900000000000006
35,11:01 - 2nd),PIT 89.9%,1139,10.099999999999994
36,10:29 - 2nd),PIT 87.6%,1171,12.400000000000006
37,9:50 - 2nd) ,PIT 85.2%,1210,14.799999999999997
38,9:09 - 2nd) ,PIT 86.7%,1251,13.299999999999997
39,8:58 - 2nd) ,PIT 88.7%,1262,11.299999999999997
40,8:50 - 2nd) ,PIT 86.8%,1270,13.200000000000003
41,8:12 - 2nd) ,PIT 86.0%,1308,14.0
42,8:05 - 2nd) ,PIT 84.3%,1315,15.700000000000003
43,7:50 - 2nd) ,PIT 84.8%,1330,15.200000000000003
44,7:13 - 2nd) ,PIT 85.8%,1367,14.200000000000003
45,7:07 - 2nd) ,PIT 87.8%,1373,12.200000000000003
46,6:54 - 2nd) ,PIT 85.5%,1386,14.5
47,6:16 - 2nd) ,PIT 88.0%,1424,12.0
48,5:32 - 2nd) ,PIT 81.2%,1468,18.799999999999997
49,5:22 - 2nd) ,PIT 84.2%,1478,15.799999999999997
50,5:10 - 2nd) ,PIT 83.5%,1490,16.5
51,4:33 - 2nd) ,PIT 85.9%,1527,14.099999999999994
52,3:51 - 2nd) ,PIT 88.9%,1569,11.099999999999994
53,3:00 - 2nd) ,PIT 86.5%,1620,13.5
54,2:24 - 2nd) ,PIT 86.7%,1656,13.299999999999997
55,2:00 - 2nd) ,PIT 86.6%,1680,13.400000000000006
56,1:56 - 2nd) ,PIT 89.9%,1684,10.099999999999994
57,1:31 - 2nd) ,PIT 89.0%,1709,11.0
58,1:07 - 2nd) ,PIT 90.9%,1733,9.099999999999994
