,raw_time,raw_win_pct,clean_time,CHI_win_pct
0,14:56 - 1st),TB 75.1%,4,24.900000000000006
1,14:20 - 1st),TB 77.5%,40,22.5
2,14:15 - 1st),TB 74.8%,45,25.200000000000003
3,13:38 - 1st),TB 79.0%,82,21.0
4,12:57 - 1st),TB 77.0%,123,23.0
5,12:16 - 1st),TB 79.8%,164,20.200000000000003
6,11:34 - 1st),TB 80.3%,206,19.700000000000003
7,10:59 - 1st),TB 78.8%,241,21.200000000000003
8,10:52 - 1st),TB 81.1%,248,18.900000000000006
9,10:24 - 1st),TB 79.6%,276,20.400000000000006
10,9:45 - 1st) ,TB 76.8%,315,23.200000000000003
11,9:07 - 1st) ,TB 75.4%,353,24.599999999999994
12,8:58 - 1st) ,TB 79.6%,362,20.400000000000006
13,8:17 - 1st) ,TB 84.9%,403,15.099999999999994
14,7:37 - 1st) ,TB 75.3%,443,24.700000000000003
15,7:02 - 1st) ,TB 77.0%,478,23.0
16,6:27 - 1st) ,TB 73.5%,513,26.5
17,5:48 - 1st) ,TB 74.9%,552,25.099999999999994
18,5:14 - 1st) ,TB 71.8%,586,28.200000000000003
19,4:38 - 1st) ,TB 75.9%,622,24.099999999999994
20,3:57 - 1st) ,TB 80.7%,663,19.299999999999997
21,3:18 - 1st) ,TB 68.2%,702,31.799999999999997
22,2:42 - 1st) ,TB 80.7%,738,19.299999999999997
23,2:32 - 1st) ,TB 78.7%,748,21.299999999999997
24,1:55 - 1st) ,TB 80.9%,785,19.099999999999994
25,1:10 - 1st) ,TB 75.4%,830,24.599999999999994
26,0:28 - 1st) ,TB 84.7%,872,15.299999999999997
27,0:10 - 1st) ,TB 87.5%,890,12.5
28,15:00 - 2nd),TB 87.8%,900,12.200000000000003
29,14:25 - 2nd),TB 88.2%,935,11.799999999999997
30,13:51 - 2nd),TB 90.2%,969,9.799999999999997
31,13:45 - 2nd),TB 91.8%,975,8.200000000000003
32,13:00 - 2nd),TB 90.2%,1020,9.799999999999997
33,12:25 - 2nd),TB 87.5%,1055,12.5
34,12:19 - 2nd),TB 88.0%,1061,12.0
35,11:37 - 2nd),TB 91.1%,1103,8.900000000000006
36,11:26 - 2nd),TB 91.2%,1114,8.799999999999997
37,11:21 - 2nd),TB 91.6%,1119,8.400000000000006
38,10:44 - 2nd),TB 93.0%,1156,7.0
39,10:38 - 2nd),TB 94.4%,1162,5.599999999999994
40,9:58 - 2nd) ,TB 93.9%,1202,6.099999999999994
41,9:16 - 2nd) ,TB 93.4%,1244,6.599999999999994
42,8:46 - 2nd) ,TB 93.7%,1274,6.299999999999997
43,8:07 - 2nd) ,TB 92.9%,1313,7.099999999999994
44,8:01 - 2nd) ,TB 94.8%,1319,5.200000000000003
45,7:30 - 2nd) ,TB 95.4%,1350,4.599999999999994
46,7:23 - 2nd) ,TB 95.8%,1357,4.200000000000003
47,6:47 - 2nd) ,TB 96.5%,1393,3.5
48,6:00 - 2nd) ,TB 95.5%,1440,4.5
49,5:19 - 2nd) ,TB 95.5%,1481,4.5
50,4:51 - 2nd) ,TB 96.0%,1509,4.0
51,4:09 - 2nd) ,TB 98.5%,1551,1.5
52,4:08 - 2nd) ,TB 98.8%,1552,1.2000000000000028
53,3:25 - 2nd) ,TB 98.9%,1595,1.0999999999999943
54,2:58 - 2nd) ,TB 98.4%,1622,1.5999999999999943
55,2:23 - 2nd) ,TB 98.6%,1657,1.4000000000000057
56,2:00 - 2nd) ,TB 98.3%,1680,1.7000000000000028
57,1:23 - 2nd) ,TB 99.1%,1717,0.9000000000000057
58,1:20 - 2nd) ,TB 98.3%,1720,1.7000000000000028
59,1:12 - 2nd) ,TB 99.0%,1728,1.0
60,1:04 - 2nd) ,TB 99.1%,1736,0.9000000000000057
61,0:54 - 2nd) ,TB 99.1%,1746,0.9000000000000057
62,0:48 - 2nd) ,TB 98.5%,1752,1.5
63,0:27 - 2nd) ,TB 98.7%,1773,1.2999999999999972
64,0:14 - 2nd) ,TB 99.1%,1786,0.9000000000000057
65,0:07 - 2nd) ,TB 99.3%,1793,0.7000000000000028
66,15:00 - 3rd),TB 99.4%,1800,0.5999999999999943
67,14:35 - 3rd),TB 99.5%,1825,0.5
68,14:24 - 3rd),TB 99.6%,1836,0.4000000000000057
69,14:11 - 3rd),TB 99.6%,1849,0.4000000000000057
70,13:36 - 3rd),TB 99.7%,1884,0.29999999999999716
71,13:03 - 3rd),TB 99.8%,1917,0.20000000000000284
72,12:35 - 3rd),TB 99.7%,1945,0.29999999999999716
73,11:52 - 3rd),TB 99.8%,1988,0.20000000000000284
74,11:13 - 3rd),TB 99.8%,2027,0.20000000000000284
75,11:04 - 3rd),TB 99.8%,2036,0.20000000000000284
76,10:18 - 3rd),TB 99.9%,2082,0.09999999999999432
77,9:42 - 3rd) ,TB 99.9%,2118,0.09999999999999432
78,9:06 - 3rd) ,TB 99.9%,2154,0.09999999999999432
79,8:26 - 3rd) ,TB 99.9%,2194,0.09999999999999432
80,8:11 - 3rd) ,TB 99.9%,2209,0.09999999999999432
81,8:07 - 3rd) ,TB 99.7%,2213,0.29999999999999716
82,7:30 - 3rd) ,TB 99.8%,2250,0.20000000000000284
83,6:45 - 3rd) ,TB 99.9%,2295,0.09999999999999432
84,6:11 - 3rd) ,TB 99.8%,2329,0.20000000000000284
85,6:02 - 3rd) ,TB 99.9%,2338,0.09999999999999432
86,5:41 - 3rd) ,TB 99.9%,2359,0.09999999999999432
87,4:59 - 3rd) ,TB 99.9%,2401,0.09999999999999432
88,4:17 - 3rd) ,TB 99.9%,2443,0.09999999999999432
89,3:32 - 3rd) ,TB 99.9%,2488,0.09999999999999432
90,2:54 - 3rd) ,TB 99.9%,2526,0.09999999999999432
91,2:23 - 3rd) ,TB 99.9%,2557,0.09999999999999432
92,1:45 - 3rd) ,TB 99.9%,2595,0.09999999999999432
93,1:36 - 3rd) ,TB 99.9%,2604,0.09999999999999432
94,1:08 - 3rd) ,TB 99.9%,2632,0.09999999999999432
95,0:47 - 3rd) ,TB 99.9%,2653,0.09999999999999432
96,0:16 - 3rd) ,TB 99.9%,2684,0.09999999999999432
97,15:00 - 4th),TB 99.9%,2700,0.09999999999999432
98,14:22 - 4th),TB 99.9%,2738,0.09999999999999432
99,13:40 - 4th),TB 99.9%,2780,0.09999999999999432
100,13:13 - 4th),TB 99.9%,2807,0.09999999999999432
101,12:33 - 4th),TB 99.9%,2847,0.09999999999999432
102,12:26 - 4th),TB 99.9%,2854,0.09999999999999432
103,12:19 - 4th),TB 99.9%,2861,0.09999999999999432
104,11:53 - 4th),TB 99.9%,2887,0.09999999999999432
105,11:31 - 4th),TB 99.9%,2909,0.09999999999999432
106,11:04 - 4th),TB 99.9%,2936,0.09999999999999432
107,10:32 - 4th),TB 99.9%,2968,0.09999999999999432
108,10:28 - 4th),TB 99.9%,2972,0.09999999999999432
109,10:09 - 4th),TB 99.9%,2991,0.09999999999999432
110,9:48 - 4th) ,TB 99.9%,3012,0.09999999999999432
111,9:36 - 4th) ,TB 99.9%,3024,0.09999999999999432
112,9:27 - 4th) ,TB 99.9%,3033,0.09999999999999432
113,8:44 - 4th) ,TB 99.9%,3076,0.09999999999999432
114,8:39 - 4th) ,TB 99.9%,3081,0.09999999999999432
115,7:58 - 4th) ,TB 99.9%,3122,0.09999999999999432
116,7:44 - 4th) ,TB 99.9%,3136,0.09999999999999432
117,7:15 - 4th) ,TB 99.9%,3165,0.09999999999999432
118,6:53 - 4th) ,TB 99.9%,3187,0.09999999999999432
119,6:35 - 4th) ,TB 99.9%,3205,0.09999999999999432
120,6:25 - 4th) ,TB 99.9%,3215,0.09999999999999432
121,5:42 - 4th) ,TB 99.9%,3258,0.09999999999999432
122,5:37 - 4th) ,TB 99.9%,3263,0.09999999999999432
123,4:03 - 4th) ,TB 99.9%,3357,0.09999999999999432
124,3:57 - 4th) ,TB 99.9%,3363,0.09999999999999432
125,3:50 - 4th) ,TB 99.9%,3370,0.09999999999999432
126,3:25 - 4th) ,TB 99.9%,3395,0.09999999999999432
127,2:53 - 4th) ,TB 99.9%,3427,0.09999999999999432
128,2:24 - 4th) ,TB 99.9%,3456,0.09999999999999432
129,2:00 - 4th) ,TB 99.9%,3480,0.09999999999999432
130,1:43 - 4th) ,TB 99.9%,3497,0.09999999999999432
131,0:58 - 4th) ,TB 99.9%,3542,0.09999999999999432
132,0:29 - 4th) ,TB 99.9%,3571,0.09999999999999432
