,raw_time,raw_win_pct,clean_time,MIN_win_pct
0,14:48 - 1st),MIN 74.1%,12,74.1
1,14:38 - 1st),MIN 72.4%,22,72.4
2,14:28 - 1st),MIN 72.4%,32,72.4
3,14:17 - 1st),MIN 72.3%,43,72.3
4,14:06 - 1st),MIN 77.9%,54,77.9
5,13:53 - 1st),MIN 77.3%,67,77.3
6,13:40 - 1st),MIN 74.3%,80,74.3
7,10:13 - 1st),MIN 70.4%,287,70.4
8,10:10 - 1st),MIN 72.6%,290,72.6
9,9:30 - 1st) ,MIN 67.9%,330,67.9
10,9:24 - 1st) ,MIN 66.0%,336,66.0
11,9:13 - 1st) ,MIN 68.7%,347,68.7
12,8:38 - 1st) ,MIN 71.2%,382,71.2
13,7:58 - 1st) ,MIN 72.6%,422,72.6
14,7:09 - 1st) ,MIN 73.4%,471,73.4
15,7:01 - 1st) ,MIN 70.6%,479,70.6
16,6:20 - 1st) ,MIN 70.5%,520,70.5
17,5:36 - 1st) ,MIN 67.2%,564,67.2
18,5:31 - 1st) ,MIN 67.7%,569,67.7
19,5:23 - 1st) ,MIN 68.1%,577,68.1
20,4:48 - 1st) ,MIN 63.9%,612,63.9
21,4:07 - 1st) ,MIN 66.3%,653,66.3
22,3:23 - 1st) ,MIN 69.5%,697,69.5
23,2:42 - 1st) ,MIN 71.7%,738,71.7
24,2:36 - 1st) ,MIN 71.1%,744,71.1
25,2:27 - 1st) ,MIN 65.7%,753,65.7
26,1:44 - 1st) ,MIN 64.2%,796,64.2
27,1:31 - 1st) ,MIN 59.4%,809,59.4
28,1:23 - 1st) ,MIN 57.1%,817,57.1
29,0:45 - 1st) ,MIN 60.9%,855,60.9
30,15:00 - 2nd),MIN 56.4%,900,56.4
31,14:30 - 2nd),MIN 57.4%,930,57.4
32,14:20 - 2nd),MIN 58.8%,940,58.8
33,14:11 - 2nd),MIN 60.0%,949,60.0
34,13:30 - 2nd),MIN 62.0%,990,62.0
35,13:13 - 2nd),MIN 63.4%,1007,63.4
36,13:00 - 2nd),MIN 65.7%,1020,65.7
37,12:52 - 2nd),MIN 64.5%,1028,64.5
38,12:15 - 2nd),MIN 62.4%,1065,62.4
39,12:09 - 2nd),MIN 67.7%,1071,67.7
40,11:30 - 2nd),MIN 65.7%,1110,65.7
41,10:52 - 2nd),MIN 63.6%,1148,63.6
42,10:47 - 2nd),MIN 58.9%,1153,58.9
