,raw_time,raw_win_pct,clean_time,BUF_win_pct
0,14:55 - 1st),CIN 57.3%,5,42.7
1,14:36 - 1st),CIN 57.9%,24,42.1
2,14:02 - 1st),CIN 58.4%,58,41.6
3,13:24 - 1st),CIN 50.6%,96,49.4
4,13:17 - 1st),CIN 52.2%,103,47.8
5,13:04 - 1st),CIN 55.8%,116,44.2
6,13:00 - 1st),CIN 54.9%,120,45.1
7,12:22 - 1st),CIN 59.0%,158,41.0
8,11:51 - 1st),BUF 58.2%,189,58.2
9,11:29 - 1st),CIN 69.1%,211,30.900000000000006
10,11:22 - 1st),CIN 70.0%,218,30.0
11,10:53 - 1st),CIN 67.6%,247,32.400000000000006
12,10:20 - 1st),CIN 65.7%,280,34.3
13,9:58 - 1st) ,CIN 68.7%,302,31.299999999999997
14,9:51 - 1st) ,CIN 76.5%,309,23.5
15,9:13 - 1st) ,CIN 77.2%,347,22.799999999999997
16,8:39 - 1st) ,CIN 72.4%,381,27.599999999999994
17,8:31 - 1st) ,CIN 73.9%,389,26.099999999999994
18,7:54 - 1st) ,CIN 71.1%,426,28.900000000000006
19,7:13 - 1st) ,CIN 71.7%,467,28.299999999999997
20,6:40 - 1st) ,CIN 75.6%,500,24.400000000000006
21,6:04 - 1st) ,CIN 73.9%,536,26.099999999999994
22,5:18 - 1st) ,CIN 72.9%,582,27.099999999999994
23,4:36 - 1st) ,CIN 64.3%,624,35.7
24,4:31 - 1st) ,CIN 73.0%,629,27.0
25,4:20 - 1st) ,CIN 69.8%,640,30.200000000000003
26,3:43 - 1st) ,CIN 71.0%,677,29.0
27,3:06 - 1st) ,CIN 68.8%,714,31.200000000000003
28,2:32 - 1st) ,CIN 65.3%,748,34.7
29,1:58 - 1st) ,CIN 62.3%,782,37.7
30,1:34 - 1st) ,CIN 59.9%,806,40.1
31,0:57 - 1st) ,CIN 58.7%,843,41.3
32,0:24 - 1st) ,CIN 61.2%,876,38.8
33,0:18 - 1st) ,CIN 66.8%,882,33.2
34,0:10 - 1st) ,CIN 64.9%,890,35.099999999999994
35,15:00 - 2nd),CIN 64.7%,900,35.3
36,14:30 - 2nd),CIN 62.4%,930,37.6
37,14:08 - 2nd),CIN 69.2%,952,30.799999999999997
38,13:26 - 2nd),CIN 63.5%,994,36.5
39,12:39 - 2nd),CIN 60.9%,1041,39.1
40,11:58 - 2nd),CIN 72.2%,1082,27.799999999999997
41,11:34 - 2nd),CIN 73.6%,1106,26.400000000000006
42,11:10 - 2nd),CIN 74.6%,1130,25.400000000000006
43,10:36 - 2nd),CIN 71.2%,1164,28.799999999999997
44,9:53 - 2nd) ,CIN 66.1%,1207,33.900000000000006
45,9:09 - 2nd) ,CIN 69.5%,1251,30.5
46,9:01 - 2nd) ,CIN 72.5%,1259,27.5
47,8:38 - 2nd) ,CIN 74.6%,1282,25.400000000000006
48,7:55 - 2nd) ,CIN 69.1%,1325,30.900000000000006
49,7:19 - 2nd) ,CIN 66.4%,1361,33.599999999999994
50,6:43 - 2nd) ,CIN 66.3%,1397,33.7
51,6:08 - 2nd) ,CIN 77.7%,1432,22.299999999999997
52,5:31 - 2nd) ,CIN 73.9%,1469,26.099999999999994
53,5:00 - 2nd) ,CIN 74.5%,1500,25.5
54,4:44 - 2nd) ,CIN 61.0%,1516,39.0
55,4:37 - 2nd) ,CIN 60.8%,1523,39.2
56,4:01 - 2nd) ,CIN 57.5%,1559,42.5
57,3:24 - 2nd) ,CIN 57.2%,1596,42.8
58,3:21 - 2nd) ,CIN 64.0%,1599,36.0
59,3:10 - 2nd) ,CIN 53.7%,1610,46.3
60,3:04 - 2nd) ,CIN 55.9%,1616,44.1
61,2:31 - 2nd) ,CIN 53.6%,1649,46.4
62,2:26 - 2nd) ,BUF 52.7%,1654,52.7
63,2:00 - 2nd) ,BUF 51.1%,1680,51.1
64,1:54 - 2nd) ,BUF 53.4%,1686,53.4
65,1:30 - 2nd) ,CIN 50.5%,1710,49.5
