,raw_time,raw_win_pct,clean_time,NYJ_win_pct
0,14:56 - 1st),CLE 58.6%,4,41.4
1,12:55 - 1st),CLE 57.2%,125,42.8
2,11:46 - 1st),CLE 56.7%,194,43.3
3,11:05 - 1st),CLE 57.7%,235,42.3
4,10:54 - 1st),CLE 63.6%,246,36.4
5,10:32 - 1st),CLE 64.6%,268,35.400000000000006
6,9:49 - 1st) ,CLE 66.3%,311,33.7
7,8:52 - 1st) ,CLE 66.2%,368,33.8
8,8:13 - 1st) ,CLE 65.2%,407,34.8
9,8:00 - 1st) ,CLE 59.6%,420,40.4
10,7:38 - 1st) ,CLE 55.9%,442,44.1
11,7:10 - 1st) ,CLE 59.0%,470,41.0
12,6:31 - 1st) ,CLE 67.4%,509,32.599999999999994
13,5:57 - 1st) ,CLE 66.3%,543,33.7
14,5:51 - 1st) ,CLE 62.7%,549,37.3
15,5:06 - 1st) ,CLE 61.9%,594,38.1
16,4:25 - 1st) ,CLE 69.0%,635,31.0
17,3:53 - 1st) ,CLE 69.8%,667,30.200000000000003
18,3:09 - 1st) ,CLE 68.7%,711,31.299999999999997
19,2:34 - 1st) ,CLE 73.3%,746,26.700000000000003
20,1:55 - 1st) ,CLE 73.3%,785,26.700000000000003
21,1:27 - 1st) ,CLE 71.1%,813,28.900000000000006
22,1:24 - 1st) ,CLE 59.9%,816,40.1
23,1:16 - 1st) ,CLE 60.5%,824,39.5
24,0:35 - 1st) ,CLE 57.6%,865,42.4
25,0:09 - 1st) ,CLE 61.6%,891,38.4
26,15:00 - 2nd),CLE 63.0%,900,37.0
27,14:51 - 2nd),CLE 53.9%,909,46.1
28,14:22 - 2nd),CLE 52.6%,938,47.4
29,13:51 - 2nd),CLE 56.2%,969,43.8
30,13:47 - 2nd),CLE 57.9%,973,42.1
31,13:39 - 2nd),CLE 61.8%,981,38.2
32,13:27 - 2nd),CLE 63.3%,993,36.7
33,12:55 - 2nd),CLE 66.4%,1025,33.599999999999994
34,12:16 - 2nd),CLE 68.9%,1064,31.099999999999994
35,11:34 - 2nd),CLE 61.6%,1106,38.4
36,11:22 - 2nd),CLE 66.4%,1118,33.599999999999994
37,10:57 - 2nd),CLE 59.8%,1143,40.2
38,10:47 - 2nd),CLE 61.4%,1153,38.6
39,10:05 - 2nd),CLE 53.1%,1195,46.9
40,10:00 - 2nd),CLE 54.6%,1200,45.4
41,9:21 - 2nd) ,CLE 55.5%,1239,44.5
42,8:42 - 2nd) ,CLE 65.9%,1278,34.099999999999994
43,8:37 - 2nd) ,CLE 65.0%,1283,35.0
44,7:55 - 2nd) ,CLE 62.8%,1325,37.2
45,7:51 - 2nd) ,CLE 67.5%,1329,32.5
46,7:43 - 2nd) ,CLE 63.9%,1337,36.1
47,7:11 - 2nd) ,CLE 69.5%,1369,30.5
48,6:32 - 2nd) ,CLE 71.0%,1408,29.0
49,5:45 - 2nd) ,CLE 69.6%,1455,30.400000000000006
50,5:03 - 2nd) ,CLE 70.7%,1497,29.299999999999997
51,4:43 - 2nd) ,CLE 71.1%,1517,28.900000000000006
52,4:01 - 2nd) ,CLE 70.9%,1559,29.099999999999994
53,3:19 - 2nd) ,CLE 57.3%,1601,42.7
54,3:13 - 2nd) ,CLE 60.3%,1607,39.7
55,2:38 - 2nd) ,CLE 61.4%,1642,38.6
56,2:00 - 2nd) ,CLE 65.1%,1680,34.900000000000006
57,1:53 - 2nd) ,CLE 60.5%,1687,39.5
58,1:38 - 2nd) ,CLE 68.4%,1702,31.599999999999994
59,1:16 - 2nd) ,CLE 68.9%,1724,31.099999999999994
60,1:13 - 2nd) ,CLE 68.8%,1727,31.200000000000003
61,0:56 - 2nd) ,CLE 66.7%,1744,33.3
62,0:52 - 2nd) ,CLE 68.8%,1748,31.200000000000003
63,0:44 - 2nd) ,CLE 64.0%,1756,36.0
64,0:35 - 2nd) ,CLE 54.4%,1765,45.6
65,0:23 - 2nd) ,CLE 55.6%,1777,44.4
66,0:17 - 2nd) ,CLE 55.3%,1783,44.7
67,0:11 - 2nd) ,CLE 55.3%,1789,44.7
68,15:00 - 3rd),NYJ 53.7%,1800,53.7
69,14:29 - 3rd),NYJ 54.5%,1831,54.5
70,13:57 - 3rd),NYJ 52.1%,1863,52.1
71,13:51 - 3rd),TIE,1869,50.0
72,13:19 - 3rd),CLE 51.6%,1901,48.4
73,12:46 - 3rd),NYJ 54.6%,1934,54.6
74,12:03 - 3rd),CLE 53.6%,1977,46.4
75,11:18 - 3rd),CLE 54.6%,2022,45.4
76,10:38 - 3rd),CLE 59.5%,2062,40.5
77,10:00 - 3rd),CLE 57.1%,2100,42.9
78,9:29 - 3rd) ,CLE 56.0%,2131,44.0
79,9:19 - 3rd) ,CLE 81.3%,2141,18.700000000000003
80,8:44 - 3rd) ,CLE 69.6%,2176,30.400000000000006
81,8:02 - 3rd) ,CLE 65.5%,2218,34.5
82,7:22 - 3rd) ,CLE 68.4%,2258,31.599999999999994
83,6:47 - 3rd) ,CLE 77.7%,2293,22.299999999999997
84,6:02 - 3rd) ,CLE 71.0%,2338,29.0
85,5:50 - 3rd) ,CLE 68.1%,2350,31.900000000000006
86,5:12 - 3rd) ,CLE 50.4%,2388,49.6
87,4:58 - 3rd) ,NYJ 52.9%,2402,52.9
88,4:17 - 3rd) ,NYJ 55.8%,2443,55.8
89,3:47 - 3rd) ,NYJ 58.4%,2473,58.4
90,3:05 - 3rd) ,NYJ 53.0%,2515,53.0
91,2:39 - 3rd) ,NYJ 56.5%,2541,56.5
92,1:59 - 3rd) ,NYJ 60.6%,2581,60.6
93,1:24 - 3rd) ,CLE 52.6%,2616,47.4
94,0:46 - 3rd) ,CLE 59.2%,2654,40.8
95,0:15 - 3rd) ,CLE 59.7%,2685,40.3
96,15:00 - 4th),CLE 55.1%,2700,44.9
97,14:18 - 4th),CLE 55.9%,2742,44.1
98,13:41 - 4th),NYJ 51.2%,2779,51.2
99,13:03 - 4th),NYJ 63.5%,2817,63.5
100,12:56 - 4th),NYJ 63.7%,2824,63.7
101,12:18 - 4th),NYJ 63.7%,2862,63.7
102,11:35 - 4th),NYJ 75.0%,2905,75.0
103,11:07 - 4th),NYJ 78.0%,2933,78.0
104,10:37 - 4th),NYJ 72.5%,2963,72.5
105,9:21 - 4th) ,NYJ 83.7%,3039,83.7
106,8:30 - 4th) ,NYJ 96.0%,3090,96.0
107,8:25 - 4th) ,NYJ 97.9%,3095,97.9
108,8:19 - 4th) ,NYJ 97.7%,3101,97.7
109,7:32 - 4th) ,NYJ 99.4%,3148,99.4
110,7:26 - 4th) ,NYJ 96.7%,3154,96.7
111,7:15 - 4th) ,NYJ 95.1%,3165,95.1
112,6:30 - 4th) ,NYJ 97.0%,3210,97.0
113,5:48 - 4th) ,NYJ 96.3%,3252,96.3
114,5:04 - 4th) ,NYJ 98.2%,3296,98.2
115,4:27 - 4th) ,NYJ 97.9%,3333,97.9
116,3:41 - 4th) ,NYJ 98.1%,3379,98.1
117,3:35 - 4th) ,NYJ 99.9%,3385,99.9
118,3:23 - 4th) ,NYJ 99.9%,3397,99.9
119,2:59 - 4th) ,NYJ 99.8%,3421,99.8
120,2:38 - 4th) ,NYJ 98.7%,3442,98.7
121,2:08 - 4th) ,NYJ 98.8%,3472,98.8
122,2:00 - 4th) ,NYJ 99.0%,3480,99.0
123,1:49 - 4th) ,NYJ 93.9%,3491,93.9
124,1:10 - 4th) ,NYJ 94.0%,3530,94.0
125,0:30 - 4th) ,NYJ 94.9%,3570,94.9
126,0:00 - 4th) ,NYJ 100%,3600,100.0
