,raw_time,raw_win_pct,clean_time,CAR_win_pct
0,14:25 - 1st),DET 61.0%,35,39.0
1,13:53 - 1st),DET 62.6%,67,37.4
2,13:14 - 1st),DET 64.5%,106,35.5
3,12:34 - 1st),DET 65.9%,146,34.099999999999994
4,12:27 - 1st),DET 65.9%,153,34.099999999999994
5,12:22 - 1st),DET 64.5%,158,35.5
6,11:41 - 1st),DET 62.0%,199,38.0
7,11:32 - 1st),DET 67.5%,208,32.5
8,11:27 - 1st),DET 67.5%,213,32.5
9,10:43 - 1st),DET 60.9%,257,39.1
10,10:25 - 1st),DET 67.5%,275,32.5
11,9:56 - 1st) ,DET 59.7%,304,40.3
12,9:37 - 1st) ,DET 66.2%,323,33.8
13,8:42 - 1st) ,DET 67.7%,378,32.3
14,7:56 - 1st) ,DET 67.4%,424,32.599999999999994
15,7:47 - 1st) ,DET 63.2%,433,36.8
16,7:14 - 1st) ,DET 61.8%,466,38.2
17,7:02 - 1st) ,DET 59.8%,478,40.2
18,6:52 - 1st) ,DET 64.8%,488,35.2
19,6:14 - 1st) ,CAR 52.8%,526,52.8
20,5:22 - 1st) ,DET 50.5%,578,49.5
21,4:39 - 1st) ,DET 52.4%,621,47.6
22,4:00 - 1st) ,DET 59.1%,660,40.9
23,3:51 - 1st) ,DET 58.8%,669,41.2
24,3:46 - 1st) ,DET 57.0%,674,43.0
25,3:13 - 1st) ,DET 59.2%,707,40.8
26,2:31 - 1st) ,DET 62.2%,749,37.8
27,1:47 - 1st) ,DET 64.2%,793,35.8
28,1:10 - 1st) ,DET 64.5%,830,35.5
29,0:31 - 1st) ,DET 68.3%,869,31.700000000000003
30,15:00 - 2nd),DET 67.9%,900,32.099999999999994
31,14:32 - 2nd),DET 71.4%,928,28.599999999999994
32,14:20 - 2nd),DET 68.5%,940,31.5
33,14:03 - 2nd),DET 73.5%,957,26.5
34,13:32 - 2nd),DET 71.6%,988,28.400000000000006
35,12:59 - 2nd),DET 72.4%,1021,27.599999999999994
36,12:13 - 2nd),DET 60.9%,1067,39.1
37,11:45 - 2nd),DET 63.4%,1095,36.6
38,11:04 - 2nd),DET 51.7%,1136,48.3
39,10:32 - 2nd),DET 53.7%,1168,46.3
40,9:54 - 2nd) ,CAR 55.1%,1206,55.1
41,9:19 - 2nd) ,CAR 55.3%,1241,55.3
42,9:06 - 2nd) ,DET 54.3%,1254,45.7
43,8:23 - 2nd) ,DET 59.6%,1297,40.4
44,7:36 - 2nd) ,DET 61.0%,1344,39.0
45,6:53 - 2nd) ,DET 52.8%,1387,47.2
46,6:28 - 2nd) ,CAR 55.4%,1412,55.4
47,6:27 - 2nd) ,DET 56.7%,1413,43.3
48,5:50 - 2nd) ,DET 58.0%,1450,42.0
49,5:09 - 2nd) ,DET 52.0%,1491,48.0
50,5:05 - 2nd) ,DET 50.9%,1495,49.1
51,4:58 - 2nd) ,CAR 51.5%,1502,51.5
52,4:34 - 2nd) ,CAR 54.4%,1526,54.4
53,3:51 - 2nd) ,CAR 54.5%,1569,54.5
54,3:23 - 2nd) ,CAR 56.2%,1597,56.2
55,3:02 - 2nd) ,TIE,1618,50.0
56,2:19 - 2nd) ,CAR 57.3%,1661,57.3
57,2:00 - 2nd) ,CAR 53.9%,1680,53.9
58,1:56 - 2nd) ,CAR 62.0%,1684,62.0
59,1:06 - 2nd) ,CAR 60.4%,1734,60.4
60,1:01 - 2nd) ,CAR 58.3%,1739,58.3
61,0:55 - 2nd) ,CAR 59.1%,1745,59.1
62,0:48 - 2nd) ,CAR 74.2%,1752,74.2
63,0:37 - 2nd) ,CAR 74.4%,1763,74.4
64,0:31 - 2nd) ,CAR 74.5%,1769,74.5
65,15:00 - 3rd),CAR 73.5%,1800,73.5
66,13:42 - 3rd),CAR 75.6%,1878,75.6
67,13:03 - 3rd),CAR 73.1%,1917,73.1
68,12:58 - 3rd),CAR 79.0%,1922,79.0
69,12:31 - 3rd),CAR 75.4%,1949,75.4
70,12:05 - 3rd),CAR 79.2%,1975,79.2
71,11:27 - 3rd),CAR 81.5%,2013,81.5
72,10:43 - 3rd),CAR 92.4%,2057,92.4
73,10:35 - 3rd),CAR 94.3%,2065,94.3
74,9:52 - 3rd) ,CAR 94.3%,2108,94.3
75,9:46 - 3rd) ,CAR 93.6%,2114,93.6
76,9:26 - 3rd) ,CAR 95.9%,2134,95.9
77,8:50 - 3rd) ,CAR 94.6%,2170,94.6
78,8:15 - 3rd) ,CAR 98.0%,2205,98.0
79,7:46 - 3rd) ,CAR 96.7%,2234,96.7
80,7:38 - 3rd) ,CAR 95.7%,2242,95.7
81,6:58 - 3rd) ,CAR 95.6%,2282,95.6
82,6:54 - 3rd) ,CAR 92.9%,2286,92.9
83,5:59 - 3rd) ,CAR 95.3%,2341,95.3
84,5:25 - 3rd) ,CAR 95.1%,2375,95.1
85,4:49 - 3rd) ,CAR 94.4%,2411,94.4
86,4:07 - 3rd) ,CAR 94.8%,2453,94.8
87,3:24 - 3rd) ,CAR 97.3%,2496,97.3
88,3:18 - 3rd) ,CAR 98.4%,2502,98.4
89,3:14 - 3rd) ,CAR 98.2%,2506,98.2
90,2:30 - 3rd) ,CAR 98.3%,2550,98.3
91,1:44 - 3rd) ,CAR 99.0%,2596,99.0
92,1:03 - 3rd) ,CAR 98.9%,2637,98.9
93,0:27 - 3rd) ,CAR 98.8%,2673,98.8
94,15:00 - 4th),CAR 99.1%,2700,99.1
95,14:13 - 4th),CAR 97.1%,2747,97.1
96,14:08 - 4th),CAR 96.4%,2752,96.4
97,14:03 - 4th),CAR 96.4%,2757,96.4
98,13:32 - 4th),CAR 98.2%,2788,98.2
99,12:58 - 4th),CAR 98.6%,2822,98.6
100,12:48 - 4th),CAR 98.9%,2832,98.9
101,12:19 - 4th),CAR 98.9%,2861,98.9
102,12:10 - 4th),CAR 98.8%,2870,98.8
103,11:27 - 4th),CAR 99.0%,2913,99.0
104,10:45 - 4th),CAR 99.5%,2955,99.5
105,9:57 - 4th) ,CAR 99.3%,3003,99.3
106,9:15 - 4th) ,CAR 99.4%,3045,99.4
107,9:10 - 4th) ,CAR 99.3%,3050,99.3
108,8:58 - 4th) ,CAR 98.6%,3062,98.6
109,8:29 - 4th) ,CAR 99.8%,3091,99.8
110,6:17 - 4th) ,CAR 97.6%,3223,97.6
111,5:56 - 4th) ,CAR 98.0%,3244,98.0
112,5:48 - 4th) ,CAR 90.0%,3252,90.0
113,5:46 - 4th) ,CAR 96.3%,3254,96.3
114,5:22 - 4th) ,CAR 93.4%,3278,93.4
115,5:17 - 4th) ,CAR 95.5%,3283,95.5
116,4:30 - 4th) ,CAR 84.2%,3330,84.2
117,4:21 - 4th) ,CAR 97.2%,3339,97.2
118,4:13 - 4th) ,CAR 99.6%,3347,99.6
119,4:07 - 4th) ,CAR 96.2%,3353,96.2
120,3:46 - 4th) ,CAR 91.3%,3374,91.3
121,3:38 - 4th) ,CAR 92.0%,3382,92.0
122,3:22 - 4th) ,CAR 84.0%,3398,84.0
123,3:17 - 4th) ,CAR 75.3%,3403,75.3
124,3:13 - 4th) ,CAR 77.3%,3407,77.3
125,2:30 - 4th) ,CAR 94.7%,3450,94.7
126,2:00 - 4th) ,CAR 90.7%,3480,90.7
127,1:18 - 4th) ,CAR 88.7%,3522,88.7
128,0:37 - 4th) ,CAR 89.4%,3563,89.4
129,0:00 - 4th) ,CAR 100%,3600,100.0
