,raw_time,raw_win_pct,clean_time,KC_win_pct
0,14:55 - 1st),KC 62.4%,5,62.4
1,14:19 - 1st),KC 61.8%,41,61.8
2,13:42 - 1st),KC 58.2%,78,58.2
3,12:58 - 1st),KC 58.2%,122,58.2
4,12:16 - 1st),KC 60.0%,164,60.0
5,11:03 - 1st),KC 60.7%,237,60.7
6,10:28 - 1st),KC 65.9%,272,65.9
7,9:47 - 1st) ,KC 62.1%,313,62.1
8,9:41 - 1st) ,KC 58.5%,319,58.5
9,9:01 - 1st) ,KC 68.4%,359,68.4
10,8:25 - 1st) ,KC 70.1%,395,70.1
11,7:46 - 1st) ,KC 66.4%,434,66.4
12,7:03 - 1st) ,KC 61.9%,477,61.9
13,6:53 - 1st) ,KC 60.5%,487,60.5
14,6:24 - 1st) ,KC 62.2%,516,62.2
15,6:17 - 1st) ,KC 61.6%,523,61.6
16,5:42 - 1st) ,KC 60.9%,558,60.9
17,5:04 - 1st) ,KC 55.8%,596,55.8
18,4:17 - 1st) ,KC 57.9%,643,57.9
19,3:45 - 1st) ,KC 70.0%,675,70.0
20,3:15 - 1st) ,KC 64.8%,705,64.8
21,3:09 - 1st) ,KC 66.0%,711,66.0
22,2:59 - 1st) ,KC 65.4%,721,65.4
23,2:49 - 1st) ,KC 67.8%,731,67.8
24,2:04 - 1st) ,KC 64.6%,776,64.6
25,1:58 - 1st) ,KC 62.7%,782,62.7
26,1:15 - 1st) ,KC 69.1%,825,69.1
27,0:44 - 1st) ,KC 66.9%,856,66.9
28,15:00 - 2nd),KC 72.1%,900,72.1
29,14:18 - 2nd),KC 73.6%,942,73.6
30,13:37 - 2nd),KC 71.1%,983,71.1
31,12:54 - 2nd),KC 71.7%,1026,71.7
32,12:11 - 2nd),KC 68.8%,1069,68.8
33,11:23 - 2nd),KC 71.2%,1117,71.2
34,10:55 - 2nd),KC 72.8%,1145,72.8
35,10:49 - 2nd),KC 76.0%,1151,76.0
36,9:59 - 2nd) ,KC 78.3%,1201,78.3
37,9:18 - 2nd) ,KC 75.5%,1242,75.5
38,9:11 - 2nd) ,KC 73.6%,1249,73.6
39,8:28 - 2nd) ,KC 80.8%,1292,80.8
40,7:51 - 2nd) ,KC 83.7%,1329,83.7
41,6:22 - 2nd) ,KC 77.2%,1418,77.2
42,5:45 - 2nd) ,KC 86.8%,1455,86.8
43,5:22 - 2nd) ,KC 87.0%,1478,87.0
44,5:12 - 2nd) ,KC 92.8%,1488,92.8
45,4:36 - 2nd) ,KC 92.3%,1524,92.3
46,4:27 - 2nd) ,KC 91.3%,1533,91.3
47,4:17 - 2nd) ,KC 92.0%,1543,92.0
48,4:14 - 2nd) ,KC 90.8%,1546,90.8
49,3:44 - 2nd) ,KC 89.9%,1576,89.9
50,3:17 - 2nd) ,KC 90.0%,1603,90.0
51,2:45 - 2nd) ,KC 89.1%,1635,89.1
52,2:12 - 2nd) ,KC 85.2%,1668,85.2
53,2:00 - 2nd) ,KC 86.3%,1680,86.3
54,1:54 - 2nd) ,KC 86.1%,1686,86.1
55,1:49 - 2nd) ,KC 82.9%,1691,82.9
56,1:37 - 2nd) ,KC 84.3%,1703,84.3
57,1:12 - 2nd) ,KC 89.4%,1728,89.4
58,1:05 - 2nd) ,KC 89.5%,1735,89.5
59,0:52 - 2nd) ,KC 89.8%,1748,89.8
60,0:47 - 2nd) ,KC 90.5%,1753,90.5
61,0:34 - 2nd) ,KC 92.0%,1766,92.0
62,0:27 - 2nd) ,KC 93.5%,1773,93.5
63,0:16 - 2nd) ,KC 94.3%,1784,94.3
64,0:08 - 2nd) ,KC 94.3%,1792,94.3
65,15:00 - 3rd),KC 93.4%,1800,93.4
66,14:56 - 3rd),KC 94.7%,1804,94.7
67,14:22 - 3rd),KC 94.8%,1838,94.8
68,13:42 - 3rd),KC 96.1%,1878,96.1
69,13:08 - 3rd),KC 95.1%,1912,95.1
70,12:51 - 3rd),KC 95.7%,1929,95.7
71,12:12 - 3rd),KC 95.4%,1968,95.4
72,11:29 - 3rd),KC 96.0%,2011,96.0
73,10:49 - 3rd),KC 96.6%,2051,96.6
74,10:10 - 3rd),KC 96.5%,2090,96.5
75,9:40 - 3rd) ,KC 95.7%,2120,95.7
76,8:59 - 3rd) ,KC 96.3%,2161,96.3
77,8:08 - 3rd) ,KC 95.7%,2212,95.7
78,7:30 - 3rd) ,KC 95.7%,2250,95.7
79,7:18 - 3rd) ,KC 95.3%,2262,95.3
80,6:50 - 3rd) ,KC 95.2%,2290,95.2
81,6:10 - 3rd) ,KC 94.4%,2330,94.4
82,5:32 - 3rd) ,KC 91.1%,2368,91.1
83,5:25 - 3rd) ,KC 90.7%,2375,90.7
84,4:48 - 3rd) ,KC 89.7%,2412,89.7
85,4:13 - 3rd) ,KC 94.4%,2447,94.4
86,3:20 - 3rd) ,KC 91.5%,2500,91.5
87,2:45 - 3rd) ,KC 91.4%,2535,91.4
88,2:05 - 3rd) ,KC 92.8%,2575,92.8
89,1:36 - 3rd) ,KC 91.4%,2604,91.4
90,0:55 - 3rd) ,KC 90.0%,2645,90.0
91,0:12 - 3rd) ,KC 90.6%,2688,90.6
92,15:00 - 4th),KC 95.6%,2700,95.6
93,14:10 - 4th),KC 94.7%,2750,94.7
