,raw_time,raw_win_pct,clean_time,SF_win_pct
0,14:33 - 1st),IND 58.6%,27,41.4
1,13:55 - 1st),IND 55.8%,65,44.2
2,13:19 - 1st),IND 58.4%,101,41.6
3,12:43 - 1st),IND 60.3%,137,39.7
4,12:03 - 1st),IND 63.1%,177,36.9
5,11:29 - 1st),IND 62.5%,211,37.5
6,10:55 - 1st),IND 62.5%,245,37.5
7,10:50 - 1st),IND 56.0%,250,44.0
8,10:06 - 1st),IND 52.1%,294,47.9
9,9:52 - 1st) ,IND 53.8%,308,46.2
10,9:09 - 1st) ,IND 57.3%,351,42.7
11,8:45 - 1st) ,IND 55.5%,375,44.5
12,8:08 - 1st) ,IND 58.5%,412,41.5
13,7:31 - 1st) ,IND 61.4%,449,38.6
14,7:10 - 1st) ,IND 53.7%,470,46.3
15,6:24 - 1st) ,IND 51.5%,516,48.5
16,5:43 - 1st) ,IND 56.5%,557,43.5
17,5:26 - 1st) ,SF 50.5%,574,50.5
18,4:48 - 1st) ,SF 53.0%,612,53.0
19,4:04 - 1st) ,SF 51.4%,656,51.4
20,3:28 - 1st) ,SF 51.6%,692,51.6
21,2:47 - 1st) ,IND 54.2%,733,45.8
22,2:37 - 1st) ,IND 52.0%,743,48.0
23,2:01 - 1st) ,IND 54.8%,779,45.2
24,1:25 - 1st) ,IND 56.5%,815,43.5
25,0:47 - 1st) ,IND 53.0%,853,47.0
26,0:38 - 1st) ,IND 52.5%,862,47.5
27,15:00 - 2nd),SF 51.6%,900,51.6
28,14:45 - 2nd),IND 52.5%,915,47.5
29,14:02 - 2nd),IND 56.9%,958,43.1
30,13:23 - 2nd),IND 59.5%,997,40.5
31,13:18 - 2nd),SF 56.7%,1002,56.7
32,13:02 - 2nd),IND 51.8%,1018,48.2
33,12:50 - 2nd),SF 52.7%,1030,52.7
34,12:44 - 2nd),IND 68.1%,1036,31.900000000000006
35,12:33 - 2nd),IND 55.7%,1047,44.3
36,12:24 - 2nd),IND 59.1%,1056,40.9
37,11:50 - 2nd),IND 59.1%,1090,40.9
38,11:08 - 2nd),IND 57.8%,1132,42.2
39,11:00 - 2nd),IND 59.9%,1140,40.1
40,10:35 - 2nd),IND 56.5%,1165,43.5
41,9:58 - 2nd) ,IND 51.6%,1202,48.4
42,9:19 - 2nd) ,IND 54.1%,1241,45.9
43,8:36 - 2nd) ,SF 50.5%,1284,50.5
44,7:49 - 2nd) ,IND 52.3%,1331,47.7
45,7:21 - 2nd) ,SF 52.3%,1359,52.3
46,6:38 - 2nd) ,IND 51.3%,1402,48.7
47,6:34 - 2nd) ,IND 53.6%,1406,46.4
48,5:51 - 2nd) ,IND 55.0%,1449,45.0
49,5:10 - 2nd) ,IND 54.0%,1490,46.0
50,4:56 - 2nd) ,IND 57.0%,1504,43.0
51,4:27 - 2nd) ,IND 60.0%,1533,40.0
52,3:48 - 2nd) ,IND 55.3%,1572,44.7
53,3:09 - 2nd) ,IND 64.9%,1611,35.099999999999994
54,2:31 - 2nd) ,IND 61.5%,1649,38.5
55,2:25 - 2nd) ,IND 63.2%,1655,36.8
56,2:00 - 2nd) ,IND 68.3%,1680,31.700000000000003
57,1:51 - 2nd) ,IND 54.3%,1689,45.7
58,1:07 - 2nd) ,IND 62.2%,1733,37.8
59,0:59 - 2nd) ,IND 57.2%,1741,42.8
60,0:42 - 2nd) ,IND 60.5%,1758,39.5
61,0:38 - 2nd) ,IND 59.3%,1762,40.7
62,0:19 - 2nd) ,IND 54.3%,1781,45.7
63,0:11 - 2nd) ,IND 51.9%,1789,48.1
64,0:02 - 2nd) ,SF 51.0%,1798,51.0
65,14:55 - 3rd),SF 51.0%,1805,51.0
66,14:19 - 3rd),IND 53.5%,1841,46.5
67,13:38 - 3rd),IND 67.1%,1882,32.900000000000006
68,13:09 - 3rd),SF 54.9%,1911,54.9
69,13:03 - 3rd),IND 55.8%,1917,44.2
70,12:29 - 3rd),IND 57.1%,1951,42.9
71,11:49 - 3rd),IND 61.4%,1991,38.6
72,11:40 - 3rd),SF 53.1%,2000,53.1
73,11:13 - 3rd),IND 64.9%,2027,35.099999999999994
74,10:33 - 3rd),IND 60.8%,2067,39.2
75,10:05 - 3rd),IND 68.8%,2095,31.200000000000003
76,9:54 - 3rd) ,SF 50.2%,2106,50.2
77,9:18 - 3rd) ,IND 57.4%,2142,42.6
78,8:32 - 3rd) ,IND 59.4%,2188,40.6
79,7:42 - 3rd) ,IND 66.4%,2238,33.599999999999994
80,7:35 - 3rd) ,IND 61.4%,2245,38.6
81,7:16 - 3rd) ,IND 62.0%,2264,38.0
82,6:43 - 3rd) ,IND 65.9%,2297,34.099999999999994
83,6:37 - 3rd) ,IND 71.3%,2303,28.700000000000003
84,5:58 - 3rd) ,IND 68.4%,2342,31.599999999999994
85,5:50 - 3rd) ,IND 69.6%,2350,30.400000000000006
86,5:11 - 3rd) ,IND 66.5%,2389,33.5
87,4:48 - 3rd) ,IND 75.1%,2412,24.900000000000006
88,4:02 - 3rd) ,IND 77.9%,2458,22.099999999999994
89,3:17 - 3rd) ,IND 89.0%,2503,11.0
90,3:12 - 3rd) ,IND 87.3%,2508,12.700000000000003
91,2:48 - 3rd) ,IND 85.7%,2532,14.299999999999997
92,2:16 - 3rd) ,IND 83.9%,2564,16.099999999999994
93,1:58 - 3rd) ,IND 84.8%,2582,15.200000000000003
94,1:21 - 3rd) ,IND 82.0%,2619,18.0
95,0:54 - 3rd) ,IND 80.8%,2646,19.200000000000003
96,0:21 - 3rd) ,IND 82.6%,2679,17.400000000000006
97,0:17 - 3rd) ,IND 80.1%,2683,19.900000000000006
98,15:00 - 4th),IND 80.7%,2700,19.299999999999997
99,14:28 - 4th),IND 79.6%,2732,20.400000000000006
100,13:48 - 4th),IND 85.3%,2772,14.700000000000003
101,13:39 - 4th),IND 93.3%,2781,6.700000000000003
102,12:48 - 4th),IND 89.5%,2832,10.5
103,12:24 - 4th),IND 89.9%,2856,10.099999999999994
104,11:45 - 4th),IND 90.5%,2895,9.5
105,11:03 - 4th),IND 95.5%,2937,4.5
106,10:44 - 4th),IND 94.9%,2956,5.099999999999994
107,9:56 - 4th) ,IND 97.4%,3004,2.5999999999999943
108,9:51 - 4th) ,IND 96.3%,3009,3.700000000000003
109,9:22 - 4th) ,IND 91.4%,3038,8.599999999999994
110,8:50 - 4th) ,IND 91.7%,3070,8.299999999999997
111,8:08 - 4th) ,IND 93.8%,3112,6.200000000000003
112,8:00 - 4th) ,IND 89.2%,3120,10.799999999999997
113,7:22 - 4th) ,IND 86.0%,3158,14.0
114,7:07 - 4th) ,IND 87.2%,3173,12.799999999999997
115,6:24 - 4th) ,IND 87.4%,3216,12.599999999999994
116,5:44 - 4th) ,IND 84.8%,3256,15.200000000000003
117,5:37 - 4th) ,IND 87.6%,3263,12.400000000000006
118,5:29 - 4th) ,IND 82.1%,3271,17.900000000000006
119,5:09 - 4th) ,IND 85.3%,3291,14.700000000000003
120,5:03 - 4th) ,IND 86.8%,3297,13.200000000000003
121,4:58 - 4th) ,IND 88.1%,3302,11.900000000000006
122,4:32 - 4th) ,IND 77.8%,3328,22.200000000000003
123,4:11 - 4th) ,IND 77.4%,3349,22.599999999999994
124,3:34 - 4th) ,IND 89.3%,3386,10.700000000000003
125,2:47 - 4th) ,IND 72.2%,3433,27.799999999999997
126,2:09 - 4th) ,IND 78.5%,3471,21.5
127,2:05 - 4th) ,IND 60.3%,3475,39.7
128,1:59 - 4th) ,IND 62.9%,3481,37.1
129,1:19 - 4th) ,IND 76.1%,3521,23.900000000000006
130,1:15 - 4th) ,IND 79.9%,3525,20.099999999999994
131,0:24 - 4th) ,IND 81.9%,3576,18.099999999999994
132,0:20 - 4th) ,SF 57.1%,3580,57.1
133,0:00 - 4th) ,TIE,3600,50.0
134,10:00 - OT) ,IND 55.6%,3900,44.4
135,10:00 - OT) ,SF 51.8%,3900,51.8
136,9:18 - OT) (,SF 55.3%,3942,55.3
137,8:35 - OT) (,IND 60.1%,3985,39.9
138,8:29 - OT) (,SF 50.5%,3991,50.5
139,7:55 - OT) (,SF 52.4%,4025,52.4
140,7:07 - OT) (,IND 69.9%,4073,30.099999999999994
141,6:37 - OT) (,IND 96.4%,4103,3.5999999999999943
142,5:44 - OT) T,IND 96.4%,4156,3.5999999999999943
143,5:44 - OT) (,IND 51.1%,4156,48.9
144,5:34 - OT) (,IND 51.1%,4166,48.9
145,4:57 - OT) (,IND 54.5%,4203,45.5
146,4:52 - OT) (,SF 59.0%,4208,59.0
147,4:45 - OT) (,SF 63.8%,4215,63.8
148,4:41 - OT) (,SF 52.7%,4219,52.7
149,4:35 - OT) (,SF 54.0%,4225,54.0
150,3:51 - OT) (,IND 50.3%,4269,49.7
151,3:45 - OT) (,SF 52.0%,4275,52.0
152,3:39 - OT) (,SF 59.3%,4281,59.3
153,3:34 - OT) (,SF 54.1%,4286,54.1
154,2:55 - OT) (,IND 60.1%,4325,39.9
155,2:17 - OT) (,IND 83.2%,4363,16.799999999999997
156,2:00 - OT) T,IND 83.2%,4380,16.799999999999997
157,2:00 - OT) (,IND 80.3%,4380,19.700000000000003
158,1:54 - OT) T,IND 80.3%,4386,19.700000000000003
159,1:54 - OT) (,IND 79.2%,4386,20.799999999999997
160,1:47 - OT) (,IND 79.0%,4393,21.0
161,1:43 - OT) T,IND 79.0%,4397,21.0
162,1:38 - OT) A,IND 100%,4402,0.0
163,0:00 - OT) E,IND 100%,4500,0.0
