,raw_time,raw_win_pct,clean_time,SEA_win_pct
0,14:28 - 1st),SEA 56.3%,32,56.3
1,12:56 - 1st),SEA 56.0%,124,56.0
2,12:50 - 1st),SEA 53.6%,130,53.6
3,12:14 - 1st),SEA 65.3%,166,65.3
4,12:04 - 1st),SEA 54.5%,176,54.5
5,11:30 - 1st),SEA 50.7%,210,50.7
6,11:07 - 1st),SEA 54.2%,233,54.2
7,11:02 - 1st),LAR 51.1%,238,48.9
8,10:35 - 1st),LAR 55.5%,265,44.5
9,9:48 - 1st) ,LAR 55.6%,312,44.4
10,9:25 - 1st) ,LAR 60.6%,335,39.4
11,9:16 - 1st) ,SEA 56.7%,344,56.7
12,8:45 - 1st) ,SEA 55.0%,375,55.0
13,8:39 - 1st) ,SEA 59.9%,381,59.9
14,8:32 - 1st) ,SEA 56.8%,388,56.8
15,8:29 - 1st) ,SEA 56.4%,391,56.4
16,7:49 - 1st) ,SEA 61.9%,431,61.9
17,7:14 - 1st) ,SEA 61.3%,466,61.3
18,6:33 - 1st) ,SEA 56.2%,507,56.2
19,5:51 - 1st) ,SEA 56.1%,549,56.1
20,5:04 - 1st) ,SEA 59.8%,596,59.8
21,4:58 - 1st) ,SEA 55.7%,602,55.7
22,4:22 - 1st) ,SEA 61.8%,638,61.8
23,3:33 - 1st) ,SEA 59.8%,687,59.8
24,3:21 - 1st) ,SEA 58.0%,699,58.0
25,3:10 - 1st) ,SEA 56.0%,710,56.0
26,2:33 - 1st) ,SEA 57.6%,747,57.6
27,2:28 - 1st) ,SEA 51.2%,752,51.2
28,1:59 - 1st) ,LAR 50.4%,781,49.6
29,1:32 - 1st) ,SEA 51.7%,808,51.7
30,1:27 - 1st) ,LAR 52.5%,813,47.5
31,1:00 - 1st) ,LAR 56.2%,840,43.8
32,15:00 - 2nd),LAR 51.2%,900,48.8
33,14:13 - 2nd),LAR 63.4%,947,36.6
34,14:08 - 2nd),LAR 65.4%,952,34.599999999999994
35,13:28 - 2nd),LAR 66.8%,992,33.2
36,12:46 - 2nd),LAR 65.3%,1034,34.7
