,raw_time,raw_win_pct,clean_time,LAC_win_pct
0,14:22 - 1st),NYG 66.9%,38,33.099999999999994
1,13:46 - 1st),NYG 70.8%,74,29.200000000000003
2,13:41 - 1st),NYG 69.8%,79,30.200000000000003
3,13:33 - 1st),NYG 68.7%,87,31.299999999999997
4,13:06 - 1st),NYG 68.3%,114,31.700000000000003
5,12:27 - 1st),NYG 70.8%,153,29.200000000000003
6,11:48 - 1st),NYG 71.9%,192,28.099999999999994
7,11:11 - 1st),NYG 69.0%,229,31.0
8,10:40 - 1st),NYG 67.6%,260,32.400000000000006
9,10:35 - 1st),NYG 64.7%,265,35.3
10,9:56 - 1st) ,NYG 66.9%,304,33.099999999999994
11,9:43 - 1st) ,NYG 69.0%,317,31.0
12,9:03 - 1st) ,NYG 70.4%,357,29.599999999999994
13,8:53 - 1st) ,NYG 75.2%,367,24.799999999999997
14,8:45 - 1st) ,NYG 76.7%,375,23.299999999999997
15,8:18 - 1st) ,NYG 76.7%,402,23.299999999999997
16,7:48 - 1st) ,NYG 77.0%,432,23.0
17,7:12 - 1st) ,NYG 75.2%,468,24.799999999999997
18,7:10 - 1st) ,NYG 69.8%,470,30.200000000000003
19,6:38 - 1st) ,NYG 70.7%,502,29.299999999999997
20,6:32 - 1st) ,NYG 72.6%,508,27.400000000000006
21,5:56 - 1st) ,NYG 73.9%,544,26.099999999999994
22,5:47 - 1st) ,NYG 75.3%,553,24.700000000000003
23,4:48 - 1st) ,NYG 74.5%,612,25.5
24,4:35 - 1st) ,NYG 75.5%,625,24.5
25,4:08 - 1st) ,NYG 77.0%,652,23.0
26,3:38 - 1st) ,NYG 67.1%,682,32.900000000000006
27,3:05 - 1st) ,NYG 78.7%,715,21.299999999999997
28,2:16 - 1st) ,NYG 83.3%,764,16.700000000000003
29,2:08 - 1st) ,NYG 83.2%,772,16.799999999999997
30,1:46 - 1st) ,NYG 79.3%,794,20.700000000000003
31,1:16 - 1st) ,NYG 77.1%,824,22.900000000000006
32,0:35 - 1st) ,NYG 78.8%,865,21.200000000000003
33,0:04 - 1st) ,NYG 80.5%,896,19.5
34,15:00 - 2nd),NYG 78.8%,900,21.200000000000003
35,14:57 - 2nd),NYG 85.3%,903,14.700000000000003
36,14:18 - 2nd),NYG 74.4%,942,25.599999999999994
37,13:37 - 2nd),NYG 79.8%,983,20.200000000000003
38,13:01 - 2nd),NYG 70.7%,1019,29.299999999999997
