,raw_time,raw_win_pct,clean_time,BAL_win_pct
0,14:53 - 1st),OAK 65.4%,7,34.599999999999994
1,14:36 - 1st),OAK 65.9%,24,34.099999999999994
2,13:50 - 1st),OAK 60.9%,70,39.1
3,13:24 - 1st),OAK 61.9%,96,38.1
4,12:45 - 1st),OAK 58.6%,135,41.4
5,12:38 - 1st),OAK 60.1%,142,39.9
6,12:24 - 1st),OAK 58.4%,156,41.6
7,11:56 - 1st),OAK 61.4%,184,38.6
8,11:10 - 1st),BAL 62.1%,230,62.1
9,11:03 - 1st),BAL 63.1%,237,63.1
10,10:27 - 1st),BAL 58.6%,273,58.6
11,9:52 - 1st) ,BAL 58.8%,308,58.8
12,9:08 - 1st) ,BAL 58.2%,352,58.2
13,8:37 - 1st) ,BAL 57.7%,383,57.7
14,8:00 - 1st) ,BAL 57.4%,420,57.4
15,7:21 - 1st) ,BAL 56.6%,459,56.6
16,6:35 - 1st) ,BAL 62.2%,505,62.2
17,5:54 - 1st) ,BAL 59.2%,546,59.2
18,5:15 - 1st) ,BAL 61.2%,585,61.2
19,5:07 - 1st) ,BAL 63.4%,593,63.4
20,4:39 - 1st) ,BAL 64.9%,621,64.9
21,4:01 - 1st) ,BAL 69.6%,659,69.6
22,3:24 - 1st) ,BAL 72.3%,696,72.3
23,2:43 - 1st) ,BAL 73.0%,737,73.0
24,2:05 - 1st) ,BAL 71.6%,775,71.6
25,1:14 - 1st) ,BAL 73.2%,826,73.2
26,0:46 - 1st) ,BAL 74.0%,854,74.0
27,0:09 - 1st) ,BAL 74.8%,891,74.8
28,0:00 - 1st) ,BAL 74.9%,900,74.9
29,14:51 - 2nd),BAL 79.2%,909,79.2
30,14:08 - 2nd),BAL 79.3%,952,79.3
31,13:29 - 2nd),BAL 79.8%,991,79.8
32,13:19 - 2nd),BAL 81.8%,1001,81.8
33,12:42 - 2nd),BAL 83.8%,1038,83.8
34,11:57 - 2nd),BAL 83.4%,1083,83.4
35,11:52 - 2nd),BAL 85.4%,1088,85.4
36,11:44 - 2nd),BAL 84.6%,1096,84.6
37,11:09 - 2nd),BAL 83.5%,1131,83.5
38,10:35 - 2nd),BAL 83.9%,1165,83.9
39,9:47 - 2nd) ,BAL 80.6%,1213,80.6
40,9:11 - 2nd) ,BAL 71.5%,1249,71.5
41,9:07 - 2nd) ,BAL 73.0%,1253,73.0
42,8:36 - 2nd) ,BAL 73.8%,1284,73.8
43,8:01 - 2nd) ,BAL 71.5%,1319,71.5
44,7:24 - 2nd) ,BAL 82.5%,1356,82.5
45,6:40 - 2nd) ,BAL 85.4%,1400,85.4
46,6:09 - 2nd) ,BAL 85.1%,1431,85.1
47,5:24 - 2nd) ,BAL 82.1%,1476,82.1
48,5:18 - 2nd) ,BAL 78.3%,1482,78.3
49,5:09 - 2nd) ,BAL 83.5%,1491,83.5
50,4:36 - 2nd) ,BAL 81.2%,1524,81.2
51,3:55 - 2nd) ,BAL 82.5%,1565,82.5
52,3:11 - 2nd) ,BAL 85.8%,1609,85.8
53,2:37 - 2nd) ,BAL 85.5%,1643,85.5
54,2:31 - 2nd) ,BAL 84.5%,1649,84.5
55,2:00 - 2nd) ,BAL 85.0%,1680,85.0
56,1:50 - 2nd) ,BAL 85.5%,1690,85.5
57,1:08 - 2nd) ,BAL 88.1%,1732,88.1
58,0:50 - 2nd) ,BAL 85.0%,1750,85.0
59,0:46 - 2nd) ,BAL 84.4%,1754,84.4
60,0:35 - 2nd) ,BAL 83.5%,1765,83.5
61,0:28 - 2nd) ,BAL 83.3%,1772,83.3
62,0:20 - 2nd) ,BAL 84.3%,1780,84.3
63,15:00 - 3rd),BAL 82.7%,1800,82.7
64,14:47 - 3rd),BAL 87.3%,1813,87.3
65,14:11 - 3rd),BAL 88.5%,1849,88.5
66,14:02 - 3rd),BAL 88.9%,1858,88.9
67,13:54 - 3rd),BAL 86.7%,1866,86.7
68,13:02 - 3rd),BAL 85.2%,1918,85.2
69,12:23 - 3rd),BAL 86.1%,1957,86.1
70,11:53 - 3rd),BAL 86.0%,1987,86.0
71,11:45 - 3rd),BAL 86.2%,1995,86.2
72,11:09 - 3rd),BAL 87.6%,2031,87.6
73,10:23 - 3rd),BAL 90.9%,2077,90.9
74,9:36 - 3rd) ,BAL 90.1%,2124,90.1
75,9:31 - 3rd) ,BAL 88.5%,2129,88.5
76,9:14 - 3rd) ,BAL 87.9%,2146,87.9
77,9:07 - 3rd) ,BAL 80.7%,2153,80.7
78,8:28 - 3rd) ,BAL 87.2%,2192,87.2
79,8:23 - 3rd) ,BAL 88.8%,2197,88.8
80,8:15 - 3rd) ,BAL 88.4%,2205,88.4
81,7:35 - 3rd) ,BAL 86.6%,2245,86.6
82,7:27 - 3rd) ,BAL 83.4%,2253,83.4
83,6:49 - 3rd) ,BAL 82.3%,2291,82.3
84,6:27 - 3rd) ,BAL 84.2%,2313,84.2
85,6:19 - 3rd) ,BAL 84.1%,2321,84.1
86,5:37 - 3rd) ,BAL 80.6%,2363,80.6
87,4:58 - 3rd) ,BAL 83.9%,2402,83.9
88,4:49 - 3rd) ,BAL 84.8%,2411,84.8
89,3:56 - 3rd) ,BAL 91.8%,2464,91.8
90,3:46 - 3rd) ,BAL 75.9%,2474,75.9
91,3:40 - 3rd) ,BAL 77.5%,2480,77.5
92,3:00 - 3rd) ,BAL 75.2%,2520,75.2
93,2:11 - 3rd) ,BAL 80.5%,2569,80.5
94,1:34 - 3rd) ,BAL 78.9%,2606,78.9
95,0:58 - 3rd) ,BAL 77.8%,2642,77.8
96,0:50 - 3rd) ,BAL 86.6%,2650,86.6
97,0:30 - 3rd) ,BAL 88.8%,2670,88.8
98,0:00 - 3rd) ,BAL 89.2%,2700,89.2
99,14:54 - 4th),BAL 90.7%,2706,90.7
100,14:33 - 4th),BAL 89.8%,2727,89.8
101,13:53 - 4th),BAL 89.8%,2767,89.8
102,13:13 - 4th),BAL 87.3%,2807,87.3
103,13:00 - 4th),BAL 91.1%,2820,91.1
104,12:22 - 4th),BAL 90.3%,2858,90.3
105,11:43 - 4th),BAL 86.6%,2897,86.6
106,11:22 - 4th),BAL 83.3%,2918,83.3
107,10:47 - 4th),BAL 85.7%,2953,85.7
108,10:08 - 4th),BAL 87.8%,2992,87.8
109,9:32 - 4th) ,BAL 87.0%,3028,87.0
110,8:58 - 4th) ,BAL 93.7%,3062,93.7
111,8:50 - 4th) ,BAL 94.5%,3070,94.5
112,8:42 - 4th) ,BAL 93.1%,3078,93.1
113,8:10 - 4th) ,BAL 94.0%,3110,94.0
114,7:39 - 4th) ,BAL 96.7%,3141,96.7
115,6:58 - 4th) ,BAL 96.2%,3182,96.2
116,6:20 - 4th) ,BAL 98.0%,3220,98.0
117,5:35 - 4th) ,BAL 98.2%,3265,98.2
118,4:53 - 4th) ,BAL 99.1%,3307,99.1
119,4:02 - 4th) ,BAL 99.2%,3358,99.2
120,3:23 - 4th) ,BAL 99.8%,3397,99.8
121,2:39 - 4th) ,BAL 99.7%,3441,99.7
122,2:34 - 4th) ,BAL 99.7%,3446,99.7
123,2:24 - 4th) ,BAL 99.9%,3456,99.9
124,2:17 - 4th) ,BAL 99.9%,3463,99.9
125,2:05 - 4th) ,BAL 99.9%,3475,99.9
126,1:57 - 4th) ,BAL 99.9%,3483,99.9
127,1:52 - 4th) ,BAL 99.9%,3488,99.9
128,1:11 - 4th) ,BAL 99.9%,3529,99.9
129,0:32 - 4th) ,BAL 99.9%,3568,99.9
130,0:00 - 4th) ,BAL 100%,3600,100.0
