,raw_time,raw_win_pct,clean_time,ARI_win_pct
0,14:54 - 1st),PHI 78.2%,6,21.799999999999997
1,14:19 - 1st),PHI 79.0%,41,21.0
2,14:15 - 1st),PHI 80.6%,45,19.400000000000006
3,13:59 - 1st),PHI 81.0%,61,19.0
4,13:45 - 1st),PHI 78.8%,75,21.200000000000003
5,13:40 - 1st),PHI 79.2%,80,20.799999999999997
6,13:05 - 1st),PHI 81.0%,115,19.0
7,12:42 - 1st),PHI 81.4%,138,18.599999999999994
8,12:04 - 1st),PHI 77.5%,176,22.5
9,11:20 - 1st),PHI 82.3%,220,17.700000000000003
10,10:44 - 1st),PHI 80.3%,256,19.700000000000003
11,10:38 - 1st),PHI 78.9%,262,21.099999999999994
12,9:54 - 1st) ,PHI 83.7%,306,16.299999999999997
13,9:10 - 1st) ,PHI 82.6%,350,17.400000000000006
14,8:19 - 1st) ,PHI 86.0%,401,14.0
15,8:13 - 1st) ,PHI 87.6%,407,12.400000000000006
16,8:09 - 1st) ,PHI 84.9%,411,15.099999999999994
17,7:31 - 1st) ,PHI 86.3%,449,13.700000000000003
18,6:54 - 1st) ,PHI 88.2%,486,11.799999999999997
19,6:14 - 1st) ,PHI 88.5%,526,11.5
20,5:44 - 1st) ,PHI 86.1%,556,13.900000000000006
21,5:22 - 1st) ,PHI 90.7%,578,9.299999999999997
22,4:39 - 1st) ,PHI 90.9%,621,9.099999999999994
23,3:52 - 1st) ,PHI 93.5%,668,6.5
24,3:45 - 1st) ,PHI 94.7%,675,5.299999999999997
25,3:11 - 1st) ,PHI 95.0%,709,5.0
26,3:05 - 1st) ,PHI 95.2%,715,4.799999999999997
27,2:34 - 1st) ,PHI 95.2%,746,4.799999999999997
28,2:16 - 1st) ,PHI 94.5%,764,5.5
29,1:38 - 1st) ,PHI 94.5%,802,5.5
30,0:43 - 1st) ,PHI 97.5%,857,2.5
31,0:16 - 1st) ,PHI 97.7%,884,2.299999999999997
32,15:00 - 2nd),PHI 96.6%,900,3.4000000000000057
33,14:35 - 2nd),PHI 95.9%,925,4.099999999999994
34,13:56 - 2nd),PHI 96.1%,964,3.9000000000000057
35,13:53 - 2nd),PHI 95.7%,967,4.299999999999997
36,13:13 - 2nd),PHI 96.2%,1007,3.799999999999997
37,12:33 - 2nd),PHI 96.6%,1047,3.4000000000000057
38,11:42 - 2nd),PHI 94.6%,1098,5.400000000000006
39,11:04 - 2nd),PHI 95.2%,1136,4.799999999999997
40,10:29 - 2nd),PHI 94.4%,1171,5.599999999999994
41,10:24 - 2nd),PHI 93.3%,1176,6.700000000000003
42,9:47 - 2nd) ,PHI 93.6%,1213,6.400000000000006
43,9:10 - 2nd) ,PHI 94.2%,1250,5.799999999999997
44,9:04 - 2nd) ,PHI 95.1%,1256,4.900000000000006
45,8:06 - 2nd) ,PHI 95.1%,1314,4.900000000000006
46,7:25 - 2nd) ,PHI 95.1%,1355,4.900000000000006
47,7:00 - 2nd) ,PHI 94.9%,1380,5.099999999999994
48,6:55 - 2nd) ,PHI 94.1%,1385,5.900000000000006
49,6:16 - 2nd) ,PHI 93.8%,1424,6.200000000000003
50,5:34 - 2nd) ,PHI 93.1%,1466,6.900000000000006
51,4:58 - 2nd) ,PHI 93.7%,1502,6.299999999999997
52,4:48 - 2nd) ,PHI 94.4%,1512,5.599999999999994
53,4:13 - 2nd) ,PHI 93.9%,1547,6.099999999999994
54,3:35 - 2nd) ,PHI 95.3%,1585,4.700000000000003
55,3:31 - 2nd) ,PHI 95.2%,1589,4.799999999999997
56,3:19 - 2nd) ,PHI 94.7%,1601,5.299999999999997
57,2:35 - 2nd) ,PHI 95.5%,1645,4.5
58,2:00 - 2nd) ,PHI 96.4%,1680,3.5999999999999943
59,1:51 - 2nd) ,PHI 96.4%,1689,3.5999999999999943
60,1:23 - 2nd) ,PHI 96.9%,1717,3.0999999999999943
61,1:15 - 2nd) ,PHI 97.0%,1725,3.0
62,0:52 - 2nd) ,PHI 96.7%,1748,3.299999999999997
63,0:47 - 2nd) ,PHI 95.2%,1753,4.799999999999997
64,0:32 - 2nd) ,PHI 94.7%,1768,5.299999999999997
65,0:26 - 2nd) ,PHI 93.8%,1774,6.200000000000003
66,0:21 - 2nd) ,PHI 92.6%,1779,7.400000000000006
67,0:05 - 2nd) ,PHI 93.1%,1795,6.900000000000006
68,15:00 - 3rd),PHI 96.4%,1800,3.5999999999999943
69,14:23 - 3rd),PHI 95.0%,1837,5.0
70,13:40 - 3rd),PHI 94.7%,1880,5.299999999999997
71,13:36 - 3rd),PHI 96.4%,1884,3.5999999999999943
72,12:57 - 3rd),PHI 95.8%,1923,4.200000000000003
73,12:12 - 3rd),PHI 96.4%,1968,3.5999999999999943
74,11:30 - 3rd),PHI 97.4%,2010,2.5999999999999943
75,10:52 - 3rd),PHI 97.1%,2048,2.9000000000000057
76,10:05 - 3rd),PHI 97.4%,2095,2.5999999999999943
77,9:26 - 3rd) ,PHI 96.9%,2134,3.0999999999999943
78,9:18 - 3rd) ,PHI 98.5%,2142,1.5
79,9:14 - 3rd) ,PHI 98.0%,2146,2.0
80,8:38 - 3rd) ,PHI 98.3%,2182,1.7000000000000028
