,raw_time,raw_win_pct,clean_time,JAX_win_pct
0,14:14 - 1st),PIT 75.0%,46,25.0
1,13:34 - 1st),PIT 77.7%,86,22.299999999999997
2,13:23 - 1st),PIT 82.3%,97,17.700000000000003
3,12:35 - 1st),PIT 80.3%,145,19.700000000000003
4,12:32 - 1st),PIT 83.5%,148,16.5
5,11:50 - 1st),PIT 82.6%,190,17.400000000000006
6,11:08 - 1st),PIT 80.3%,232,19.700000000000003
7,10:27 - 1st),PIT 78.0%,273,22.0
8,10:17 - 1st),PIT 79.1%,283,20.900000000000006
9,9:47 - 1st) ,PIT 80.2%,313,19.799999999999997
10,9:05 - 1st) ,PIT 73.8%,355,26.200000000000003
11,8:17 - 1st) ,PIT 76.5%,403,23.5
12,8:13 - 1st) ,PIT 77.3%,407,22.700000000000003
13,7:35 - 1st) ,PIT 80.0%,445,20.0
14,7:21 - 1st) ,PIT 75.5%,459,24.5
15,6:46 - 1st) ,PIT 77.3%,494,22.700000000000003
16,5:59 - 1st) ,PIT 80.0%,541,20.0
17,5:19 - 1st) ,PIT 77.8%,581,22.200000000000003
18,4:38 - 1st) ,PIT 81.2%,622,18.799999999999997
19,4:05 - 1st) ,PIT 78.8%,655,21.200000000000003
20,3:29 - 1st) ,PIT 79.7%,691,20.299999999999997
21,2:19 - 1st) ,PIT 82.2%,761,17.799999999999997
22,1:37 - 1st) ,PIT 79.8%,803,20.200000000000003
23,1:33 - 1st) ,PIT 72.2%,807,27.799999999999997
24,1:24 - 1st) ,PIT 75.0%,816,25.0
25,0:48 - 1st) ,PIT 69.3%,852,30.700000000000003
26,0:12 - 1st) ,PIT 66.6%,888,33.400000000000006
27,15:00 - 2nd),PIT 67.2%,900,32.8
28,14:24 - 2nd),PIT 65.8%,936,34.2
29,13:42 - 2nd),PIT 63.7%,978,36.3
30,13:00 - 2nd),PIT 63.5%,1020,36.5
31,12:19 - 2nd),PIT 59.6%,1061,40.4
32,12:12 - 2nd),PIT 59.1%,1068,40.9
33,11:31 - 2nd),PIT 59.0%,1109,41.0
34,10:55 - 2nd),PIT 57.4%,1145,42.6
35,10:09 - 2nd),PIT 53.1%,1191,46.9
36,9:27 - 2nd) ,PIT 61.1%,1233,38.9
37,8:50 - 2nd) ,PIT 60.7%,1270,39.3
38,8:07 - 2nd) ,PIT 53.4%,1313,46.6
39,7:23 - 2nd) ,PIT 57.7%,1357,42.3
40,6:44 - 2nd) ,PIT 50.2%,1396,49.8
41,5:55 - 2nd) ,JAX 51.1%,1445,51.1
42,5:19 - 2nd) ,PIT 51.5%,1481,48.5
43,4:40 - 2nd) ,TIE,1520,50.0
44,4:10 - 2nd) ,JAX 50.8%,1550,50.8
45,4:07 - 2nd) ,JAX 58.1%,1553,58.1
46,3:26 - 2nd) ,PIT 50.5%,1594,49.5
47,2:44 - 2nd) ,PIT 51.0%,1636,49.0
48,2:20 - 2nd) ,JAX 50.2%,1660,50.2
49,2:15 - 2nd) ,JAX 50.8%,1665,50.8
50,2:00 - 2nd) ,JAX 50.8%,1680,50.8
51,1:45 - 2nd) ,JAX 72.0%,1695,72.0
52,1:40 - 2nd) ,JAX 50.8%,1700,50.8
53,1:27 - 2nd) ,JAX 53.2%,1713,53.2
