,raw_time,raw_win_pct,clean_time,NE_win_pct
0,14:54 - 1st),NE 58.9%,6,58.9
1,14:31 - 1st),NE 60.4%,29,60.4
2,14:06 - 1st),NE 59.8%,54,59.8
3,13:40 - 1st),NE 61.9%,80,61.9
4,13:10 - 1st),NE 64.3%,110,64.3
5,12:57 - 1st),TIE,123,50.0
6,12:22 - 1st),NE 53.0%,158,53.0
7,11:50 - 1st),NE 54.7%,190,54.7
8,11:43 - 1st),NE 58.0%,197,58.0
9,11:36 - 1st),NE 58.3%,204,58.3
10,11:25 - 1st),NE 55.7%,215,55.7
11,10:49 - 1st),NE 51.6%,251,51.6
12,10:44 - 1st),NE 51.4%,256,51.4
13,10:32 - 1st),TIE,268,50.0
14,10:09 - 1st),TB 51.4%,291,48.6
15,9:30 - 1st) ,NE 51.5%,330,51.5
16,8:46 - 1st) ,NE 57.3%,374,57.3
17,8:42 - 1st) ,NE 55.7%,378,55.7
18,8:31 - 1st) ,NE 51.2%,389,51.2
19,7:55 - 1st) ,NE 52.0%,425,52.0
20,7:14 - 1st) ,NE 57.4%,466,57.4
21,6:38 - 1st) ,NE 59.7%,502,59.7
22,5:59 - 1st) ,NE 53.8%,541,53.8
23,5:19 - 1st) ,NE 57.7%,581,57.7
24,4:36 - 1st) ,NE 61.3%,624,61.3
25,4:30 - 1st) ,NE 61.3%,630,61.3
26,4:13 - 1st) ,NE 63.5%,647,63.5
27,3:50 - 1st) ,NE 56.7%,670,56.7
28,3:28 - 1st) ,NE 61.8%,692,61.8
29,3:10 - 1st) ,NE 67.8%,710,67.8
30,2:49 - 1st) ,NE 65.7%,731,65.7
31,2:05 - 1st) ,NE 64.9%,775,64.9
32,1:31 - 1st) ,NE 60.0%,809,60.0
33,1:21 - 1st) ,NE 62.6%,819,62.6
34,0:48 - 1st) ,NE 64.0%,852,64.0
35,0:33 - 1st) ,NE 65.1%,867,65.1
36,0:21 - 1st) ,NE 67.2%,879,67.2
37,15:00 - 2nd),NE 65.5%,900,65.5
38,14:28 - 2nd),NE 50.8%,932,50.8
39,13:48 - 2nd),NE 58.5%,972,58.5
40,13:38 - 2nd),NE 57.5%,982,57.5
