,raw_time,raw_win_pct,clean_time,CHI_win_pct
0,14:55 - 1st),BAL 80.2%,5,19.799999999999997
1,14:13 - 1st),BAL 80.6%,47,19.400000000000006
2,13:36 - 1st),BAL 76.7%,84,23.299999999999997
3,12:58 - 1st),BAL 78.3%,122,21.700000000000003
4,12:48 - 1st),BAL 80.4%,132,19.599999999999994
5,12:17 - 1st),BAL 81.9%,163,18.099999999999994
6,11:56 - 1st),BAL 85.1%,184,14.900000000000006
7,11:52 - 1st),BAL 82.5%,188,17.5
8,9:29 - 1st) ,BAL 75.1%,331,24.900000000000006
9,9:25 - 1st) ,BAL 76.2%,335,23.799999999999997
10,8:56 - 1st) ,BAL 78.1%,364,21.900000000000006
11,8:23 - 1st) ,BAL 77.1%,397,22.900000000000006
12,8:14 - 1st) ,BAL 77.8%,406,22.200000000000003
13,7:47 - 1st) ,BAL 78.4%,433,21.599999999999994
14,7:07 - 1st) ,BAL 75.9%,473,24.099999999999994
15,6:33 - 1st) ,BAL 76.1%,507,23.900000000000006
16,5:58 - 1st) ,BAL 72.0%,542,28.0
17,5:24 - 1st) ,BAL 73.2%,576,26.799999999999997
18,5:13 - 1st) ,BAL 73.0%,587,27.0
19,4:37 - 1st) ,BAL 71.4%,623,28.599999999999994
20,4:04 - 1st) ,BAL 70.4%,656,29.599999999999994
21,3:57 - 1st) ,BAL 75.0%,663,25.0
22,3:19 - 1st) ,BAL 71.7%,701,28.299999999999997
23,2:37 - 1st) ,BAL 76.0%,743,24.0
24,1:57 - 1st) ,BAL 74.4%,783,25.599999999999994
25,1:48 - 1st) ,BAL 74.8%,792,25.200000000000003
26,1:15 - 1st) ,BAL 70.1%,825,29.900000000000006
27,1:08 - 1st) ,BAL 69.0%,832,31.0
28,0:30 - 1st) ,BAL 67.1%,870,32.900000000000006
29,0:22 - 1st) ,BAL 69.2%,878,30.799999999999997
30,0:13 - 1st) ,BAL 70.8%,887,29.200000000000003
31,15:00 - 2nd),BAL 67.4%,900,32.599999999999994
32,14:29 - 2nd),BAL 67.1%,931,32.900000000000006
33,14:02 - 2nd),BAL 64.7%,958,35.3
