,raw_time,raw_win_pct,clean_time,PHI_win_pct
0,14:39 - 1st),CAR 57.8%,21,42.2
1,14:09 - 1st),CAR 63.7%,51,36.3
2,13:40 - 1st),PHI 50.7%,80,50.7
3,13:14 - 1st),CAR 63.8%,106,36.2
4,13:03 - 1st),CAR 61.0%,117,39.0
5,12:32 - 1st),CAR 59.2%,148,40.8
6,12:27 - 1st),CAR 55.9%,153,44.1
7,12:15 - 1st),CAR 59.1%,165,40.9
8,12:12 - 1st),CAR 58.0%,168,42.0
9,11:30 - 1st),CAR 54.1%,210,45.9
10,10:50 - 1st),CAR 59.9%,250,40.1
11,10:06 - 1st),CAR 55.3%,294,44.7
12,9:35 - 1st) ,CAR 50.9%,325,49.1
13,9:07 - 1st) ,PHI 51.4%,353,51.4
14,8:31 - 1st) ,CAR 51.0%,389,49.0
15,7:51 - 1st) ,PHI 52.2%,429,52.2
16,7:07 - 1st) ,CAR 54.7%,473,45.3
17,6:57 - 1st) ,CAR 51.2%,483,48.8
18,6:18 - 1st) ,CAR 53.9%,522,46.1
19,5:35 - 1st) ,CAR 50.3%,565,49.7
20,5:06 - 1st) ,CAR 56.9%,594,43.1
21,5:00 - 1st) ,CAR 59.1%,600,40.9
22,4:22 - 1st) ,CAR 58.7%,638,41.3
23,3:38 - 1st) ,CAR 58.1%,682,41.9
24,3:01 - 1st) ,CAR 59.7%,719,40.3
25,2:29 - 1st) ,CAR 52.9%,751,47.1
26,2:17 - 1st) ,CAR 51.6%,763,48.4
27,1:46 - 1st) ,CAR 53.7%,794,46.3
28,1:06 - 1st) ,CAR 60.6%,834,39.4
29,1:02 - 1st) ,CAR 61.2%,838,38.8
30,0:51 - 1st) ,CAR 60.7%,849,39.3
31,0:43 - 1st) ,CAR 54.8%,857,45.2
32,15:00 - 2nd),CAR 58.4%,900,41.6
33,14:38 - 2nd),CAR 53.7%,922,46.3
34,14:02 - 2nd),CAR 55.9%,958,44.1
35,13:52 - 2nd),CAR 59.6%,968,40.4
36,13:29 - 2nd),CAR 59.6%,991,40.4
37,13:24 - 2nd),CAR 64.6%,996,35.400000000000006
38,12:48 - 2nd),CAR 61.5%,1032,38.5
39,12:33 - 2nd),CAR 67.5%,1047,32.5
40,12:01 - 2nd),CAR 67.5%,1079,32.5
41,11:15 - 2nd),CAR 70.3%,1125,29.700000000000003
42,10:34 - 2nd),CAR 77.5%,1166,22.5
43,9:55 - 2nd) ,CAR 79.1%,1205,20.900000000000006
44,9:10 - 2nd) ,CAR 76.0%,1250,24.0
45,8:42 - 2nd) ,CAR 73.6%,1278,26.400000000000006
46,8:08 - 2nd) ,CAR 75.4%,1312,24.599999999999994
47,7:57 - 2nd) ,CAR 77.1%,1323,22.900000000000006
48,7:50 - 2nd) ,CAR 73.1%,1330,26.900000000000006
49,7:18 - 2nd) ,CAR 75.1%,1362,24.900000000000006
50,6:34 - 2nd) ,CAR 63.6%,1406,36.4
51,6:26 - 2nd) ,CAR 63.7%,1414,36.3
52,5:49 - 2nd) ,CAR 65.8%,1451,34.2
53,5:11 - 2nd) ,CAR 72.2%,1489,27.799999999999997
54,4:26 - 2nd) ,CAR 61.2%,1534,38.8
55,3:58 - 2nd) ,CAR 62.7%,1562,37.3
56,3:18 - 2nd) ,CAR 62.8%,1602,37.2
57,2:32 - 2nd) ,CAR 59.9%,1648,40.1
58,1:59 - 2nd) ,CAR 57.3%,1681,42.7
59,1:58 - 2nd) ,CAR 62.6%,1682,37.4
60,1:36 - 2nd) ,CAR 56.9%,1704,43.1
61,1:30 - 2nd) ,CAR 62.4%,1710,37.6
62,1:06 - 2nd) ,CAR 62.0%,1734,38.0
63,0:53 - 2nd) ,CAR 57.2%,1747,42.8
64,0:41 - 2nd) ,CAR 56.1%,1759,43.9
65,0:12 - 2nd) ,CAR 54.1%,1788,45.9
66,15:00 - 3rd),CAR 58.7%,1800,41.3
67,14:56 - 3rd),CAR 50.6%,1804,49.4
68,14:19 - 3rd),PHI 50.7%,1841,50.7
69,14:13 - 3rd),PHI 62.9%,1847,62.9
70,14:07 - 3rd),PHI 59.2%,1853,59.2
71,13:59 - 3rd),PHI 72.5%,1861,72.5
72,13:48 - 3rd),PHI 63.8%,1872,63.8
73,13:36 - 3rd),PHI 59.5%,1884,59.5
74,12:59 - 3rd),PHI 57.3%,1921,57.3
