,raw_time,raw_win_pct,clean_time,NYG_win_pct
0,14:55 - 1st),DEN 70.3%,5,29.700000000000003
1,14:32 - 1st),DEN 70.0%,28,30.0
2,14:07 - 1st),DEN 66.8%,53,33.2
3,13:56 - 1st),DEN 70.7%,64,29.299999999999997
4,13:51 - 1st),DEN 67.5%,69,32.5
5,13:09 - 1st),DEN 65.7%,111,34.3
6,12:29 - 1st),DEN 67.7%,151,32.3
7,11:50 - 1st),DEN 63.2%,190,36.8
8,11:05 - 1st),DEN 63.8%,235,36.2
9,10:25 - 1st),DEN 62.0%,275,38.0
10,9:39 - 1st) ,DEN 63.1%,321,36.9
11,8:56 - 1st) ,DEN 56.8%,364,43.2
12,8:21 - 1st) ,DEN 56.2%,399,43.8
13,7:44 - 1st) ,DEN 58.5%,436,41.5
14,7:38 - 1st) ,DEN 63.0%,442,37.0
15,6:54 - 1st) ,DEN 56.6%,486,43.4
16,6:38 - 1st) ,DEN 55.9%,502,44.1
17,6:07 - 1st) ,NYG 50.2%,533,50.2
18,5:23 - 1st) ,DEN 54.1%,577,45.9
19,4:48 - 1st) ,DEN 55.0%,612,45.0
20,4:39 - 1st) ,DEN 58.4%,621,41.6
21,4:34 - 1st) ,DEN 60.9%,626,39.1
22,3:55 - 1st) ,DEN 62.0%,665,38.0
23,3:21 - 1st) ,DEN 55.7%,699,44.3
24,3:10 - 1st) ,DEN 61.4%,710,38.6
25,2:36 - 1st) ,DEN 69.1%,744,30.900000000000006
26,1:50 - 1st) ,DEN 66.0%,790,34.0
27,1:43 - 1st) ,DEN 56.1%,797,43.9
28,1:02 - 1st) ,DEN 62.5%,838,37.5
29,0:53 - 1st) ,DEN 57.5%,847,42.5
30,0:08 - 1st) ,DEN 57.1%,892,42.9
31,15:00 - 2nd),DEN 59.2%,900,40.8
32,14:59 - 2nd),DEN 51.9%,901,48.1
33,14:28 - 2nd),NYG 58.0%,932,58.0
34,13:53 - 2nd),NYG 59.5%,967,59.5
35,13:12 - 2nd),NYG 57.4%,1008,57.4
36,12:30 - 2nd),NYG 61.2%,1050,61.2
37,12:00 - 2nd),NYG 61.6%,1080,61.6
38,11:27 - 2nd),NYG 59.9%,1113,59.9
39,10:56 - 2nd),NYG 64.6%,1144,64.6
40,10:15 - 2nd),NYG 64.4%,1185,64.4
41,9:59 - 2nd) ,NYG 57.5%,1201,57.5
42,9:54 - 2nd) ,NYG 62.0%,1206,62.0
43,9:24 - 2nd) ,NYG 62.3%,1236,62.3
44,9:21 - 2nd) ,NYG 68.0%,1239,68.0
45,9:12 - 2nd) ,NYG 70.0%,1248,70.0
46,8:49 - 2nd) ,NYG 68.7%,1271,68.7
47,8:03 - 2nd) ,NYG 67.4%,1317,67.4
48,7:44 - 2nd) ,NYG 66.0%,1336,66.0
49,7:27 - 2nd) ,NYG 67.7%,1353,67.7
50,7:06 - 2nd) ,NYG 62.6%,1374,62.6
