,raw_time,raw_win_pct,clean_time,GB_win_pct
0,14:27 - 1st),GB 50.2%,33,50.2
1,13:48 - 1st),MIN 55.2%,72,44.8
2,13:38 - 1st),MIN 52.4%,82,47.6
3,13:04 - 1st),MIN 55.5%,116,44.5
4,12:59 - 1st),MIN 52.4%,121,47.6
5,12:44 - 1st),MIN 57.0%,136,43.0
6,12:06 - 1st),MIN 58.5%,174,41.5
7,11:32 - 1st),MIN 54.3%,208,45.7
8,10:52 - 1st),MIN 53.5%,248,46.5
9,10:16 - 1st),TIE,284,50.0
10,10:10 - 1st),TIE,290,50.0
11,10:03 - 1st),GB 51.4%,297,51.4
12,9:25 - 1st) ,MIN 51.5%,335,48.5
13,8:44 - 1st) ,MIN 58.4%,376,41.6
14,8:01 - 1st) ,GB 52.9%,419,52.9
15,7:41 - 1st) ,GB 50.1%,439,50.1
16,7:04 - 1st) ,MIN 51.5%,476,48.5
17,6:57 - 1st) ,MIN 54.1%,483,45.9
18,6:17 - 1st) ,MIN 53.4%,523,46.6
19,6:11 - 1st) ,MIN 52.6%,529,47.4
20,5:37 - 1st) ,MIN 50.8%,563,49.2
21,5:31 - 1st) ,MIN 54.8%,569,45.2
22,5:12 - 1st) ,MIN 51.7%,588,48.3
23,5:06 - 1st) ,MIN 50.9%,594,49.1
24,4:37 - 1st) ,MIN 55.9%,623,44.1
25,4:31 - 1st) ,MIN 54.2%,629,45.8
26,4:07 - 1st) ,MIN 58.5%,653,41.5
27,3:40 - 1st) ,MIN 57.6%,680,42.4
28,3:05 - 1st) ,MIN 57.1%,715,42.9
29,2:32 - 1st) ,MIN 55.0%,748,45.0
30,2:30 - 1st) ,MIN 59.3%,750,40.7
31,1:49 - 1st) ,GB 50.1%,791,50.1
32,1:42 - 1st) ,GB 50.7%,798,50.7
33,1:02 - 1st) ,MIN 50.7%,838,49.3
34,0:12 - 1st) ,MIN 61.3%,888,38.7
35,0:00 - 1st) ,MIN 64.0%,900,36.0
36,14:53 - 2nd),MIN 71.9%,907,28.099999999999994
37,14:45 - 2nd),MIN 73.8%,915,26.200000000000003
38,14:06 - 2nd),MIN 73.9%,954,26.099999999999994
39,13:16 - 2nd),MIN 78.2%,1004,21.799999999999997
40,12:55 - 2nd),MIN 79.6%,1025,20.400000000000006
41,12:47 - 2nd),MIN 82.4%,1033,17.599999999999994
42,12:19 - 2nd),MIN 65.2%,1061,34.8
43,11:59 - 2nd),MIN 59.8%,1081,40.2
44,11:28 - 2nd),MIN 64.2%,1112,35.8
45,10:40 - 2nd),MIN 55.4%,1160,44.6
46,10:38 - 2nd),MIN 54.3%,1162,45.7
47,10:28 - 2nd),MIN 57.2%,1172,42.8
48,10:23 - 2nd),MIN 63.2%,1177,36.8
49,9:45 - 2nd) ,MIN 66.9%,1215,33.099999999999994
50,9:02 - 2nd) ,MIN 68.4%,1258,31.599999999999994
51,8:37 - 2nd) ,MIN 69.7%,1283,30.299999999999997
52,8:11 - 2nd) ,MIN 68.2%,1309,31.799999999999997
53,7:32 - 2nd) ,MIN 65.8%,1348,34.2
54,7:22 - 2nd) ,MIN 75.0%,1358,25.0
55,7:15 - 2nd) ,MIN 75.3%,1365,24.700000000000003
56,6:33 - 2nd) ,MIN 75.5%,1407,24.5
57,6:28 - 2nd) ,MIN 79.3%,1412,20.700000000000003
58,5:52 - 2nd) ,MIN 76.1%,1448,23.900000000000006
59,5:39 - 2nd) ,MIN 72.7%,1461,27.299999999999997
60,5:10 - 2nd) ,MIN 72.1%,1490,27.900000000000006
61,4:36 - 2nd) ,MIN 73.1%,1524,26.900000000000006
62,4:10 - 2nd) ,MIN 67.7%,1550,32.3
63,4:02 - 2nd) ,MIN 71.0%,1558,29.0
64,3:28 - 2nd) ,MIN 70.0%,1592,30.0
65,2:48 - 2nd) ,MIN 62.1%,1632,37.9
66,2:14 - 2nd) ,MIN 64.2%,1666,35.8
67,2:00 - 2nd) ,MIN 66.8%,1680,33.2
68,1:57 - 2nd) ,MIN 70.8%,1683,29.200000000000003
69,1:45 - 2nd) ,MIN 73.7%,1695,26.299999999999997
70,1:21 - 2nd) ,MIN 75.3%,1719,24.700000000000003
71,1:15 - 2nd) ,MIN 78.3%,1725,21.700000000000003
72,1:08 - 2nd) ,MIN 77.7%,1732,22.299999999999997
73,0:48 - 2nd) ,MIN 60.7%,1752,39.3
74,0:32 - 2nd) ,MIN 67.0%,1768,33.0
75,0:26 - 2nd) ,MIN 66.9%,1774,33.099999999999994
76,0:04 - 2nd) ,MIN 67.4%,1796,32.599999999999994
77,15:00 - 3rd),MIN 69.0%,1800,31.0
78,14:20 - 3rd),MIN 69.1%,1840,30.900000000000006
79,13:52 - 3rd),MIN 68.8%,1868,31.200000000000003
80,13:15 - 3rd),MIN 71.9%,1905,28.099999999999994
