,raw_time,raw_win_pct,clean_time,NE_win_pct
0,14:52 - 1st),NE 86.0%,8,86.0
1,14:44 - 1st),NE 81.6%,16,81.6
2,14:14 - 1st),NE 82.7%,46,82.7
3,13:36 - 1st),NE 83.4%,84,83.4
4,13:32 - 1st),NE 84.4%,88,84.4
5,12:53 - 1st),NE 79.4%,127,79.4
6,12:15 - 1st),NE 78.8%,165,78.8
7,11:45 - 1st),NE 78.8%,195,78.8
8,11:04 - 1st),NE 71.6%,236,71.6
9,10:19 - 1st),NE 71.5%,281,71.5
10,9:46 - 1st) ,NE 72.7%,314,72.7
11,9:08 - 1st) ,NE 71.4%,352,71.4
12,8:33 - 1st) ,NE 70.5%,387,70.5
13,7:51 - 1st) ,NE 68.9%,429,68.9
14,7:18 - 1st) ,NE 66.8%,462,66.8
15,7:14 - 1st) ,NE 72.6%,466,72.6
16,6:30 - 1st) ,NE 69.3%,510,69.3
17,5:50 - 1st) ,NE 67.0%,550,67.0
18,5:43 - 1st) ,NE 63.1%,557,63.1
19,5:31 - 1st) ,NE 67.3%,569,67.3
20,4:57 - 1st) ,NE 65.7%,603,65.7
21,4:11 - 1st) ,NE 69.4%,649,69.4
22,4:04 - 1st) ,NE 69.0%,656,69.0
23,3:55 - 1st) ,NE 70.9%,665,70.9
24,3:24 - 1st) ,NE 70.6%,696,70.6
25,2:47 - 1st) ,NE 69.5%,733,69.5
26,2:08 - 1st) ,NE 68.1%,772,68.1
27,1:27 - 1st) ,NE 62.0%,813,62.0
28,0:51 - 1st) ,NE 55.4%,849,55.4
29,0:09 - 1st) ,NE 53.3%,891,53.3
30,15:00 - 2nd),NE 52.7%,900,52.7
31,14:20 - 2nd),NE 51.1%,940,51.1
32,13:48 - 2nd),NE 57.1%,972,57.1
33,13:04 - 2nd),NYJ 51.8%,1016,48.2
34,12:18 - 2nd),NYJ 65.9%,1062,34.099999999999994
35,12:10 - 2nd),NYJ 66.7%,1070,33.3
36,11:28 - 2nd),NYJ 70.7%,1112,29.299999999999997
37,11:22 - 2nd),NYJ 71.5%,1118,28.5
38,11:15 - 2nd),NYJ 65.0%,1125,35.0
39,10:37 - 2nd),NYJ 70.6%,1163,29.400000000000006
40,10:31 - 2nd),NYJ 65.8%,1169,34.2
41,9:53 - 2nd) ,NYJ 69.1%,1207,30.900000000000006
42,9:43 - 2nd) ,NYJ 70.6%,1217,29.400000000000006
43,9:09 - 2nd) ,NYJ 64.4%,1251,35.599999999999994
44,8:37 - 2nd) ,NYJ 68.2%,1283,31.799999999999997
45,8:32 - 2nd) ,NYJ 68.6%,1288,31.400000000000006
46,7:50 - 2nd) ,NYJ 61.9%,1330,38.1
47,7:22 - 2nd) ,NYJ 59.0%,1358,41.0
48,6:47 - 2nd) ,NYJ 59.1%,1393,40.9
49,6:13 - 2nd) ,NYJ 61.1%,1427,38.9
50,5:30 - 2nd) ,NYJ 52.7%,1470,47.3
51,5:19 - 2nd) ,NYJ 51.9%,1481,48.1
52,5:13 - 2nd) ,NYJ 52.8%,1487,47.2
53,4:42 - 2nd) ,NYJ 51.3%,1518,48.7
54,4:01 - 2nd) ,NE 53.6%,1559,53.6
55,3:26 - 2nd) ,NE 51.8%,1594,51.8
56,3:17 - 2nd) ,NYJ 64.5%,1603,35.5
57,3:13 - 2nd) ,NYJ 52.9%,1607,47.1
58,3:02 - 2nd) ,NYJ 55.7%,1618,44.3
59,2:32 - 2nd) ,NYJ 53.1%,1648,46.9
60,2:00 - 2nd) ,NE 53.8%,1680,53.8
61,1:49 - 2nd) ,NE 53.7%,1691,53.7
62,1:38 - 2nd) ,NE 59.2%,1702,59.2
63,1:15 - 2nd) ,NE 59.2%,1725,59.2
64,1:11 - 2nd) ,NYJ 88.1%,1729,11.900000000000006
65,1:02 - 2nd) ,NE 55.3%,1738,55.3
66,0:53 - 2nd) ,NYJ 59.5%,1747,40.5
67,0:46 - 2nd) ,NYJ 57.8%,1754,42.2
68,0:35 - 2nd) ,NYJ 63.3%,1765,36.7
69,0:26 - 2nd) ,NE 55.3%,1774,55.3
70,0:12 - 2nd) ,NYJ 52.7%,1788,47.3
71,0:09 - 2nd) ,NE 71.2%,1791,71.2
72,15:00 - 3rd),NE 75.7%,1800,75.7
73,14:31 - 3rd),NE 74.4%,1829,74.4
74,13:55 - 3rd),NE 75.7%,1865,75.7
75,13:21 - 3rd),NE 69.9%,1899,69.9
76,12:51 - 3rd),NE 68.4%,1929,68.4
77,12:45 - 3rd),NE 77.0%,1935,77.0
78,12:09 - 3rd),NE 74.1%,1971,74.1
