,raw_time,raw_win_pct,clean_time,IND_win_pct
0,14:52 - 1st),TEN 85.0%,8,15.0
1,14:18 - 1st),TEN 86.3%,42,13.700000000000003
2,13:40 - 1st),TEN 85.0%,80,15.0
3,12:59 - 1st),TEN 84.9%,121,15.099999999999994
4,12:18 - 1st),TEN 86.5%,162,13.5
5,12:13 - 1st),TEN 85.9%,167,14.099999999999994
6,11:31 - 1st),TEN 84.9%,209,15.099999999999994
7,11:26 - 1st),TEN 83.1%,214,16.900000000000006
8,11:15 - 1st),TEN 83.8%,225,16.200000000000003
9,11:06 - 1st),TEN 82.6%,234,17.400000000000006
10,10:27 - 1st),TEN 80.8%,273,19.200000000000003
11,9:43 - 1st) ,TEN 79.3%,317,20.700000000000003
12,9:01 - 1st) ,TEN 80.8%,359,19.200000000000003
13,8:55 - 1st) ,TEN 77.2%,365,22.799999999999997
14,8:25 - 1st) ,TEN 80.9%,395,19.099999999999994
15,7:40 - 1st) ,TEN 80.6%,440,19.400000000000006
16,6:55 - 1st) ,TEN 82.1%,485,17.900000000000006
17,6:45 - 1st) ,TEN 78.9%,495,21.099999999999994
18,6:05 - 1st) ,TEN 79.0%,535,21.0
19,5:21 - 1st) ,TEN 81.7%,579,18.299999999999997
20,4:52 - 1st) ,TEN 84.2%,608,15.799999999999997
21,4:24 - 1st) ,TEN 81.7%,636,18.299999999999997
22,3:43 - 1st) ,TEN 81.0%,677,19.0
23,3:02 - 1st) ,TEN 85.9%,718,14.099999999999994
24,2:16 - 1st) ,TEN 85.1%,764,14.900000000000006
25,1:39 - 1st) ,TEN 84.1%,801,15.900000000000006
26,0:57 - 1st) ,TEN 81.1%,843,18.900000000000006
27,0:47 - 1st) ,TEN 81.0%,853,19.0
28,0:39 - 1st) ,TEN 79.5%,861,20.5
29,15:00 - 2nd),TEN 81.2%,900,18.799999999999997
30,14:54 - 2nd),TEN 78.0%,906,22.0
31,14:18 - 2nd),TEN 79.9%,942,20.099999999999994
32,13:36 - 2nd),TEN 78.6%,984,21.400000000000006
33,13:00 - 2nd),TEN 73.5%,1020,26.5
34,12:28 - 2nd),TEN 72.3%,1052,27.700000000000003
35,11:43 - 2nd),TEN 72.5%,1097,27.5
36,10:54 - 2nd),TEN 63.8%,1146,36.2
37,10:47 - 2nd),TEN 60.7%,1153,39.3
38,10:08 - 2nd),TEN 62.6%,1192,37.4
39,9:25 - 2nd) ,TEN 65.4%,1235,34.599999999999994
40,8:49 - 2nd) ,TEN 67.9%,1271,32.099999999999994
41,8:05 - 2nd) ,TEN 59.1%,1315,40.9
42,7:30 - 2nd) ,TEN 68.8%,1350,31.200000000000003
43,6:46 - 2nd) ,TEN 69.1%,1394,30.900000000000006
44,6:08 - 2nd) ,TEN 70.5%,1432,29.5
45,5:33 - 2nd) ,TEN 67.6%,1467,32.400000000000006
46,5:28 - 2nd) ,TEN 71.3%,1472,28.700000000000003
47,4:47 - 2nd) ,TEN 64.3%,1513,35.7
48,4:15 - 2nd) ,TEN 62.6%,1545,37.4
49,4:10 - 2nd) ,TEN 63.3%,1550,36.7
50,3:34 - 2nd) ,TEN 65.4%,1586,34.599999999999994
51,2:53 - 2nd) ,TEN 62.3%,1627,37.7
52,2:06 - 2nd) ,TEN 58.3%,1674,41.7
53,1:59 - 2nd) ,TEN 59.4%,1681,40.6
54,1:38 - 2nd) ,TEN 55.0%,1702,45.0
55,1:34 - 2nd) ,TEN 52.8%,1706,47.2
56,1:05 - 2nd) ,TEN 67.8%,1735,32.2
57,0:35 - 2nd) ,TIE,1765,50.0
58,0:28 - 2nd) ,TEN 52.3%,1772,47.7
59,0:14 - 2nd) ,TEN 52.4%,1786,47.6
60,15:00 - 3rd),TEN 50.5%,1800,49.5
61,14:20 - 3rd),TEN 54.4%,1840,45.6
62,14:17 - 3rd),TEN 57.9%,1843,42.1
63,14:12 - 3rd),TEN 56.7%,1848,43.3
64,13:50 - 3rd),IND 67.4%,1870,67.4
65,13:05 - 3rd),IND 70.0%,1915,70.0
66,12:23 - 3rd),IND 62.7%,1957,62.7
67,11:43 - 3rd),IND 60.3%,1997,60.3
68,11:13 - 3rd),IND 63.3%,2027,63.3
69,10:36 - 3rd),IND 61.9%,2064,61.9
70,9:51 - 3rd) ,IND 67.1%,2109,67.1
71,9:43 - 3rd) ,IND 61.8%,2117,61.8
72,9:34 - 3rd) ,IND 59.7%,2126,59.7
73,8:49 - 3rd) ,IND 56.5%,2171,56.5
74,8:44 - 3rd) ,IND 58.7%,2176,58.7
75,8:34 - 3rd) ,IND 57.8%,2186,57.8
76,7:53 - 3rd) ,IND 60.8%,2227,60.8
77,7:47 - 3rd) ,IND 66.7%,2233,66.7
78,7:41 - 3rd) ,IND 65.0%,2239,65.0
79,7:34 - 3rd) ,IND 63.7%,2246,63.7
80,6:50 - 3rd) ,IND 51.9%,2290,51.9
81,6:38 - 3rd) ,TEN 56.8%,2302,43.2
82,6:01 - 3rd) ,TEN 56.3%,2339,43.7
83,5:26 - 3rd) ,TEN 50.2%,2374,49.8
84,4:45 - 3rd) ,IND 56.9%,2415,56.9
85,4:35 - 3rd) ,IND 56.5%,2425,56.5
86,4:30 - 3rd) ,TEN 60.7%,2430,39.3
87,3:47 - 3rd) ,IND 54.8%,2473,54.8
88,3:35 - 3rd) ,IND 56.6%,2485,56.6
89,3:25 - 3rd) ,IND 57.5%,2495,57.5
90,3:03 - 3rd) ,TEN 50.2%,2517,49.8
