,raw_time,raw_win_pct,clean_time,SF_win_pct
0,14:23 - 1st),WSH 89.2%,37,10.799999999999997
1,13:44 - 1st),WSH 90.1%,76,9.900000000000006
2,12:57 - 1st),WSH 90.4%,123,9.599999999999994
3,12:21 - 1st),WSH 90.5%,159,9.5
4,11:37 - 1st),WSH 91.3%,203,8.700000000000003
5,10:59 - 1st),WSH 86.2%,241,13.799999999999997
6,10:14 - 1st),WSH 92.2%,286,7.799999999999997
7,9:37 - 1st) ,WSH 92.6%,323,7.400000000000006
8,9:20 - 1st) ,WSH 93.6%,340,6.400000000000006
9,9:16 - 1st) ,WSH 92.4%,344,7.599999999999994
10,8:40 - 1st) ,WSH 92.7%,380,7.299999999999997
11,8:36 - 1st) ,WSH 93.2%,384,6.799999999999997
12,7:58 - 1st) ,WSH 93.0%,422,7.0
13,7:51 - 1st) ,WSH 92.5%,429,7.5
14,7:05 - 1st) ,WSH 91.9%,475,8.099999999999994
15,7:00 - 1st) ,WSH 90.7%,480,9.299999999999997
16,6:47 - 1st) ,WSH 91.6%,493,8.400000000000006
17,6:23 - 1st) ,WSH 92.1%,517,7.900000000000006
18,6:19 - 1st) ,WSH 93.4%,521,6.599999999999994
19,5:42 - 1st) ,WSH 93.2%,558,6.799999999999997
20,5:30 - 1st) ,WSH 93.1%,570,6.900000000000006
21,4:53 - 1st) ,WSH 93.5%,607,6.5
22,4:14 - 1st) ,WSH 92.5%,646,7.5
23,3:31 - 1st) ,WSH 93.3%,689,6.700000000000003
24,2:47 - 1st) ,WSH 90.9%,733,9.099999999999994
25,2:00 - 1st) ,WSH 91.2%,780,8.799999999999997
26,1:44 - 1st) ,WSH 95.4%,796,4.599999999999994
27,1:13 - 1st) ,WSH 94.8%,827,5.200000000000003
28,0:39 - 1st) ,WSH 92.7%,861,7.299999999999997
29,0:33 - 1st) ,WSH 93.2%,867,6.799999999999997
30,15:00 - 2nd),WSH 93.5%,900,6.5
31,14:23 - 2nd),WSH 93.5%,937,6.5
32,13:47 - 2nd),WSH 91.2%,973,8.799999999999997
33,13:06 - 2nd),WSH 91.7%,1014,8.299999999999997
34,12:22 - 2nd),WSH 94.0%,1058,6.0
35,11:36 - 2nd),WSH 94.4%,1104,5.599999999999994
36,11:27 - 2nd),WSH 94.8%,1113,5.200000000000003
37,10:43 - 2nd),WSH 95.1%,1157,4.900000000000006
38,9:59 - 2nd) ,WSH 94.6%,1201,5.400000000000006
39,9:54 - 2nd) ,WSH 94.4%,1206,5.599999999999994
40,9:47 - 2nd) ,WSH 96.0%,1213,4.0
41,9:34 - 2nd) ,WSH 94.6%,1226,5.400000000000006
42,9:06 - 2nd) ,WSH 97.2%,1254,2.799999999999997
43,9:01 - 2nd) ,WSH 96.1%,1259,3.9000000000000057
44,8:56 - 2nd) ,WSH 96.3%,1264,3.700000000000003
45,8:38 - 2nd) ,WSH 96.7%,1282,3.299999999999997
46,7:53 - 2nd) ,WSH 95.9%,1327,4.099999999999994
47,6:53 - 2nd) ,WSH 95.5%,1387,4.5
48,6:39 - 2nd) ,WSH 95.1%,1401,4.900000000000006
49,6:02 - 2nd) ,WSH 94.5%,1438,5.5
50,5:37 - 2nd) ,WSH 95.2%,1463,4.799999999999997
51,5:32 - 2nd) ,WSH 95.6%,1468,4.400000000000006
52,5:23 - 2nd) ,WSH 96.0%,1477,4.0
53,5:15 - 2nd) ,WSH 96.3%,1485,3.700000000000003
54,4:36 - 2nd) ,WSH 96.6%,1524,3.4000000000000057
55,3:56 - 2nd) ,WSH 95.1%,1564,4.900000000000006
56,3:46 - 2nd) ,WSH 97.5%,1574,2.5
57,2:53 - 2nd) ,WSH 96.7%,1627,3.299999999999997
58,2:15 - 2nd) ,WSH 96.6%,1665,3.4000000000000057
59,2:00 - 2nd) ,WSH 96.4%,1680,3.5999999999999943
60,1:46 - 2nd) ,WSH 97.2%,1694,2.799999999999997
61,1:27 - 2nd) ,WSH 96.1%,1713,3.9000000000000057
62,1:05 - 2nd) ,WSH 95.8%,1735,4.200000000000003
63,0:54 - 2nd) ,WSH 96.0%,1746,4.0
64,0:48 - 2nd) ,WSH 96.4%,1752,3.5999999999999943
65,0:34 - 2nd) ,WSH 95.8%,1766,4.200000000000003
66,0:29 - 2nd) ,WSH 96.3%,1771,3.700000000000003
67,0:03 - 2nd) ,WSH 96.3%,1797,3.700000000000003
68,15:00 - 3rd),WSH 91.5%,1800,8.5
69,14:26 - 3rd),WSH 93.3%,1834,6.700000000000003
70,13:49 - 3rd),WSH 91.3%,1871,8.700000000000003
71,13:24 - 3rd),WSH 89.9%,1896,10.099999999999994
72,12:59 - 3rd),WSH 90.5%,1921,9.5
73,12:21 - 3rd),WSH 90.3%,1959,9.700000000000003
74,11:53 - 3rd),WSH 89.2%,1987,10.799999999999997
75,11:41 - 3rd),WSH 88.2%,1999,11.799999999999997
76,11:17 - 3rd),WSH 92.0%,2023,8.0
77,10:30 - 3rd),WSH 90.7%,2070,9.299999999999997
78,9:51 - 3rd) ,WSH 91.4%,2109,8.599999999999994
79,9:41 - 3rd) ,WSH 88.4%,2119,11.599999999999994
80,9:07 - 3rd) ,WSH 87.7%,2153,12.299999999999997
81,9:03 - 3rd) ,WSH 90.2%,2157,9.799999999999997
82,8:32 - 3rd) ,WSH 89.7%,2188,10.299999999999997
83,7:57 - 3rd) ,WSH 88.8%,2223,11.200000000000003
84,7:48 - 3rd) ,WSH 83.5%,2232,16.5
85,7:12 - 3rd) ,WSH 84.1%,2268,15.900000000000006
86,6:38 - 3rd) ,WSH 82.8%,2302,17.200000000000003
87,5:54 - 3rd) ,WSH 81.0%,2346,19.0
88,5:23 - 3rd) ,WSH 80.9%,2377,19.099999999999994
89,4:47 - 3rd) ,WSH 79.8%,2413,20.200000000000003
90,4:08 - 3rd) ,WSH 84.0%,2452,16.0
91,3:22 - 3rd) ,WSH 83.7%,2498,16.299999999999997
92,3:01 - 3rd) ,WSH 71.9%,2519,28.099999999999994
93,1:41 - 3rd) ,WSH 67.0%,2599,33.0
94,1:13 - 3rd) ,WSH 64.9%,2627,35.099999999999994
95,1:08 - 3rd) ,WSH 70.3%,2632,29.700000000000003
