,raw_time,raw_win_pct,clean_time,TB_win_pct
0,14:18 - 1st),BUF 54.6%,42,45.4
1,13:45 - 1st),BUF 52.8%,75,47.2
2,13:16 - 1st),BUF 55.9%,104,44.1
3,12:47 - 1st),BUF 57.6%,133,42.4
4,12:39 - 1st),BUF 50.9%,141,49.1
5,12:02 - 1st),TB 51.1%,178,51.1
6,11:29 - 1st),BUF 51.3%,211,48.7
7,10:59 - 1st),BUF 59.7%,241,40.3
8,10:29 - 1st),TIE,271,50.0
9,9:44 - 1st) ,BUF 50.8%,316,49.2
10,9:38 - 1st) ,BUF 51.4%,322,48.6
11,9:04 - 1st) ,BUF 55.9%,356,44.1
12,8:31 - 1st) ,BUF 59.7%,389,40.3
13,7:55 - 1st) ,BUF 55.5%,425,44.5
14,7:47 - 1st) ,BUF 65.3%,433,34.7
15,7:03 - 1st) ,BUF 62.6%,477,37.4
16,6:32 - 1st) ,BUF 60.5%,508,39.5
17,5:52 - 1st) ,BUF 56.3%,548,43.7
18,5:45 - 1st) ,BUF 53.8%,555,46.2
19,5:13 - 1st) ,BUF 54.3%,587,45.7
20,4:35 - 1st) ,BUF 51.7%,625,48.3
21,4:10 - 1st) ,BUF 53.1%,650,46.9
22,3:38 - 1st) ,TB 51.7%,682,51.7
23,2:56 - 1st) ,BUF 50.6%,724,49.4
24,2:20 - 1st) ,TB 57.2%,760,57.2
25,1:53 - 1st) ,TB 51.6%,787,51.6
26,1:12 - 1st) ,TB 52.6%,828,52.6
27,0:30 - 1st) ,BUF 51.7%,870,48.3
28,0:16 - 1st) ,BUF 50.9%,884,49.1
29,15:00 - 2nd),BUF 52.0%,900,48.0
30,14:27 - 2nd),BUF 56.7%,933,43.3
31,14:01 - 2nd),TB 50.1%,959,50.1
32,13:23 - 2nd),BUF 51.6%,997,48.4
33,12:50 - 2nd),BUF 59.1%,1030,40.9
34,12:27 - 2nd),BUF 62.7%,1053,37.3
35,11:48 - 2nd),BUF 58.6%,1092,41.4
36,11:14 - 2nd),BUF 59.9%,1126,40.1
37,10:36 - 2nd),BUF 64.8%,1164,35.2
38,9:59 - 2nd) ,BUF 65.0%,1201,35.0
39,9:29 - 2nd) ,BUF 63.8%,1231,36.2
40,9:26 - 2nd) ,BUF 64.8%,1234,35.2
41,8:55 - 2nd) ,BUF 64.7%,1265,35.3
42,8:26 - 2nd) ,BUF 66.1%,1294,33.900000000000006
43,7:49 - 2nd) ,BUF 62.4%,1331,37.6
44,7:20 - 2nd) ,BUF 58.9%,1360,41.1
45,6:44 - 2nd) ,BUF 61.7%,1396,38.3
46,6:36 - 2nd) ,BUF 61.1%,1404,38.9
47,6:26 - 2nd) ,BUF 71.2%,1414,28.799999999999997
48,6:18 - 2nd) ,BUF 71.8%,1422,28.200000000000003
49,5:46 - 2nd) ,BUF 78.9%,1454,21.099999999999994
50,5:02 - 2nd) ,BUF 77.0%,1498,23.0
51,4:25 - 2nd) ,BUF 75.9%,1535,24.099999999999994
52,4:19 - 2nd) ,BUF 75.3%,1541,24.700000000000003
53,4:12 - 2nd) ,BUF 65.1%,1548,34.900000000000006
54,4:07 - 2nd) ,BUF 63.0%,1553,37.0
55,3:39 - 2nd) ,BUF 66.3%,1581,33.7
56,3:35 - 2nd) ,BUF 65.5%,1585,34.5
57,3:00 - 2nd) ,BUF 59.8%,1620,40.2
58,2:29 - 2nd) ,BUF 62.2%,1651,37.8
59,2:00 - 2nd) ,BUF 64.8%,1680,35.2
60,1:56 - 2nd) ,BUF 69.8%,1684,30.200000000000003
61,1:51 - 2nd) ,BUF 71.1%,1689,28.900000000000006
62,1:43 - 2nd) ,BUF 68.5%,1697,31.5
63,1:24 - 2nd) ,BUF 68.9%,1716,31.099999999999994
64,1:22 - 2nd) ,BUF 72.1%,1718,27.900000000000006
65,1:14 - 2nd) ,BUF 69.7%,1726,30.299999999999997
66,1:01 - 2nd) ,BUF 67.1%,1739,32.900000000000006
67,0:52 - 2nd) ,BUF 68.9%,1748,31.099999999999994
68,0:45 - 2nd) ,BUF 68.2%,1755,31.799999999999997
69,0:33 - 2nd) ,BUF 69.5%,1767,30.5
70,0:23 - 2nd) ,BUF 78.0%,1777,22.0
71,0:22 - 2nd) ,BUF 80.3%,1778,19.700000000000003
72,0:11 - 2nd) ,BUF 78.7%,1789,21.299999999999997
73,15:00 - 3rd),BUF 76.1%,1800,23.900000000000006
74,14:24 - 3rd),BUF 70.8%,1836,29.200000000000003
75,13:53 - 3rd),BUF 75.8%,1867,24.200000000000003
76,13:21 - 3rd),BUF 72.7%,1899,27.299999999999997
77,13:13 - 3rd),BUF 78.4%,1907,21.599999999999994
78,12:25 - 3rd),BUF 79.6%,1955,20.400000000000006
79,11:50 - 3rd),BUF 78.3%,1990,21.700000000000003
80,11:36 - 3rd),BUF 87.2%,2004,12.799999999999997
81,10:54 - 3rd),BUF 87.6%,2046,12.400000000000006
82,10:28 - 3rd),BUF 84.4%,2072,15.599999999999994
83,10:05 - 3rd),BUF 84.9%,2095,15.099999999999994
84,9:25 - 3rd) ,BUF 81.4%,2135,18.599999999999994
85,8:44 - 3rd) ,BUF 82.2%,2176,17.799999999999997
86,7:57 - 3rd) ,BUF 76.4%,2223,23.599999999999994
87,7:11 - 3rd) ,BUF 68.2%,2269,31.799999999999997
88,6:40 - 3rd) ,BUF 63.8%,2300,36.2
89,6:37 - 3rd) ,BUF 61.9%,2303,38.1
90,6:04 - 3rd) ,BUF 60.4%,2336,39.6
91,5:28 - 3rd) ,BUF 68.8%,2372,31.200000000000003
92,5:15 - 3rd) ,BUF 65.7%,2385,34.3
93,4:32 - 3rd) ,BUF 60.2%,2428,39.8
94,4:00 - 3rd) ,BUF 64.2%,2460,35.8
