,raw_time,raw_win_pct,clean_time,KC_win_pct
0,14:52 - 1st),KC 57.0%,8,57.0
1,14:19 - 1st),KC 58.5%,41,58.5
2,13:36 - 1st),KC 59.6%,84,59.6
3,12:57 - 1st),KC 56.0%,123,56.0
4,12:20 - 1st),KC 52.0%,160,52.0
5,11:38 - 1st),KC 50.4%,202,50.4
6,11:05 - 1st),KC 61.3%,235,61.3
7,10:24 - 1st),KC 59.7%,276,59.7
8,10:19 - 1st),KC 56.4%,281,56.4
9,10:14 - 1st),KC 60.0%,286,60.0
10,9:55 - 1st) ,KC 58.3%,305,58.3
11,9:29 - 1st) ,KC 61.1%,331,61.1
12,8:33 - 1st) ,KC 54.5%,387,54.5
13,8:11 - 1st) ,OAK 59.4%,409,40.6
14,8:06 - 1st) ,OAK 55.2%,414,44.8
15,7:54 - 1st) ,OAK 55.0%,426,45.0
16,7:11 - 1st) ,KC 51.1%,469,51.1
17,6:35 - 1st) ,OAK 53.5%,505,46.5
18,5:49 - 1st) ,OAK 63.0%,551,37.0
19,5:20 - 1st) ,KC 53.9%,580,53.9
20,4:52 - 1st) ,OAK 58.1%,608,41.9
21,4:17 - 1st) ,KC 58.3%,643,58.3
22,4:05 - 1st) ,KC 61.9%,655,61.9
23,3:35 - 1st) ,KC 58.9%,685,58.9
24,3:30 - 1st) ,KC 57.5%,690,57.5
25,2:58 - 1st) ,KC 61.4%,722,61.4
26,2:23 - 1st) ,KC 59.0%,757,59.0
27,1:49 - 1st) ,KC 55.5%,791,55.5
28,1:14 - 1st) ,KC 57.5%,826,57.5
29,0:40 - 1st) ,OAK 55.4%,860,44.6
30,0:34 - 1st) ,OAK 58.9%,866,41.1
31,0:24 - 1st) ,OAK 58.2%,876,41.8
32,0:00 - 1st) ,OAK 58.3%,900,41.7
33,14:48 - 2nd),OAK 60.7%,912,39.3
34,14:45 - 2nd),KC 54.5%,915,54.5
35,14:31 - 2nd),OAK 57.0%,929,43.0
36,14:07 - 2nd),OAK 62.3%,953,37.7
37,13:58 - 2nd),OAK 58.8%,962,41.2
