,raw_time,raw_win_pct,clean_time,KC_win_pct
0,14:27 - 1st),KC 61.4%,33,61.4
1,13:52 - 1st),KC 59.8%,68,59.8
2,13:15 - 1st),KC 64.6%,105,64.6
3,12:36 - 1st),KC 63.1%,144,63.1
4,12:30 - 1st),KC 66.1%,150,66.1
5,11:54 - 1st),KC 64.6%,186,64.6
6,11:11 - 1st),KC 63.3%,229,63.3
7,10:28 - 1st),KC 70.2%,272,70.2
8,9:47 - 1st) ,KC 66.7%,313,66.7
9,9:37 - 1st) ,KC 72.4%,323,72.4
10,9:16 - 1st) ,KC 74.0%,344,74.0
11,8:36 - 1st) ,KC 76.1%,384,76.1
12,8:01 - 1st) ,KC 74.2%,419,74.2
13,7:43 - 1st) ,KC 73.2%,437,73.2
14,7:07 - 1st) ,KC 76.0%,473,76.0
15,7:01 - 1st) ,KC 78.7%,479,78.7
16,6:25 - 1st) ,KC 78.8%,515,78.8
17,5:45 - 1st) ,KC 80.7%,555,80.7
18,5:03 - 1st) ,KC 80.1%,597,80.1
19,4:25 - 1st) ,KC 82.5%,635,82.5
20,4:03 - 1st) ,KC 84.5%,657,84.5
21,3:20 - 1st) ,KC 86.4%,700,86.4
22,2:44 - 1st) ,KC 84.6%,736,84.6
23,2:06 - 1st) ,KC 85.7%,774,85.7
24,2:02 - 1st) ,KC 84.2%,778,84.2
25,1:22 - 1st) ,KC 83.7%,818,83.7
26,0:45 - 1st) ,KC 85.6%,855,85.6
27,0:04 - 1st) ,KC 84.1%,896,84.1
28,15:00 - 2nd),KC 82.9%,900,82.9
29,14:27 - 2nd),KC 80.6%,933,80.6
30,13:52 - 2nd),KC 75.8%,968,75.8
31,13:05 - 2nd),KC 75.7%,1015,75.7
32,12:25 - 2nd),KC 77.0%,1055,77.0
33,11:47 - 2nd),KC 77.5%,1093,77.5
34,11:07 - 2nd),KC 76.6%,1133,76.6
35,10:34 - 2nd),KC 80.4%,1166,80.4
36,10:20 - 2nd),KC 82.7%,1180,82.7
37,9:48 - 2nd) ,KC 82.9%,1212,82.9
38,9:01 - 2nd) ,KC 81.5%,1259,81.5
39,8:16 - 2nd) ,KC 80.3%,1304,80.3
40,8:10 - 2nd) ,KC 78.6%,1310,78.6
41,7:32 - 2nd) ,KC 86.0%,1348,86.0
42,6:58 - 2nd) ,KC 86.4%,1382,86.4
43,6:18 - 2nd) ,KC 87.6%,1422,87.6
44,6:14 - 2nd) ,KC 87.2%,1426,87.2
45,6:03 - 2nd) ,KC 87.6%,1437,87.6
46,5:21 - 2nd) ,KC 87.9%,1479,87.9
47,4:35 - 2nd) ,KC 87.0%,1525,87.0
48,3:58 - 2nd) ,KC 86.8%,1562,86.8
49,3:15 - 2nd) ,KC 85.7%,1605,85.7
50,3:11 - 2nd) ,KC 86.1%,1609,86.1
51,3:03 - 2nd) ,KC 86.6%,1617,86.6
52,2:29 - 2nd) ,KC 83.0%,1651,83.0
53,2:00 - 2nd) ,KC 85.0%,1680,85.0
54,1:28 - 2nd) ,KC 85.0%,1712,85.0
55,1:23 - 2nd) ,KC 87.4%,1717,87.4
56,1:17 - 2nd) ,KC 87.1%,1723,87.1
57,1:05 - 2nd) ,KC 82.3%,1735,82.3
58,0:53 - 2nd) ,KC 81.6%,1747,81.6
59,0:46 - 2nd) ,KC 84.6%,1754,84.6
60,0:35 - 2nd) ,KC 88.4%,1765,88.4
61,0:27 - 2nd) ,KC 87.7%,1773,87.7
62,0:14 - 2nd) ,KC 89.0%,1786,89.0
63,0:11 - 2nd) ,KC 88.5%,1789,88.5
64,15:00 - 3rd),KC 90.9%,1800,90.9
65,14:53 - 3rd),KC 93.3%,1807,93.3
66,14:19 - 3rd),KC 92.6%,1841,92.6
67,13:57 - 3rd),KC 92.0%,1863,92.0
68,13:43 - 3rd),KC 93.3%,1877,93.3
69,13:36 - 3rd),KC 93.4%,1884,93.4
70,13:03 - 3rd),KC 94.1%,1917,94.1
71,12:19 - 3rd),KC 93.6%,1961,93.6
72,12:07 - 3rd),KC 95.3%,1973,95.3
73,11:28 - 3rd),KC 95.1%,2012,95.1
74,10:51 - 3rd),KC 97.0%,2049,97.0
75,10:07 - 3rd),KC 97.8%,2093,97.8
76,9:55 - 3rd) ,KC 98.5%,2105,98.5
77,9:48 - 3rd) ,KC 98.6%,2112,98.6
78,9:10 - 3rd) ,KC 98.9%,2150,98.9
79,9:04 - 3rd) ,KC 99.0%,2156,99.0
80,8:49 - 3rd) ,KC 98.9%,2171,98.9
81,8:10 - 3rd) ,KC 98.9%,2210,98.9
82,8:05 - 3rd) ,KC 99.2%,2215,99.2
