,raw_time,raw_win_pct,clean_time,NO_win_pct
0,14:19 - 1st),NO 71.2%,41,71.2
1,13:45 - 1st),NO 72.0%,75,72.0
2,13:41 - 1st),NO 68.7%,79,68.7
3,12:57 - 1st),NO 69.8%,123,69.8
4,12:18 - 1st),NO 66.3%,162,66.3
5,11:37 - 1st),NO 68.6%,203,68.6
6,11:24 - 1st),NO 68.3%,216,68.3
7,10:54 - 1st),NO 70.1%,246,70.1
8,10:40 - 1st),NO 66.6%,260,66.6
9,10:35 - 1st),NO 65.0%,265,65.0
10,10:10 - 1st),NO 64.4%,290,64.4
11,9:28 - 1st) ,NO 62.2%,332,62.2
12,9:13 - 1st) ,NO 65.0%,347,65.0
13,8:35 - 1st) ,NO 65.4%,385,65.4
14,8:34 - 1st) ,NO 66.6%,386,66.6
15,7:53 - 1st) ,NO 65.0%,427,65.0
16,7:46 - 1st) ,NO 65.0%,434,65.0
17,7:12 - 1st) ,NO 63.2%,468,63.2
18,6:33 - 1st) ,NO 74.3%,507,74.3
19,5:55 - 1st) ,NO 71.2%,545,71.2
20,5:44 - 1st) ,NO 82.6%,556,82.6
21,5:29 - 1st) ,NO 80.9%,571,80.9
22,5:28 - 1st) ,NO 80.3%,572,80.3
23,4:52 - 1st) ,NO 83.8%,608,83.8
24,4:16 - 1st) ,NO 82.7%,644,82.7
25,3:35 - 1st) ,NO 82.1%,685,82.1
26,2:51 - 1st) ,NO 80.8%,729,80.8
27,2:42 - 1st) ,NO 73.5%,738,73.5
28,1:37 - 1st) ,NO 72.6%,803,72.6
29,0:55 - 1st) ,NO 73.9%,845,73.9
30,0:13 - 1st) ,NO 73.8%,887,73.8
31,15:00 - 2nd),NO 70.8%,900,70.8
32,14:22 - 2nd),NO 71.0%,938,71.0
33,13:41 - 2nd),NO 67.5%,979,67.5
34,12:59 - 2nd),NO 65.0%,1021,65.0
35,12:12 - 2nd),NO 60.3%,1068,60.3
36,11:37 - 2nd),NO 58.5%,1103,58.5
37,11:02 - 2nd),NO 56.4%,1138,56.4
38,10:15 - 2nd),NO 58.3%,1185,58.3
39,9:32 - 2nd) ,NO 55.2%,1228,55.2
40,8:48 - 2nd) ,NO 57.1%,1272,57.1
41,8:42 - 2nd) ,NO 57.6%,1278,57.6
42,8:13 - 2nd) ,NO 58.0%,1307,58.0
43,7:33 - 2nd) ,NO 59.1%,1347,59.1
44,6:57 - 2nd) ,NO 58.6%,1383,58.6
45,6:45 - 2nd) ,NO 57.2%,1395,57.2
46,6:12 - 2nd) ,NO 59.7%,1428,59.7
47,5:47 - 2nd) ,NO 56.4%,1453,56.4
48,5:10 - 2nd) ,NO 56.4%,1490,56.4
49,4:40 - 2nd) ,NO 53.3%,1520,53.3
50,3:48 - 2nd) ,NO 54.7%,1572,54.7
51,3:47 - 2nd) ,NO 51.2%,1573,51.2
52,3:18 - 2nd) ,NO 52.3%,1602,52.3
53,2:35 - 2nd) ,ATL 53.5%,1645,46.5
54,2:00 - 2nd) ,ATL 52.5%,1680,47.5
55,1:22 - 2nd) ,ATL 53.8%,1718,46.2
56,1:14 - 2nd) ,NO 50.3%,1726,50.3
57,1:06 - 2nd) ,ATL 54.6%,1734,45.4
58,0:49 - 2nd) ,ATL 56.1%,1751,43.9
59,0:43 - 2nd) ,ATL 59.7%,1757,40.3
60,0:35 - 2nd) ,ATL 58.4%,1765,41.6
61,0:23 - 2nd) ,ATL 64.1%,1777,35.900000000000006
62,0:15 - 2nd) ,ATL 65.2%,1785,34.8
63,0:03 - 2nd) ,ATL 66.4%,1797,33.599999999999994
64,15:00 - 3rd),ATL 65.9%,1800,34.099999999999994
65,14:26 - 3rd),ATL 67.2%,1834,32.8
66,13:46 - 3rd),ATL 65.3%,1874,34.7
67,13:10 - 3rd),ATL 65.5%,1910,34.5
68,12:37 - 3rd),ATL 63.1%,1943,36.9
69,11:58 - 3rd),ATL 63.6%,1982,36.4
70,11:23 - 3rd),ATL 62.0%,2017,38.0
71,10:47 - 3rd),ATL 64.4%,2053,35.599999999999994
72,10:42 - 3rd),ATL 68.9%,2058,31.099999999999994
73,10:01 - 3rd),ATL 67.6%,2099,32.400000000000006
74,9:15 - 3rd) ,ATL 64.5%,2145,35.5
75,9:14 - 3rd) ,ATL 65.8%,2146,34.2
76,8:45 - 3rd) ,ATL 69.3%,2175,30.700000000000003
77,8:09 - 3rd) ,ATL 68.9%,2211,31.099999999999994
78,7:35 - 3rd) ,ATL 72.4%,2245,27.599999999999994
79,6:58 - 3rd) ,ATL 82.9%,2282,17.099999999999994
80,6:49 - 3rd) ,ATL 82.9%,2291,17.099999999999994
81,6:08 - 3rd) ,ATL 83.4%,2332,16.599999999999994
82,5:28 - 3rd) ,ATL 86.1%,2372,13.900000000000006
83,5:23 - 3rd) ,ATL 91.7%,2377,8.299999999999997
84,5:05 - 3rd) ,ATL 91.5%,2395,8.5
85,4:29 - 3rd) ,ATL 93.7%,2431,6.299999999999997
86,0:00 - 4th) ,NO 100%,3600,100.0
