,raw_time,raw_win_pct,clean_time,BUF_win_pct
0,14:26 - 1st),BAL 57.8%,34,42.2
1,14:23 - 1st),BAL 70.5%,37,29.5
2,13:46 - 1st),BAL 66.5%,74,33.5
3,13:26 - 1st),BAL 69.2%,94,30.799999999999997
4,13:13 - 1st),BAL 71.2%,107,28.799999999999997
5,12:34 - 1st),BAL 66.4%,146,33.599999999999994
6,11:57 - 1st),BAL 65.6%,183,34.400000000000006
7,11:42 - 1st),BAL 64.2%,198,35.8
8,11:04 - 1st),BAL 66.2%,236,33.8
9,11:00 - 1st),BAL 67.0%,240,33.0
10,10:21 - 1st),BAL 68.8%,279,31.200000000000003
11,10:14 - 1st),BAL 67.2%,286,32.8
12,10:09 - 1st),BAL 66.1%,291,33.900000000000006
13,9:26 - 1st) ,BAL 68.7%,334,31.299999999999997
14,8:42 - 1st) ,BAL 70.1%,378,29.900000000000006
15,8:04 - 1st) ,BAL 71.1%,416,28.900000000000006
16,7:58 - 1st) ,BAL 67.3%,422,32.7
17,7:15 - 1st) ,BAL 71.6%,465,28.400000000000006
18,6:31 - 1st) ,BAL 69.7%,509,30.299999999999997
19,5:50 - 1st) ,BAL 68.6%,550,31.400000000000006
20,5:10 - 1st) ,BAL 74.3%,590,25.700000000000003
21,4:29 - 1st) ,BAL 73.8%,631,26.200000000000003
22,3:56 - 1st) ,BAL 76.3%,664,23.700000000000003
23,3:13 - 1st) ,BAL 74.8%,707,25.200000000000003
24,2:32 - 1st) ,BAL 73.8%,748,26.200000000000003
25,1:47 - 1st) ,BAL 79.1%,793,20.900000000000006
26,1:06 - 1st) ,BAL 80.8%,834,19.200000000000003
27,1:04 - 1st) ,BAL 82.1%,836,17.900000000000006
28,1:01 - 1st) ,BAL 81.9%,839,18.099999999999994
29,0:28 - 1st) ,BAL 86.4%,872,13.599999999999994
30,0:20 - 1st) ,BAL 88.5%,880,11.5
31,15:00 - 2nd),BAL 87.2%,900,12.799999999999997
32,14:54 - 2nd),BAL 86.7%,906,13.299999999999997
33,14:08 - 2nd),BAL 86.1%,952,13.900000000000006
34,13:41 - 2nd),BAL 85.0%,979,15.0
35,12:54 - 2nd),BAL 86.7%,1026,13.299999999999997
36,12:28 - 2nd),BAL 87.1%,1052,12.900000000000006
37,12:02 - 2nd),BAL 88.2%,1078,11.799999999999997
38,11:26 - 2nd),BAL 88.4%,1114,11.599999999999994
39,11:18 - 2nd),BAL 87.7%,1122,12.299999999999997
40,10:01 - 2nd),BAL 89.8%,1199,10.200000000000003
41,9:19 - 2nd) ,BAL 88.5%,1241,11.5
42,8:54 - 2nd) ,BAL 90.8%,1266,9.200000000000003
43,8:10 - 2nd) ,BAL 90.8%,1310,9.200000000000003
44,7:27 - 2nd) ,BAL 91.1%,1353,8.900000000000006
45,6:42 - 2nd) ,BAL 91.1%,1398,8.900000000000006
46,6:07 - 2nd) ,BAL 91.3%,1433,8.700000000000003
47,5:27 - 2nd) ,BAL 89.9%,1473,10.099999999999994
48,4:45 - 2nd) ,BAL 90.5%,1515,9.5
49,3:59 - 2nd) ,BAL 90.1%,1561,9.900000000000006
50,3:39 - 2nd) ,BAL 91.7%,1581,8.299999999999997
51,3:06 - 2nd) ,BAL 92.8%,1614,7.200000000000003
52,2:58 - 2nd) ,BAL 93.5%,1622,6.5
53,2:33 - 2nd) ,BAL 92.4%,1647,7.599999999999994
54,1:57 - 2nd) ,BAL 92.3%,1683,7.700000000000003
55,1:47 - 2nd) ,BAL 91.6%,1693,8.400000000000006
56,1:30 - 2nd) ,BAL 89.9%,1710,10.099999999999994
57,1:04 - 2nd) ,BAL 90.5%,1736,10.099999999999994
58,0:37 - 2nd) ,BAL 90.1%,1763,9.900000000000006
59,0:18 - 2nd) ,BAL 89.4%,1782,10.599999999999994
60,0:09 - 2nd) ,BAL 82.8%,1791,17.200000000000003
61,14:52 - 3rd),BAL 81.1%,1808,18.900000000000006
62,14:10 - 3rd),BAL 81.1%,1850,18.900000000000006
63,14:05 - 3rd),BAL 79.8%,1855,20.200000000000003
64,14:00 - 3rd),BAL 84.8%,1860,15.200000000000003
65,13:49 - 3rd),BAL 77.7%,1871,22.299999999999997
66,13:04 - 3rd),BAL 75.0%,1916,25.0
67,12:34 - 3rd),BAL 71.8%,1946,28.200000000000003
68,11:17 - 3rd),BAL 79.5%,2023,20.5
69,10:40 - 3rd),BAL 73.8%,2060,26.200000000000003
70,9:59 - 3rd) ,BAL 75.5%,2101,24.5
71,9:54 - 3rd) ,BAL 76.4%,2106,23.599999999999994
72,9:42 - 3rd) ,BAL 76.5%,2118,23.5
73,9:07 - 3rd) ,BAL 79.5%,2153,20.5
74,8:30 - 3rd) ,BAL 77.4%,2190,22.599999999999994
75,7:46 - 3rd) ,BAL 76.8%,2234,23.200000000000003
76,7:03 - 3rd) ,BAL 74.8%,2277,25.200000000000003
77,6:53 - 3rd) ,BAL 71.6%,2287,28.400000000000006
78,6:16 - 3rd) ,BAL 69.3%,2324,30.700000000000003
79,5:41 - 3rd) ,BAL 68.6%,2359,31.400000000000006
80,5:11 - 3rd) ,BAL 73.8%,2389,26.200000000000003
81,5:04 - 3rd) ,BAL 67.3%,2396,32.7
82,4:39 - 3rd) ,BAL 63.9%,2421,36.1
83,3:26 - 3rd) ,BAL 52.5%,2494,47.5
84,2:49 - 3rd) ,BAL 51.6%,2531,48.4
85,2:06 - 3rd) ,BAL 50.7%,2574,49.3
86,1:34 - 3rd) ,BAL 55.9%,2606,44.1
87,0:54 - 3rd) ,BAL 53.5%,2646,46.5
88,0:11 - 3rd) ,BAL 57.7%,2689,42.3
89,14:53 - 4th),BUF 54.4%,2707,45.6
90,14:23 - 4th),BUF 50.4%,2737,50.4
91,14:17 - 4th),BAL 52.3%,2743,47.7
92,13:45 - 4th),BUF 53.0%,2775,53.0
93,13:38 - 4th),BUF 50.2%,2782,50.2
94,13:02 - 4th),BAL 52.7%,2818,47.3
95,12:20 - 4th),BUF 50.8%,2860,50.8
96,11:52 - 4th),BAL 50.3%,2888,49.7
97,11:13 - 4th),BUF 50.4%,2927,50.4
98,10:29 - 4th),BAL 57.2%,2971,42.8
99,9:44 - 4th) ,BAL 53.6%,3016,46.4
100,9:10 - 4th) ,BAL 61.5%,3050,38.5
101,9:05 - 4th) ,BAL 65.8%,3055,34.2
102,8:29 - 4th) ,BAL 64.6%,3091,35.400000000000006
103,8:28 - 4th) ,BAL 64.4%,3092,35.599999999999994
104,7:44 - 4th) ,BAL 68.4%,3136,31.599999999999994
105,7:04 - 4th) ,BAL 74.6%,3176,25.400000000000006
106,6:25 - 4th) ,BAL 72.7%,3215,27.299999999999997
107,5:40 - 4th) ,BAL 68.0%,3260,32.0
108,4:59 - 4th) ,BAL 67.5%,3301,32.5
109,4:15 - 4th) ,BUF 53.2%,3345,53.2
110,4:07 - 4th) ,BAL 53.1%,3353,46.9
111,3:35 - 4th) ,BAL 52.0%,3385,48.0
112,2:59 - 4th) ,BUF 65.7%,3421,34.3
113,2:52 - 4th) ,BUF 59.5%,3428,59.5
114,2:14 - 4th) ,BUF 76.2%,3466,76.2
115,2:05 - 4th) ,BUF 80.3%,3475,80.3
116,2:00 - 4th) ,BUF 86.1%,3480,86.1
117,1:50 - 4th) ,BUF 88.1%,3490,88.1
118,1:43 - 4th) ,BUF 91.4%,3497,91.4
119,1:01 - 4th) ,BUF 88.8%,3539,88.8
120,0:33 - 4th) ,BUF 91.4%,3567,91.4
121,0:00 - 4th) ,BUF 100%,3600,100.0
