,raw_time,raw_win_pct,clean_time,CLE_win_pct
0,14:53 - 1st),CAR 57.6%,7,42.4
1,14:08 - 1st),CAR 55.8%,52,44.2
2,13:38 - 1st),CAR 56.2%,82,43.8
3,13:29 - 1st),CAR 54.7%,91,45.3
4,12:47 - 1st),CAR 55.8%,133,44.2
5,12:03 - 1st),CAR 57.1%,177,42.9
6,11:17 - 1st),CAR 52.6%,223,47.4
7,10:40 - 1st),CAR 54.6%,260,45.4
8,10:06 - 1st),CAR 54.2%,294,45.8
9,9:26 - 1st) ,CAR 58.9%,334,41.1
10,9:17 - 1st) ,CAR 59.7%,343,40.3
11,8:46 - 1st) ,CAR 58.4%,374,41.6
12,8:15 - 1st) ,CAR 57.4%,405,42.6
13,7:36 - 1st) ,CAR 54.7%,444,45.3
14,6:52 - 1st) ,CAR 54.9%,488,45.1
15,6:45 - 1st) ,CAR 58.6%,495,41.4
16,6:12 - 1st) ,CAR 59.2%,528,40.8
17,5:47 - 1st) ,CAR 58.6%,553,41.4
18,5:04 - 1st) ,CAR 53.0%,596,47.0
19,4:58 - 1st) ,CAR 55.0%,602,45.0
20,4:14 - 1st) ,CAR 55.8%,646,44.2
21,3:39 - 1st) ,CAR 50.7%,681,49.3
22,2:58 - 1st) ,CAR 55.4%,722,44.6
23,2:16 - 1st) ,CAR 54.0%,764,46.0
24,2:07 - 1st) ,CAR 57.2%,773,42.8
25,1:53 - 1st) ,CAR 54.7%,787,45.3
26,1:17 - 1st) ,CAR 53.1%,823,46.9
27,1:11 - 1st) ,CAR 58.0%,829,42.0
28,1:06 - 1st) ,CAR 57.5%,834,42.5
29,0:35 - 1st) ,CAR 53.0%,865,47.0
30,15:00 - 2nd),CAR 62.9%,900,37.1
31,14:52 - 2nd),CLE 50.0%,908,50.0
32,14:10 - 2nd),CAR 54.7%,950,45.3
33,14:07 - 2nd),CAR 57.1%,953,42.9
34,13:54 - 2nd),CAR 55.0%,966,45.0
35,13:23 - 2nd),CAR 57.7%,997,42.3
36,12:42 - 2nd),CAR 56.0%,1038,44.0
37,12:37 - 2nd),CAR 56.3%,1043,43.7
38,12:26 - 2nd),CAR 50.6%,1054,49.4
39,11:40 - 2nd),CAR 50.9%,1100,49.1
40,11:02 - 2nd),CLE 62.2%,1138,62.2
41,10:49 - 2nd),CLE 65.6%,1151,65.6
42,10:07 - 2nd),CLE 66.9%,1193,66.9
43,10:02 - 2nd),CLE 67.1%,1198,67.1
44,9:31 - 2nd) ,CLE 65.7%,1229,65.7
45,9:19 - 2nd) ,CLE 62.6%,1241,62.6
46,8:32 - 2nd) ,CLE 65.4%,1288,65.4
47,7:49 - 2nd) ,CLE 68.5%,1331,68.5
48,7:05 - 2nd) ,CLE 70.4%,1375,70.4
49,6:17 - 2nd) ,CLE 67.0%,1423,67.0
50,6:10 - 2nd) ,CLE 74.1%,1430,74.1
51,5:29 - 2nd) ,CLE 73.6%,1471,73.6
52,4:46 - 2nd) ,CLE 81.8%,1514,81.8
53,4:39 - 2nd) ,CLE 81.8%,1521,81.8
54,4:02 - 2nd) ,CLE 80.3%,1558,80.3
55,3:33 - 2nd) ,CLE 69.6%,1587,69.6
56,2:45 - 2nd) ,CLE 74.9%,1635,74.9
57,2:00 - 2nd) ,CLE 72.5%,1680,72.5
58,1:57 - 2nd) ,CLE 70.7%,1683,70.7
59,1:52 - 2nd) ,CLE 68.2%,1688,68.2
60,1:17 - 2nd) ,CLE 77.4%,1723,77.4
61,1:07 - 2nd) ,CLE 76.5%,1733,76.5
62,0:43 - 2nd) ,CLE 79.8%,1757,79.8
63,0:34 - 2nd) ,CLE 77.3%,1766,77.3
64,0:29 - 2nd) ,CLE 76.1%,1771,76.1
65,0:15 - 2nd) ,CLE 77.0%,1785,77.0
66,15:00 - 3rd),CLE 80.0%,1800,80.0
67,14:52 - 3rd),CLE 74.7%,1808,74.7
68,14:11 - 3rd),CLE 78.8%,1849,78.8
69,13:30 - 3rd),CLE 78.3%,1890,78.3
70,13:05 - 3rd),CLE 77.9%,1915,77.9
71,12:22 - 3rd),CLE 76.4%,1958,76.4
72,11:41 - 3rd),CLE 82.0%,1999,82.0
73,11:03 - 3rd),CLE 82.0%,2037,82.0
74,10:23 - 3rd),CLE 85.2%,2077,85.2
75,9:39 - 3rd) ,CLE 86.5%,2121,86.5
76,8:51 - 3rd) ,CLE 86.4%,2169,86.4
77,8:33 - 3rd) ,CLE 85.9%,2187,85.9
78,7:50 - 3rd) ,CLE 85.2%,2230,85.2
79,7:37 - 3rd) ,CLE 87.0%,2243,87.0
80,6:59 - 3rd) ,CLE 86.0%,2281,86.0
81,6:54 - 3rd) ,CLE 86.8%,2286,86.8
82,6:16 - 3rd) ,CLE 88.8%,2324,88.8
83,5:30 - 3rd) ,CLE 90.8%,2370,90.8
84,4:38 - 3rd) ,CLE 90.8%,2422,90.8
85,4:24 - 3rd) ,CLE 90.1%,2436,90.1
86,3:52 - 3rd) ,CLE 89.4%,2468,89.4
87,3:48 - 3rd) ,CLE 88.8%,2472,88.8
88,2:44 - 3rd) ,CLE 89.6%,2536,89.6
89,2:35 - 3rd) ,CLE 89.0%,2545,89.0
90,1:54 - 3rd) ,CLE 88.8%,2586,88.8
91,1:14 - 3rd) ,CLE 88.9%,2626,88.9
92,0:39 - 3rd) ,CLE 88.0%,2661,88.0
93,0:10 - 3rd) ,CLE 87.5%,2690,87.5
94,15:00 - 4th),CLE 84.6%,2700,84.6
95,14:28 - 4th),CLE 81.5%,2732,81.5
96,13:47 - 4th),CLE 82.1%,2773,82.1
