,raw_time,raw_win_pct,clean_time,NO_win_pct
0,14:54 - 1st),CAR 53.1%,6,46.9
1,14:16 - 1st),CAR 52.8%,44,47.2
2,13:33 - 1st),NO 50.6%,87,50.6
3,12:49 - 1st),NO 52.3%,131,52.3
4,12:45 - 1st),NO 50.9%,135,50.9
5,12:37 - 1st),NO 50.1%,143,50.1
6,12:07 - 1st),NO 55.0%,173,55.0
7,11:34 - 1st),NO 52.9%,206,52.9
8,11:31 - 1st),NO 53.1%,209,53.1
9,10:54 - 1st),NO 50.3%,246,50.3
10,10:18 - 1st),CAR 52.1%,282,47.9
11,9:40 - 1st) ,NO 55.0%,320,55.0
12,9:19 - 1st) ,NO 53.6%,341,53.6
13,8:37 - 1st) ,NO 56.1%,383,56.1
14,8:08 - 1st) ,NO 50.4%,412,50.4
15,7:28 - 1st) ,CAR 50.4%,452,49.6
16,7:21 - 1st) ,NO 51.8%,459,51.8
17,7:16 - 1st) ,NO 52.4%,464,52.4
18,6:39 - 1st) ,NO 54.4%,501,54.4
19,6:35 - 1st) ,NO 53.6%,505,53.6
20,6:26 - 1st) ,NO 51.5%,514,51.5
21,5:47 - 1st) ,NO 55.7%,553,55.7
22,5:32 - 1st) ,CAR 67.5%,568,32.5
23,5:27 - 1st) ,CAR 68.0%,573,32.0
24,4:41 - 1st) ,CAR 69.9%,619,30.099999999999994
25,4:26 - 1st) ,CAR 69.1%,634,30.900000000000006
26,3:50 - 1st) ,CAR 71.9%,670,28.099999999999994
27,3:16 - 1st) ,CAR 70.8%,704,29.200000000000003
28,2:35 - 1st) ,CAR 73.5%,745,26.5
29,2:12 - 1st) ,CAR 72.7%,768,27.299999999999997
30,1:34 - 1st) ,CAR 75.3%,806,24.700000000000003
31,0:51 - 1st) ,CAR 73.7%,849,26.299999999999997
32,0:45 - 1st) ,CAR 72.2%,855,27.799999999999997
33,15:00 - 2nd),CAR 71.7%,900,28.299999999999997
34,14:16 - 2nd),CAR 74.1%,944,25.900000000000006
35,14:09 - 2nd),CAR 77.3%,951,22.700000000000003
36,11:44 - 2nd),CAR 76.4%,1096,23.599999999999994
37,11:24 - 2nd),CAR 75.5%,1116,24.5
38,11:18 - 2nd),CAR 73.1%,1122,26.900000000000006
39,10:33 - 2nd),CAR 72.6%,1167,27.400000000000006
40,10:17 - 2nd),CAR 73.3%,1183,26.700000000000003
41,10:05 - 2nd),CAR 74.5%,1195,25.5
42,9:58 - 2nd) ,CAR 74.8%,1202,25.200000000000003
