,raw_time,raw_win_pct,clean_time,SF_win_pct
0,14:48 - 1st),SF 70.9%,132,0.9
1,14:48 - 1st),SF 70.9%,132,0.9
2,14:14 - 1st),SF 73.3%,166,3.3
3,13:30 - 1st),SF 72.8%,210,2.8
4,12:54 - 1st),SF 71.4%,246,1.4
5,12:33 - 1st),SF 71.7%,267,1.7
6,11:53 - 1st),SF 73.8%,307,3.8
7,11:06 - 1st),SF 78.0%,354,8.0
8,10:19 - 1st),SF 70.6%,401,0.6
9,10:15 - 1st),SF 68.5%,405,8.5
10,9:47 - 1st) ,SF 70.2%,433,0.2
11,9:10 - 1st) ,SF 65.9%,470,5.9
12,8:28 - 1st) ,SF 65.6%,512,5.6
13,8:21 - 1st) ,SF 68.3%,519,8.3
14,7:27 - 1st) ,SF 74.8%,573,4.8
15,6:46 - 1st) ,SF 75.5%,614,5.5
16,6:40 - 1st) ,SF 75.0%,620,5.0
17,5:58 - 1st) ,SF 69.3%,662,9.3
18,5:12 - 1st) ,SF 67.1%,708,7.1
19,4:57 - 1st) ,SF 69.0%,723,9.0
20,4:19 - 1st) ,SF 64.7%,761,4.7
21,3:55 - 1st) ,SF 66.8%,785,6.8
22,3:42 - 1st) ,SF 67.2%,798,7.2
23,3:31 - 1st) ,SF 66.8%,809,6.8
24,2:51 - 1st) ,SF 69.5%,849,9.5
25,2:19 - 1st) ,SF 70.0%,881,0.0
26,2:13 - 1st) ,SF 69.6%,887,9.6
27,2:05 - 1st) ,SF 68.4%,895,8.4
28,1:29 - 1st) ,SF 67.6%,931,7.6
29,0:49 - 1st) ,SF 64.7%,971,4.7
30,0:34 - 1st) ,SF 68.6%,986,8.6
31,15:00 - 2nd),SF 69.5%,1020,9.5
32,14:22 - 2nd),SF 70.6%,1058,0.6
33,13:43 - 2nd),SF 70.7%,1097,0.7
34,13:21 - 2nd),SF 73.8%,1119,3.8
35,12:54 - 2nd),SF 75.8%,1146,5.8
36,12:19 - 2nd),SF 73.4%,1181,3.4
37,11:41 - 2nd),SF 73.0%,1219,3.0
38,11:00 - 2nd),SF 78.4%,1260,8.4
39,10:59 - 2nd),SF 75.8%,1261,5.8
40,10:11 - 2nd),SF 80.8%,1309,0.8
41,9:32 - 2nd) ,SF 81.5%,1348,1.5
42,9:28 - 2nd) ,SF 82.3%,1352,2.3
43,8:43 - 2nd) ,SF 80.5%,1397,0.5
44,8:07 - 2nd) ,SF 80.9%,1433,0.9
45,7:26 - 2nd) ,SF 79.1%,1474,9.1
46,7:02 - 2nd) ,SF 82.0%,1498,2.0
47,6:15 - 2nd) ,SF 82.0%,1545,2.0
48,5:33 - 2nd) ,SF 80.2%,1587,0.2
49,5:28 - 2nd) ,SF 79.3%,1592,9.3
50,4:42 - 2nd) ,SF 79.5%,1638,9.5
51,4:41 - 2nd) ,SF 79.8%,1639,9.8
52,4:14 - 2nd) ,SF 78.3%,1666,8.3
53,3:41 - 2nd) ,SF 77.6%,1699,7.6
54,3:36 - 2nd) ,SF 78.0%,1704,8.0
55,2:57 - 2nd) ,SF 78.9%,1743,8.9
56,2:54 - 2nd) ,SF 75.8%,1746,5.8
57,2:17 - 2nd) ,SF 77.3%,1783,7.3
58,2:00 - 2nd) ,SF 73.4%,1800,3.4
59,1:16 - 2nd) ,SF 74.7%,1844,4.7
60,1:06 - 2nd) ,SF 73.0%,1854,3.0
61,0:38 - 2nd) ,SF 80.8%,1882,0.8
62,0:25 - 2nd) ,SF 81.3%,1895,1.3
63,0:18 - 2nd) ,SF 80.7%,1902,0.7
64,0:10 - 2nd) ,SF 80.9%,1910,0.9
65,15:00 - 3rd),SF 83.3%,1920,3.3
66,14:59 - 3rd),SF 82.5%,1921,2.5
67,14:13 - 3rd),SF 82.0%,1967,2.0
68,14:06 - 3rd),SF 81.9%,1974,1.9
69,13:28 - 3rd),SF 87.5%,2012,7.5
70,12:49 - 3rd),SF 86.6%,2051,6.6
71,12:04 - 3rd),SF 86.0%,2096,6.0
72,11:20 - 3rd),SF 89.7%,2140,9.7
73,10:37 - 3rd),SF 89.1%,2183,9.1
74,9:56 - 3rd) ,SF 86.8%,2224,6.8
75,9:11 - 3rd) ,SF 85.3%,2269,5.3
76,8:22 - 3rd) ,SF 85.4%,2318,5.4
77,8:14 - 3rd) ,SF 86.1%,2326,6.1
78,7:38 - 3rd) ,SF 86.7%,2362,6.7
79,6:54 - 3rd) ,SF 83.4%,2406,3.4
80,6:26 - 3rd) ,SF 83.7%,2434,3.7
81,6:19 - 3rd) ,SF 85.9%,2441,5.9
