,raw_time,raw_win_pct,clean_time,MIA_win_pct
0,14:28 - 1st),CIN 72.2%,32,27.799999999999997
1,13:46 - 1st),CIN 74.3%,74,25.700000000000003
2,13:04 - 1st),CIN 75.0%,116,25.0
3,12:33 - 1st),CIN 75.3%,147,24.700000000000003
4,11:54 - 1st),CIN 76.8%,186,23.200000000000003
5,11:28 - 1st),CIN 79.3%,212,20.700000000000003
6,11:15 - 1st),CIN 79.9%,225,20.099999999999994
7,11:12 - 1st),CIN 78.8%,228,21.200000000000003
8,10:19 - 1st),CIN 81.6%,281,18.400000000000006
9,9:38 - 1st) ,CIN 77.7%,322,22.299999999999997
10,8:59 - 1st) ,CIN 74.9%,361,25.099999999999994
11,8:18 - 1st) ,CIN 74.5%,402,25.5
12,8:15 - 1st) ,CIN 72.6%,405,27.400000000000006
13,7:38 - 1st) ,CIN 75.2%,442,24.799999999999997
14,6:55 - 1st) ,CIN 75.7%,485,24.299999999999997
15,6:13 - 1st) ,CIN 77.5%,527,22.5
16,6:05 - 1st) ,CIN 76.1%,535,23.900000000000006
17,6:01 - 1st) ,CIN 76.1%,539,23.900000000000006
18,5:16 - 1st) ,CIN 78.2%,584,21.799999999999997
19,4:35 - 1st) ,CIN 79.0%,625,21.0
20,3:51 - 1st) ,CIN 75.6%,669,24.400000000000006
21,3:47 - 1st) ,CIN 74.0%,673,26.0
22,3:36 - 1st) ,CIN 75.6%,684,24.400000000000006
23,3:12 - 1st) ,CIN 77.1%,708,22.900000000000006
24,2:29 - 1st) ,CIN 72.5%,751,27.5
25,1:51 - 1st) ,CIN 72.0%,789,28.0
26,1:14 - 1st) ,CIN 76.5%,826,23.5
27,1:05 - 1st) ,CIN 78.0%,835,22.0
28,0:31 - 1st) ,CIN 77.2%,869,22.799999999999997
29,15:00 - 2nd),CIN 79.1%,900,20.900000000000006
30,14:12 - 2nd),CIN 77.5%,948,22.5
31,13:36 - 2nd),CIN 77.5%,984,22.5
32,12:59 - 2nd),CIN 80.1%,1021,19.900000000000006
33,12:16 - 2nd),CIN 78.5%,1064,21.5
34,12:12 - 2nd),CIN 78.5%,1068,21.5
35,11:33 - 2nd),CIN 77.6%,1107,22.400000000000006
36,10:45 - 2nd),CIN 72.6%,1155,27.400000000000006
37,10:39 - 2nd),CIN 73.2%,1161,26.799999999999997
38,10:37 - 2nd),CIN 74.2%,1163,25.799999999999997
39,9:58 - 2nd) ,CIN 70.4%,1202,29.599999999999994
40,9:17 - 2nd) ,CIN 70.1%,1243,29.900000000000006
41,8:33 - 2nd) ,CIN 71.0%,1287,29.0
42,7:57 - 2nd) ,CIN 65.3%,1323,34.7
43,7:48 - 2nd) ,CIN 68.1%,1332,31.900000000000006
44,7:42 - 2nd) ,CIN 69.8%,1338,30.200000000000003
45,7:31 - 2nd) ,CIN 66.8%,1349,33.2
46,6:56 - 2nd) ,CIN 65.2%,1384,34.8
47,6:52 - 2nd) ,CIN 62.1%,1388,37.9
48,6:46 - 2nd) ,CIN 60.2%,1394,39.8
49,6:38 - 2nd) ,CIN 57.6%,1402,42.4
50,6:31 - 2nd) ,CIN 62.1%,1409,37.9
51,5:57 - 2nd) ,CIN 63.8%,1443,36.2
52,5:13 - 2nd) ,CIN 60.9%,1487,39.1
53,4:25 - 2nd) ,CIN 67.5%,1535,32.5
54,4:22 - 2nd) ,CIN 65.6%,1538,34.400000000000006
55,3:43 - 2nd) ,CIN 64.5%,1577,35.5
56,2:50 - 2nd) ,CIN 80.9%,1630,19.099999999999994
57,2:49 - 2nd) ,CIN 81.9%,1631,18.099999999999994
58,2:12 - 2nd) ,CIN 78.5%,1668,21.5
59,2:00 - 2nd) ,CIN 75.6%,1680,24.400000000000006
60,1:21 - 2nd) ,CIN 75.5%,1719,24.5
61,1:14 - 2nd) ,CIN 73.8%,1726,26.200000000000003
62,1:05 - 2nd) ,CIN 75.2%,1735,24.799999999999997
63,0:24 - 2nd) ,CIN 72.2%,1776,27.799999999999997
64,0:09 - 2nd) ,CIN 65.3%,1791,34.7
65,15:00 - 3rd),CIN 66.2%,1800,33.8
66,14:57 - 3rd),CIN 68.2%,1803,31.799999999999997
67,14:15 - 3rd),CIN 69.9%,1845,30.099999999999994
68,13:49 - 3rd),CIN 69.8%,1871,30.200000000000003
69,13:42 - 3rd),CIN 70.7%,1878,29.299999999999997
70,13:30 - 3rd),CIN 71.0%,1890,29.0
71,12:57 - 3rd),CIN 70.2%,1923,29.799999999999997
72,11:39 - 3rd),CIN 70.2%,2001,29.799999999999997
73,10:57 - 3rd),CIN 65.5%,2043,34.5
74,10:22 - 3rd),CIN 66.4%,2078,33.599999999999994
75,10:11 - 3rd),CIN 66.0%,2089,34.0
76,9:32 - 3rd) ,CIN 67.4%,2128,32.599999999999994
77,8:49 - 3rd) ,CIN 69.7%,2171,30.299999999999997
78,8:15 - 3rd) ,CIN 69.2%,2205,30.799999999999997
79,8:01 - 3rd) ,CIN 71.7%,2219,28.299999999999997
80,7:21 - 3rd) ,CIN 71.6%,2259,28.400000000000006
81,6:34 - 3rd) ,CIN 68.4%,2306,31.599999999999994
82,6:25 - 3rd) ,CIN 66.3%,2315,33.7
83,6:18 - 3rd) ,CIN 64.9%,2322,35.099999999999994
84,5:35 - 3rd) ,CIN 61.8%,2365,38.2
85,4:55 - 3rd) ,MIA 54.2%,2405,54.2
86,4:11 - 3rd) ,CIN 50.3%,2449,49.7
87,3:36 - 3rd) ,CIN 52.4%,2484,47.6
88,2:51 - 3rd) ,CIN 55.1%,2529,44.9
89,2:40 - 3rd) ,CIN 52.5%,2540,47.5
90,2:15 - 3rd) ,CIN 51.6%,2565,48.4
91,1:36 - 3rd) ,CIN 51.0%,2604,49.0
92,0:56 - 3rd) ,CIN 58.9%,2644,41.1
93,0:17 - 3rd) ,CIN 59.8%,2683,40.2
94,15:00 - 4th),CIN 72.1%,2700,27.900000000000006
95,14:20 - 4th),CIN 70.0%,2740,30.0
96,13:34 - 4th),CIN 63.9%,2786,36.1
97,12:48 - 4th),CIN 60.1%,2832,39.9
98,12:00 - 4th),CIN 56.6%,2880,43.4
99,11:24 - 4th),CIN 58.9%,2916,41.1
100,10:42 - 4th),CIN 66.5%,2958,33.5
101,9:58 - 4th) ,CIN 66.9%,3002,33.099999999999994
102,9:49 - 4th) ,CIN 63.3%,3011,36.7
103,9:11 - 4th) ,CIN 72.3%,3049,27.700000000000003
104,8:33 - 4th) ,CIN 68.7%,3087,31.299999999999997
105,7:54 - 4th) ,CIN 76.2%,3126,23.799999999999997
106,7:11 - 4th) ,CIN 72.1%,3169,27.900000000000006
107,6:26 - 4th) ,CIN 71.6%,3214,28.400000000000006
108,6:20 - 4th) ,CIN 64.3%,3220,35.7
109,6:07 - 4th) ,CIN 69.3%,3233,30.700000000000003
110,5:32 - 4th) ,CIN 72.7%,3268,27.299999999999997
111,4:57 - 4th) ,CIN 71.5%,3303,28.5
112,4:51 - 4th) ,CIN 80.0%,3309,20.0
113,4:42 - 4th) ,CIN 66.8%,3318,33.2
114,4:04 - 4th) ,CIN 62.0%,3356,38.0
115,3:22 - 4th) ,CIN 63.0%,3398,37.0
116,3:17 - 4th) ,CIN 91.3%,3403,8.700000000000003
117,3:05 - 4th) ,CIN 90.5%,3415,9.5
118,2:58 - 4th) ,CIN 98.2%,3422,1.7999999999999972
119,2:10 - 4th) ,CIN 99.6%,3470,0.4000000000000057
