,raw_time,raw_win_pct,clean_time,PIT_win_pct
0,14:35 - 1st),CIN 79.7%,25,20.299999999999997
1,14:19 - 1st),CIN 79.4%,41,20.599999999999994
2,13:38 - 1st),CIN 80.2%,82,19.799999999999997
3,13:31 - 1st),CIN 78.4%,89,21.599999999999994
4,12:43 - 1st),CIN 64.7%,137,35.3
5,12:05 - 1st),CIN 66.8%,175,33.2
6,11:34 - 1st),CIN 66.5%,206,33.5
7,10:55 - 1st),CIN 64.7%,245,35.3
8,10:13 - 1st),CIN 67.3%,287,32.7
9,9:34 - 1st) ,CIN 69.5%,326,30.5
10,8:57 - 1st) ,CIN 67.3%,363,32.7
11,8:16 - 1st) ,CIN 65.8%,404,34.2
12,8:12 - 1st) ,CIN 61.0%,408,39.0
13,7:17 - 1st) ,CIN 68.2%,463,31.799999999999997
14,6:33 - 1st) ,CIN 65.9%,507,34.099999999999994
15,6:02 - 1st) ,CIN 69.9%,538,30.099999999999994
16,5:57 - 1st) ,CIN 70.5%,543,29.5
17,5:47 - 1st) ,CIN 68.7%,553,31.299999999999997
18,5:08 - 1st) ,CIN 67.9%,592,32.099999999999994
19,4:29 - 1st) ,CIN 70.8%,631,29.200000000000003
20,4:26 - 1st) ,CIN 59.3%,634,40.7
21,4:20 - 1st) ,CIN 51.2%,640,48.8
22,3:51 - 1st) ,CIN 57.3%,669,42.7
23,3:14 - 1st) ,CIN 57.8%,706,42.2
24,2:33 - 1st) ,CIN 60.0%,747,40.0
25,2:25 - 1st) ,CIN 62.0%,755,38.0
26,2:02 - 1st) ,CIN 60.8%,778,39.2
27,1:27 - 1st) ,CIN 60.0%,813,40.0
28,0:42 - 1st) ,CIN 63.6%,858,36.4
29,0:01 - 1st) ,CIN 65.2%,899,34.8
30,15:00 - 2nd),CIN 62.0%,900,38.0
31,14:20 - 2nd),CIN 64.3%,940,35.7
32,13:44 - 2nd),CIN 60.4%,976,39.6
33,13:11 - 2nd),CIN 51.0%,1009,49.0
34,13:07 - 2nd),CIN 51.7%,1013,48.3
35,12:28 - 2nd),PIT 52.3%,1052,52.3
36,11:46 - 2nd),PIT 60.6%,1094,60.6
37,10:59 - 2nd),PIT 60.7%,1141,60.7
38,10:18 - 2nd),PIT 56.5%,1182,56.5
39,9:35 - 2nd) ,PIT 65.1%,1225,65.1
40,9:31 - 2nd) ,PIT 60.8%,1229,60.8
41,8:46 - 2nd) ,PIT 69.8%,1274,69.8
42,8:15 - 2nd) ,PIT 67.2%,1305,67.2
43,7:27 - 2nd) ,PIT 68.0%,1353,68.0
44,6:56 - 2nd) ,PIT 68.7%,1384,68.7
45,6:15 - 2nd) ,PIT 65.3%,1425,65.3
46,5:32 - 2nd) ,PIT 72.1%,1468,72.1
47,5:24 - 2nd) ,PIT 70.4%,1476,70.4
48,5:20 - 2nd) ,PIT 69.7%,1480,69.7
49,4:41 - 2nd) ,PIT 68.7%,1519,68.7
50,4:11 - 2nd) ,PIT 71.2%,1549,71.2
51,4:01 - 2nd) ,PIT 67.4%,1559,67.4
52,3:16 - 2nd) ,PIT 70.5%,1604,70.5
53,2:37 - 2nd) ,PIT 68.9%,1643,68.9
54,2:00 - 2nd) ,PIT 72.2%,1680,72.2
55,1:16 - 2nd) ,PIT 58.4%,1724,58.4
56,1:09 - 2nd) ,PIT 62.5%,1731,62.5
57,0:27 - 2nd) ,PIT 68.1%,1773,68.1
58,0:23 - 2nd) ,PIT 69.8%,1777,69.8
59,0:14 - 2nd) ,PIT 69.6%,1786,69.6
60,15:00 - 3rd),PIT 64.3%,1800,64.3
61,14:23 - 3rd),PIT 73.2%,1837,73.2
62,13:45 - 3rd),PIT 75.0%,1875,75.0
63,13:04 - 3rd),PIT 72.0%,1916,72.0
64,12:57 - 3rd),PIT 68.9%,1923,68.9
65,12:52 - 3rd),PIT 70.6%,1928,70.6
