,raw_time,raw_win_pct,clean_time,NYJ_win_pct
0,14:56 - 1st),CLE 76.1%,4,23.900000000000006
1,14:19 - 1st),CLE 75.8%,41,24.200000000000003
2,13:46 - 1st),CLE 75.4%,74,24.599999999999994
3,13:39 - 1st),CLE 78.4%,81,21.599999999999994
4,13:32 - 1st),CLE 77.6%,88,22.400000000000006
5,12:59 - 1st),CLE 79.3%,121,20.700000000000003
6,12:22 - 1st),CLE 77.8%,158,22.200000000000003
7,11:42 - 1st),CLE 80.1%,198,19.900000000000006
8,10:58 - 1st),CLE 78.5%,242,21.5
9,10:13 - 1st),CLE 80.9%,287,19.099999999999994
10,9:33 - 1st) ,CLE 79.4%,327,20.599999999999994
11,8:55 - 1st) ,CLE 82.8%,365,17.200000000000003
12,8:15 - 1st) ,CLE 81.5%,405,18.5
13,7:39 - 1st) ,CLE 80.8%,441,19.200000000000003
14,6:56 - 1st) ,CLE 81.9%,484,18.099999999999994
15,6:16 - 1st) ,CLE 82.3%,524,17.700000000000003
16,5:35 - 1st) ,CLE 81.1%,565,18.900000000000006
17,4:55 - 1st) ,CLE 85.7%,605,14.299999999999997
18,4:15 - 1st) ,CLE 86.7%,645,13.299999999999997
19,3:36 - 1st) ,CLE 86.7%,684,13.299999999999997
20,3:17 - 1st) ,CLE 84.5%,703,15.5
21,2:33 - 1st) ,CLE 84.7%,747,15.299999999999997
22,2:27 - 1st) ,CLE 84.9%,753,15.099999999999994
23,1:45 - 1st) ,CLE 86.6%,795,13.400000000000006
24,1:39 - 1st) ,CLE 81.7%,801,18.299999999999997
25,1:06 - 1st) ,CLE 82.3%,834,17.700000000000003
26,0:33 - 1st) ,CLE 82.6%,867,17.400000000000006
27,0:10 - 1st) ,CLE 82.4%,890,17.599999999999994
28,15:00 - 2nd),CLE 76.4%,900,23.599999999999994
29,14:25 - 2nd),CLE 79.2%,935,20.799999999999997
30,13:46 - 2nd),CLE 80.1%,974,19.900000000000006
31,13:06 - 2nd),CLE 75.7%,1014,24.299999999999997
32,12:59 - 2nd),CLE 74.8%,1021,25.200000000000003
33,12:21 - 2nd),CLE 74.2%,1059,25.799999999999997
34,11:38 - 2nd),CLE 76.9%,1102,23.099999999999994
35,11:15 - 2nd),CLE 78.0%,1125,22.0
36,10:16 - 2nd),CLE 76.3%,1184,23.700000000000003
37,9:34 - 2nd) ,CLE 82.0%,1226,18.0
38,9:00 - 2nd) ,CLE 80.8%,1260,19.200000000000003
39,8:23 - 2nd) ,CLE 77.6%,1297,22.400000000000006
