,raw_time,raw_win_pct,clean_time,PIT_win_pct
0,14:22 - 1st),CLE 59.5%,38,40.5
1,13:46 - 1st),CLE 57.5%,74,42.5
2,13:41 - 1st),CLE 56.3%,79,43.7
3,13:13 - 1st),CLE 54.1%,107,45.9
4,13:00 - 1st),CLE 53.0%,120,47.0
5,12:22 - 1st),CLE 51.6%,158,48.4
6,11:47 - 1st),CLE 52.3%,193,47.7
7,11:17 - 1st),CLE 57.4%,223,42.6
8,11:04 - 1st),CLE 56.5%,236,43.5
9,10:30 - 1st),CLE 54.4%,270,45.6
10,10:00 - 1st),CLE 54.9%,300,45.1
11,9:27 - 1st) ,CLE 51.8%,333,48.2
12,8:44 - 1st) ,PIT 50.4%,376,50.4
13,8:36 - 1st) ,PIT 52.1%,384,52.1
14,7:57 - 1st) ,PIT 50.6%,423,50.6
15,7:21 - 1st) ,CLE 51.9%,459,48.1
16,6:47 - 1st) ,CLE 52.1%,493,47.9
17,6:00 - 1st) ,CLE 58.8%,540,41.2
18,5:55 - 1st) ,CLE 59.9%,545,40.1
19,5:33 - 1st) ,CLE 55.4%,567,44.6
20,5:30 - 1st) ,CLE 53.7%,570,46.3
21,5:02 - 1st) ,CLE 60.4%,598,39.6
22,4:20 - 1st) ,CLE 67.0%,640,33.0
23,3:34 - 1st) ,CLE 63.9%,686,36.1
24,2:54 - 1st) ,CLE 70.7%,726,29.299999999999997
25,2:53 - 1st) ,CLE 72.0%,727,28.0
26,2:14 - 1st) ,CLE 68.7%,766,31.299999999999997
27,1:52 - 1st) ,CLE 68.4%,788,31.599999999999994
28,1:31 - 1st) ,CLE 61.5%,809,38.5
29,0:52 - 1st) ,CLE 59.4%,848,40.6
30,0:35 - 1st) ,CLE 58.1%,865,41.9
31,0:00 - 1st) ,CLE 59.2%,900,40.8
32,14:49 - 2nd),CLE 56.0%,911,44.0
33,14:28 - 2nd),CLE 54.1%,932,45.9
34,14:11 - 2nd),CLE 58.0%,949,42.0
35,13:34 - 2nd),CLE 55.8%,986,44.2
36,12:57 - 2nd),CLE 55.0%,1023,45.0
37,12:54 - 2nd),CLE 53.2%,1026,46.8
38,12:24 - 2nd),CLE 61.4%,1056,38.6
39,11:42 - 2nd),CLE 64.9%,1098,35.099999999999994
40,11:04 - 2nd),CLE 64.4%,1136,35.599999999999994
41,10:21 - 2nd),CLE 62.0%,1179,38.0
42,9:44 - 2nd) ,CLE 68.3%,1216,31.700000000000003
43,8:58 - 2nd) ,CLE 68.3%,1262,31.700000000000003
44,8:57 - 2nd) ,CLE 68.8%,1263,31.200000000000003
45,8:19 - 2nd) ,CLE 66.7%,1301,33.3
46,7:38 - 2nd) ,CLE 64.5%,1342,35.5
