,raw_time,raw_win_pct,clean_time,DET_win_pct
0,14:52 - 1st),DAL 80.5%,128,19.5
1,14:17 - 1st),DAL 78.2%,163,21.799999999999997
2,13:37 - 1st),DAL 78.2%,203,21.799999999999997
3,13:26 - 1st),DAL 77.0%,214,23.0
4,12:47 - 1st),DAL 76.2%,253,23.799999999999997
5,12:12 - 1st),DAL 78.8%,288,21.200000000000003
6,11:24 - 1st),DAL 80.1%,336,19.900000000000006
7,10:47 - 1st),DAL 80.2%,373,19.799999999999997
8,10:39 - 1st),DAL 79.0%,381,21.0
9,10:13 - 1st),DAL 78.6%,407,21.400000000000006
10,9:44 - 1st) ,DAL 76.9%,436,23.099999999999994
11,9:00 - 1st) ,DAL 76.8%,480,23.200000000000003
12,8:53 - 1st) ,DAL 75.6%,487,24.400000000000006
13,8:20 - 1st) ,DAL 75.0%,520,25.0
14,7:46 - 1st) ,DAL 73.9%,554,26.099999999999994
15,7:05 - 1st) ,DAL 72.2%,595,27.799999999999997
16,6:34 - 1st) ,DAL 69.1%,626,30.900000000000006
17,5:55 - 1st) ,DAL 69.5%,665,30.5
18,5:21 - 1st) ,DAL 71.2%,699,28.799999999999997
19,4:39 - 1st) ,DAL 71.4%,741,28.599999999999994
20,4:05 - 1st) ,DAL 72.7%,775,27.299999999999997
21,3:58 - 1st) ,DAL 70.2%,782,29.799999999999997
22,3:19 - 1st) ,DAL 69.4%,821,30.599999999999994
23,2:47 - 1st) ,DAL 72.2%,853,27.799999999999997
24,2:07 - 1st) ,DAL 73.6%,893,26.400000000000006
25,1:33 - 1st) ,DAL 73.2%,927,26.799999999999997
26,1:06 - 1st) ,DAL 76.5%,954,23.5
27,0:26 - 1st) ,DAL 75.3%,994,24.700000000000003
28,0:00 - 1st) ,DAL 77.4%,1020,22.599999999999994
29,14:54 - 2nd),DAL 78.3%,1026,21.700000000000003
30,14:31 - 2nd),DAL 78.9%,1049,21.099999999999994
31,13:52 - 2nd),DAL 77.4%,1088,22.599999999999994
32,13:09 - 2nd),DAL 71.9%,1131,28.099999999999994
33,12:27 - 2nd),DAL 71.3%,1173,28.700000000000003
34,12:24 - 2nd),DAL 72.8%,1176,27.200000000000003
35,11:46 - 2nd),DAL 69.0%,1214,31.0
36,11:08 - 2nd),DAL 70.1%,1252,29.900000000000006
37,10:32 - 2nd),DAL 64.0%,1288,36.0
38,10:04 - 2nd),DAL 64.6%,1316,35.400000000000006
39,0:00 - 4th) ,DAL 100%,3720,35.400000000000006
