,raw_time,raw_win_pct,clean_time,TB_win_pct
0,14:56 - 1st),TB 63.7%,4,63.7
1,14:19 - 1st),TB 61.0%,41,61.0
2,13:48 - 1st),TB 63.2%,72,63.2
3,13:09 - 1st),TB 62.9%,111,62.9
4,12:35 - 1st),TB 60.0%,145,60.0
5,11:38 - 1st),TB 56.5%,202,56.5
6,11:07 - 1st),TB 60.2%,233,60.2
7,10:26 - 1st),TB 54.1%,274,54.1
8,9:49 - 1st) ,TB 56.3%,311,56.3
9,9:13 - 1st) ,TB 59.5%,347,59.5
10,9:02 - 1st) ,TB 58.8%,358,58.8
11,8:33 - 1st) ,TB 56.8%,387,56.8
12,7:58 - 1st) ,TB 62.0%,422,62.0
13,7:17 - 1st) ,TB 61.8%,463,61.8
14,6:37 - 1st) ,TB 60.1%,503,60.1
15,5:55 - 1st) ,TB 57.8%,545,57.8
16,5:05 - 1st) ,TB 60.7%,595,60.7
17,4:28 - 1st) ,TB 60.7%,632,60.7
18,4:13 - 1st) ,TB 62.3%,647,62.3
19,4:07 - 1st) ,TB 64.2%,653,64.2
20,3:53 - 1st) ,TB 63.9%,667,63.9
21,3:52 - 1st) ,TB 66.3%,668,66.3
22,3:20 - 1st) ,TB 66.6%,700,66.6
23,2:47 - 1st) ,TB 70.1%,733,70.1
24,2:00 - 1st) ,TB 67.9%,780,67.9
25,1:56 - 1st) ,TB 67.4%,784,67.4
26,1:13 - 1st) ,TB 65.5%,827,65.5
27,1:06 - 1st) ,TB 68.3%,834,68.3
28,0:58 - 1st) ,TB 68.4%,842,68.4
29,0:25 - 1st) ,TB 69.1%,875,69.1
30,0:00 - 1st) ,TB 69.1%,900,69.1
31,14:54 - 2nd),TB 71.7%,906,71.7
32,14:45 - 2nd),TB 70.0%,915,70.0
33,14:09 - 2nd),TB 70.5%,951,70.5
34,13:30 - 2nd),TB 73.1%,990,73.1
35,12:46 - 2nd),TB 69.9%,1034,69.9
36,12:09 - 2nd),TB 75.3%,1071,75.3
37,11:32 - 2nd),TB 73.4%,1108,73.4
38,10:51 - 2nd),TB 73.8%,1149,73.8
39,10:05 - 2nd),TB 78.5%,1195,78.5
40,9:29 - 2nd) ,TB 76.0%,1231,76.0
41,8:53 - 2nd) ,TB 75.4%,1267,75.4
42,8:05 - 2nd) ,TB 72.8%,1315,72.8
43,7:34 - 2nd) ,TB 65.6%,1346,65.6
44,7:31 - 2nd) ,TB 66.9%,1349,66.9
45,7:12 - 2nd) ,TB 68.6%,1368,68.6
46,6:17 - 2nd) ,TB 76.5%,1423,76.5
47,6:06 - 2nd) ,TB 79.1%,1434,79.1
48,5:36 - 2nd) ,TB 77.3%,1464,77.3
49,4:53 - 2nd) ,TB 75.8%,1507,75.8
50,4:13 - 2nd) ,TB 73.3%,1547,73.3
51,3:25 - 2nd) ,TB 74.4%,1595,74.4
52,3:20 - 2nd) ,TB 75.2%,1600,75.2
53,2:48 - 2nd) ,TB 71.9%,1632,71.9
