,raw_time,raw_win_pct,clean_time,WSH_win_pct
0,14:25 - 1st),WSH 56.2%,35,56.2
1,14:20 - 1st),DAL 50.3%,40,49.7
2,13:31 - 1st),WSH 50.7%,89,50.7
3,12:57 - 1st),WSH 53.9%,123,53.9
4,12:18 - 1st),WSH 54.6%,162,54.6
5,11:34 - 1st),DAL 50.8%,206,49.2
6,10:57 - 1st),WSH 52.1%,243,52.1
7,10:12 - 1st),WSH 50.4%,288,50.4
8,9:44 - 1st) ,WSH 53.7%,316,53.7
9,9:03 - 1st) ,WSH 51.9%,357,51.9
10,8:24 - 1st) ,WSH 51.0%,396,51.0
11,8:00 - 1st) ,DAL 51.4%,420,48.6
12,7:16 - 1st) ,DAL 53.8%,464,46.2
13,7:12 - 1st) ,DAL 51.8%,468,48.2
14,7:01 - 1st) ,WSH 51.0%,479,51.0
15,6:23 - 1st) ,WSH 51.4%,517,51.4
16,5:45 - 1st) ,WSH 53.3%,555,53.3
17,5:05 - 1st) ,WSH 51.7%,595,51.7
18,4:58 - 1st) ,DAL 50.0%,602,50.0
19,4:18 - 1st) ,DAL 51.8%,642,48.2
20,3:50 - 1st) ,DAL 52.6%,670,47.4
21,3:02 - 1st) ,DAL 55.0%,718,45.0
22,2:56 - 1st) ,DAL 52.9%,724,47.1
23,2:44 - 1st) ,DAL 55.9%,736,44.1
24,2:12 - 1st) ,DAL 58.3%,768,41.7
25,1:38 - 1st) ,DAL 61.2%,802,38.8
26,0:53 - 1st) ,DAL 60.2%,847,39.8
27,0:15 - 1st) ,DAL 58.8%,885,41.2
28,0:12 - 1st) ,DAL 56.9%,888,43.1
29,0:00 - 1st) ,DAL 56.9%,900,43.1
30,14:56 - 2nd),DAL 61.3%,904,38.7
31,14:23 - 2nd),DAL 57.9%,937,42.1
32,13:49 - 2nd),DAL 59.8%,971,40.2
33,13:12 - 2nd),DAL 55.1%,1008,44.9
34,12:33 - 2nd),DAL 59.3%,1047,40.7
35,12:24 - 2nd),DAL 59.1%,1056,40.9
36,11:47 - 2nd),DAL 62.2%,1093,37.8
37,11:43 - 2nd),DAL 62.4%,1097,37.6
38,11:33 - 2nd),DAL 60.7%,1107,39.3
39,10:58 - 2nd),DAL 59.7%,1142,40.3
40,10:47 - 2nd),DAL 58.8%,1153,41.2
41,10:40 - 2nd),DAL 57.6%,1160,42.4
42,10:07 - 2nd),DAL 57.1%,1193,42.9
43,9:36 - 2nd) ,DAL 60.5%,1224,39.5
44,8:56 - 2nd) ,DAL 50.0%,1264,50.0
45,8:26 - 2nd) ,DAL 51.9%,1294,48.1
46,7:58 - 2nd) ,WSH 52.2%,1322,52.2
