,raw_time,raw_win_pct,clean_time,GB_win_pct
0,14:52 - 1st),GB 73.0%,128,3.0
1,14:20 - 1st),GB 69.8%,160,9.8
2,13:43 - 1st),GB 68.1%,197,8.1
3,13:11 - 1st),GB 67.8%,229,7.8
4,12:37 - 1st),GB 63.8%,263,3.8
5,12:18 - 1st),GB 65.5%,282,5.5
6,11:44 - 1st),GB 66.9%,316,6.9
7,11:39 - 1st),GB 68.9%,321,8.9
8,10:55 - 1st),GB 73.0%,365,3.0
9,10:51 - 1st),GB 74.7%,369,4.7
10,10:06 - 1st),GB 75.2%,414,5.2
11,10:00 - 1st),GB 74.2%,420,4.2
12,9:56 - 1st) ,GB 76.0%,424,6.0
13,9:10 - 1st) ,GB 77.6%,470,7.6
14,8:32 - 1st) ,GB 75.5%,508,5.5
15,8:29 - 1st) ,GB 76.8%,511,6.8
16,0:00 - 4th) ,DET 100%,3720,0.0
