,raw_time,raw_win_pct,clean_time,PHI_win_pct
0,14:27 - 1st),PHI 70.0%,33,70.0
1,13:38 - 1st),PHI 59.2%,82,59.2
2,13:02 - 1st),PHI 57.7%,118,57.7
3,12:22 - 1st),PHI 60.4%,158,60.4
4,12:19 - 1st),PHI 61.8%,161,61.8
5,11:40 - 1st),PHI 54.5%,200,54.5
6,11:01 - 1st),PHI 56.6%,239,56.6
7,10:18 - 1st),PHI 50.3%,282,50.3
8,9:35 - 1st) ,PHI 54.7%,325,54.7
9,8:47 - 1st) ,PHI 52.2%,373,52.2
10,8:42 - 1st) ,PHI 56.0%,378,56.0
11,7:57 - 1st) ,PHI 52.3%,423,52.3
12,7:23 - 1st) ,DET 50.3%,457,49.7
13,7:13 - 1st) ,DET 54.9%,467,45.1
14,7:10 - 1st) ,DET 52.1%,470,47.9
15,6:32 - 1st) ,DET 53.7%,508,46.3
16,6:02 - 1st) ,DET 50.3%,538,49.7
17,5:58 - 1st) ,DET 50.6%,542,49.4
18,5:51 - 1st) ,DET 51.3%,549,48.7
19,5:09 - 1st) ,PHI 52.4%,591,52.4
20,4:43 - 1st) ,PHI 51.0%,617,51.0
21,4:17 - 1st) ,PHI 50.6%,643,50.6
22,3:35 - 1st) ,PHI 50.3%,685,50.3
23,2:49 - 1st) ,PHI 53.8%,731,53.8
24,2:13 - 1st) ,PHI 56.9%,767,56.9
25,1:32 - 1st) ,PHI 58.4%,808,58.4
26,0:46 - 1st) ,PHI 58.8%,854,58.8
27,15:00 - 2nd),PHI 61.7%,900,61.7
28,14:33 - 2nd),PHI 57.3%,927,57.3
29,14:30 - 2nd),PHI 55.4%,930,55.4
30,13:46 - 2nd),PHI 52.1%,974,52.1
31,12:56 - 2nd),PHI 61.5%,1024,61.5
32,12:24 - 2nd),PHI 62.4%,1056,62.4
33,11:53 - 2nd),PHI 67.0%,1087,67.0
34,11:50 - 2nd),PHI 67.2%,1090,67.2
35,11:37 - 2nd),PHI 68.5%,1103,68.5
36,11:05 - 2nd),PHI 67.5%,1135,67.5
37,10:22 - 2nd),PHI 66.0%,1178,66.0
38,10:12 - 2nd),PHI 62.3%,1188,62.3
39,10:04 - 2nd),PHI 64.2%,1196,64.2
40,9:52 - 2nd) ,PHI 67.2%,1208,67.2
41,9:44 - 2nd) ,PHI 68.7%,1216,68.7
42,9:15 - 2nd) ,PHI 70.5%,1245,70.5
43,8:48 - 2nd) ,PHI 69.7%,1272,69.7
44,8:25 - 2nd) ,PHI 68.5%,1295,68.5
45,8:19 - 2nd) ,PHI 75.9%,1301,75.9
46,7:56 - 2nd) ,PHI 71.8%,1324,71.8
47,7:52 - 2nd) ,PHI 72.1%,1328,72.1
48,7:34 - 2nd) ,PHI 77.8%,1346,77.8
49,7:00 - 2nd) ,PHI 78.8%,1380,78.8
50,6:26 - 2nd) ,PHI 91.6%,1414,91.6
51,5:54 - 2nd) ,PHI 90.9%,1446,90.9
52,5:20 - 2nd) ,PHI 88.3%,1480,88.3
53,4:39 - 2nd) ,PHI 88.3%,1521,88.3
54,4:34 - 2nd) ,PHI 87.0%,1526,87.0
55,3:59 - 2nd) ,PHI 84.7%,1561,84.7
56,3:20 - 2nd) ,PHI 84.8%,1600,84.8
57,2:44 - 2nd) ,PHI 85.4%,1636,85.4
58,2:03 - 2nd) ,PHI 88.3%,1677,88.3
59,1:55 - 2nd) ,PHI 80.7%,1685,80.7
60,1:51 - 2nd) ,PHI 79.9%,1689,79.9
61,1:27 - 2nd) ,PHI 82.1%,1713,82.1
62,0:58 - 2nd) ,PHI 80.5%,1742,80.5
63,0:54 - 2nd) ,PHI 81.7%,1746,81.7
64,0:46 - 2nd) ,PHI 89.0%,1754,89.0
65,0:19 - 2nd) ,PHI 87.0%,1781,87.0
66,0:11 - 2nd) ,PHI 86.5%,1789,86.5
67,15:00 - 3rd),PHI 87.7%,1800,87.7
68,14:53 - 3rd),PHI 84.3%,1807,84.3
69,14:18 - 3rd),PHI 84.1%,1842,84.1
70,13:32 - 3rd),PHI 86.7%,1888,86.7
71,13:05 - 3rd),PHI 86.5%,1915,86.5
72,12:39 - 3rd),PHI 86.3%,1941,86.3
73,11:55 - 3rd),PHI 88.6%,1985,88.6
74,11:34 - 3rd),PHI 92.0%,2006,92.0
