,raw_time,raw_win_pct,clean_time,SEA_win_pct
0,14:18 - 1st),DET 65.5%,42,34.5
1,13:48 - 1st),DET 64.3%,72,35.7
2,13:12 - 1st),DET 64.0%,108,36.0
3,12:30 - 1st),DET 61.2%,150,38.8
4,11:49 - 1st),DET 60.5%,191,39.5
5,11:17 - 1st),DET 62.0%,223,38.0
6,11:11 - 1st),DET 57.6%,229,42.4
7,10:30 - 1st),DET 59.5%,270,40.5
8,9:48 - 1st) ,DET 55.6%,312,44.4
9,9:30 - 1st) ,DET 52.7%,330,47.3
10,8:49 - 1st) ,DET 57.0%,371,43.0
11,8:24 - 1st) ,SEA 51.3%,396,51.3
12,8:16 - 1st) ,SEA 52.7%,404,52.7
13,7:46 - 1st) ,SEA 54.1%,434,54.1
14,7:41 - 1st) ,SEA 56.2%,439,56.2
15,7:05 - 1st) ,DET 54.6%,475,45.4
16,6:47 - 1st) ,DET 58.3%,493,41.7
17,6:17 - 1st) ,DET 54.8%,523,45.2
18,5:41 - 1st) ,SEA 52.0%,559,52.0
19,5:12 - 1st) ,DET 51.5%,588,48.5
20,4:35 - 1st) ,SEA 55.3%,625,55.3
21,4:26 - 1st) ,SEA 56.8%,634,56.8
22,3:51 - 1st) ,SEA 57.2%,669,57.2
23,3:12 - 1st) ,SEA 60.4%,708,60.4
24,3:07 - 1st) ,SEA 60.7%,713,60.7
25,2:23 - 1st) ,SEA 56.4%,757,56.4
26,1:46 - 1st) ,SEA 56.7%,794,56.7
27,1:25 - 1st) ,SEA 53.3%,815,53.3
28,0:49 - 1st) ,SEA 56.6%,851,56.6
29,0:15 - 1st) ,SEA 56.2%,885,56.2
30,15:00 - 2nd),DET 50.0%,900,50.0
31,14:23 - 2nd),SEA 53.7%,937,53.7
32,14:00 - 2nd),SEA 54.2%,960,54.2
33,13:22 - 2nd),SEA 53.7%,998,53.7
34,13:07 - 2nd),SEA 50.8%,1013,50.8
35,12:32 - 2nd),SEA 52.7%,1048,52.7
36,12:07 - 2nd),SEA 57.2%,1073,57.2
37,11:27 - 2nd),SEA 59.8%,1113,59.8
38,10:48 - 2nd),SEA 58.4%,1152,58.4
39,10:42 - 2nd),SEA 55.1%,1158,55.1
40,10:06 - 2nd),SEA 52.6%,1194,52.6
41,9:17 - 2nd) ,SEA 52.6%,1243,52.6
42,9:08 - 2nd) ,SEA 61.4%,1252,61.4
