,raw_time,raw_win_pct,clean_time,WSH_win_pct
0,14:35 - 1st),WSH 56.2%,25,56.2
1,14:21 - 1st),WSH 61.7%,39,61.7
2,13:45 - 1st),WSH 59.4%,75,59.4
3,13:35 - 1st),WSH 58.0%,85,58.0
4,13:05 - 1st),WSH 57.0%,115,57.0
5,12:21 - 1st),WSH 54.8%,159,54.8
6,11:43 - 1st),WSH 55.4%,197,55.4
7,11:32 - 1st),WSH 56.8%,208,56.8
8,10:55 - 1st),WSH 57.5%,245,57.5
9,10:18 - 1st),DET 53.3%,282,46.7
10,9:35 - 1st) ,DET 54.4%,325,45.6
11,8:56 - 1st) ,DET 50.1%,364,49.9
12,8:51 - 1st) ,WSH 51.2%,369,51.2
13,8:06 - 1st) ,DET 50.8%,414,49.2
14,7:55 - 1st) ,DET 54.3%,425,45.7
15,7:10 - 1st) ,DET 56.0%,470,44.0
16,6:32 - 1st) ,DET 56.1%,508,43.9
17,6:22 - 1st) ,DET 63.0%,518,37.0
18,5:31 - 1st) ,DET 62.7%,569,37.3
19,4:50 - 1st) ,DET 61.2%,610,38.8
20,4:11 - 1st) ,DET 58.6%,649,41.4
21,4:01 - 1st) ,DET 54.3%,659,45.7
22,3:17 - 1st) ,DET 65.6%,703,34.400000000000006
23,3:07 - 1st) ,DET 68.1%,713,31.900000000000006
24,2:25 - 1st) ,DET 65.8%,755,34.2
25,2:22 - 1st) ,DET 65.1%,758,34.900000000000006
26,1:40 - 1st) ,DET 75.1%,800,24.900000000000006
27,1:36 - 1st) ,DET 76.1%,804,23.900000000000006
28,0:53 - 1st) ,DET 77.3%,847,22.700000000000003
29,0:15 - 1st) ,DET 78.9%,885,21.099999999999994
30,0:10 - 1st) ,DET 79.0%,890,21.0
31,15:00 - 2nd),DET 80.0%,900,20.0
32,14:52 - 2nd),DET 79.6%,908,20.400000000000006
33,14:08 - 2nd),DET 78.8%,952,21.200000000000003
34,13:47 - 2nd),DET 81.3%,973,18.700000000000003
