,raw_time,raw_win_pct,clean_time,NE_win_pct
0,14:30 - 1st),GB 89.0%,30,11.0
1,13:51 - 1st),GB 89.2%,69,10.799999999999997
2,13:15 - 1st),GB 87.9%,105,12.099999999999994
3,12:32 - 1st),GB 88.3%,148,11.700000000000003
4,11:50 - 1st),GB 84.4%,190,15.599999999999994
5,11:19 - 1st),GB 84.3%,221,15.700000000000003
6,11:08 - 1st),GB 85.5%,232,14.5
7,10:31 - 1st),GB 86.0%,269,14.0
8,9:53 - 1st) ,GB 86.7%,307,13.299999999999997
9,9:45 - 1st) ,GB 87.4%,315,12.599999999999994
10,8:59 - 1st) ,GB 81.5%,361,18.5
11,8:52 - 1st) ,GB 82.3%,368,17.700000000000003
12,8:16 - 1st) ,GB 82.5%,404,17.5
13,7:36 - 1st) ,GB 79.4%,444,20.599999999999994
14,6:59 - 1st) ,GB 80.2%,481,19.799999999999997
15,5:53 - 1st) ,GB 81.3%,547,18.700000000000003
16,5:45 - 1st) ,GB 83.2%,555,16.799999999999997
17,5:07 - 1st) ,GB 83.2%,593,16.799999999999997
18,5:00 - 1st) ,GB 82.5%,600,17.5
19,4:16 - 1st) ,GB 85.9%,644,14.099999999999994
20,3:52 - 1st) ,GB 84.2%,668,15.799999999999997
21,3:11 - 1st) ,GB 83.0%,709,17.0
22,3:07 - 1st) ,GB 80.9%,713,19.099999999999994
23,2:31 - 1st) ,GB 81.2%,749,18.799999999999997
24,2:25 - 1st) ,GB 82.5%,755,17.5
25,2:05 - 1st) ,GB 83.0%,775,17.0
26,1:19 - 1st) ,GB 83.7%,821,16.299999999999997
27,1:14 - 1st) ,GB 83.8%,826,16.200000000000003
28,1:03 - 1st) ,GB 84.4%,837,15.599999999999994
29,0:23 - 1st) ,GB 85.3%,877,14.700000000000003
30,15:00 - 2nd),GB 83.0%,900,17.0
31,14:21 - 2nd),GB 85.2%,939,14.799999999999997
32,13:43 - 2nd),GB 86.2%,977,13.799999999999997
33,13:00 - 2nd),GB 88.3%,1020,11.700000000000003
34,12:55 - 2nd),GB 88.8%,1025,11.200000000000003
35,12:24 - 2nd),GB 89.2%,1056,10.799999999999997
36,12:08 - 2nd),GB 87.3%,1072,12.700000000000003
37,11:21 - 2nd),GB 88.1%,1119,11.900000000000006
38,10:44 - 2nd),GB 88.4%,1156,11.599999999999994
39,10:40 - 2nd),GB 89.2%,1160,10.799999999999997
40,10:01 - 2nd),GB 88.6%,1199,11.400000000000006
41,9:47 - 2nd) ,GB 87.4%,1213,12.599999999999994
42,9:04 - 2nd) ,GB 86.1%,1256,13.900000000000006
43,8:59 - 2nd) ,GB 87.1%,1261,12.900000000000006
44,8:52 - 2nd) ,GB 87.6%,1268,12.400000000000006
45,8:11 - 2nd) ,GB 85.3%,1309,14.700000000000003
46,7:27 - 2nd) ,GB 85.8%,1353,14.200000000000003
47,7:22 - 2nd) ,GB 85.5%,1358,14.5
48,6:38 - 2nd) ,GB 87.4%,1402,12.599999999999994
49,5:53 - 2nd) ,GB 86.6%,1447,13.400000000000006
50,5:46 - 2nd) ,GB 85.6%,1454,14.400000000000006
51,5:07 - 2nd) ,GB 87.4%,1493,12.599999999999994
52,4:27 - 2nd) ,GB 87.8%,1533,12.200000000000003
53,3:46 - 2nd) ,GB 86.0%,1574,14.0
54,3:34 - 2nd) ,GB 83.1%,1586,16.900000000000006
55,3:22 - 2nd) ,GB 83.4%,1598,16.599999999999994
56,3:15 - 2nd) ,GB 84.8%,1605,15.200000000000003
57,2:34 - 2nd) ,GB 80.9%,1646,19.099999999999994
58,2:00 - 2nd) ,GB 81.4%,1680,18.599999999999994
59,1:13 - 2nd) ,GB 78.3%,1727,21.700000000000003
60,1:04 - 2nd) ,GB 87.0%,1736,13.0
61,0:49 - 2nd) ,GB 85.2%,1751,14.799999999999997
62,0:13 - 2nd) ,GB 69.0%,1787,31.0
63,0:07 - 2nd) ,GB 68.6%,1793,31.400000000000006
64,15:00 - 3rd),GB 71.2%,1800,28.799999999999997
65,14:48 - 3rd),GB 71.4%,1812,28.599999999999994
66,14:04 - 3rd),GB 73.3%,1856,26.700000000000003
67,13:24 - 3rd),GB 73.2%,1896,26.799999999999997
68,12:42 - 3rd),GB 70.5%,1938,29.5
69,12:02 - 3rd),GB 68.4%,1978,31.599999999999994
70,11:16 - 3rd),GB 76.0%,2024,24.0
71,10:40 - 3rd),GB 73.7%,2060,26.299999999999997
72,10:00 - 3rd),GB 72.9%,2100,27.099999999999994
73,9:52 - 3rd) ,GB 68.5%,2108,31.5
74,9:20 - 3rd) ,GB 79.4%,2140,20.599999999999994
75,9:14 - 3rd) ,GB 79.5%,2146,20.5
76,8:32 - 3rd) ,GB 75.6%,2188,24.400000000000006
77,8:07 - 3rd) ,GB 74.2%,2213,25.799999999999997
78,7:30 - 3rd) ,GB 72.0%,2250,28.0
79,6:54 - 3rd) ,GB 73.5%,2286,26.5
80,6:14 - 3rd) ,GB 71.7%,2326,28.299999999999997
81,5:27 - 3rd) ,GB 70.0%,2373,30.0
82,4:52 - 3rd) ,GB 56.8%,2408,43.2
83,4:48 - 3rd) ,GB 60.1%,2412,39.9
84,4:13 - 3rd) ,GB 58.6%,2447,41.4
85,3:34 - 3rd) ,GB 63.1%,2486,36.9
86,2:54 - 3rd) ,GB 65.9%,2526,34.099999999999994
87,2:09 - 3rd) ,GB 66.9%,2571,33.099999999999994
88,1:26 - 3rd) ,GB 62.2%,2614,37.8
89,0:43 - 3rd) ,GB 59.5%,2657,40.5
90,0:10 - 3rd) ,GB 60.2%,2690,39.8
91,14:59 - 4th),GB 56.3%,2701,43.7
92,14:23 - 4th),GB 58.1%,2737,41.9
93,13:46 - 4th),GB 50.1%,2774,49.9
94,13:10 - 4th),GB 50.8%,2810,49.2
95,12:31 - 4th),NE 62.3%,2849,62.3
96,11:52 - 4th),NE 58.1%,2888,58.1
97,11:14 - 4th),NE 74.1%,2926,74.1
98,11:08 - 4th),NE 77.5%,2932,77.5
99,10:31 - 4th),NE 68.1%,2969,68.1
100,9:45 - 4th) ,NE 72.7%,3015,72.7
101,9:04 - 4th) ,NE 66.4%,3056,66.4
102,8:23 - 4th) ,NE 62.4%,3097,62.4
103,7:42 - 4th) ,NE 67.5%,3138,67.5
104,7:04 - 4th) ,NE 70.3%,3176,70.3
105,6:14 - 4th) ,GB 52.7%,3226,47.3
106,6:09 - 4th) ,GB 57.2%,3231,42.8
107,5:23 - 4th) ,GB 59.0%,3277,41.0
108,4:37 - 4th) ,GB 61.0%,3323,39.0
109,3:58 - 4th) ,GB 65.0%,3362,35.0
110,3:44 - 4th) ,GB 59.6%,3376,40.4
111,3:00 - 4th) ,GB 70.7%,3420,29.299999999999997
112,2:56 - 4th) ,GB 65.7%,3424,34.3
113,2:12 - 4th) ,GB 61.0%,3468,39.0
114,2:02 - 4th) ,GB 55.2%,3478,44.8
115,1:52 - 4th) ,NE 50.0%,3488,50.0
116,1:48 - 4th) ,GB 59.0%,3492,41.0
117,1:01 - 4th) ,GB 80.5%,3539,19.5
118,0:14 - 4th) ,GB 52.9%,3586,47.1
119,0:04 - 4th) ,GB 50.2%,3596,49.8
120,0:00 - 4th) ,TIE,3600,50.0
121,10:00 - OT) ,GB 54.7%,3900,45.3
122,9:59 - OT) (,GB 51.0%,3901,49.0
123,9:20 - OT) (,NE 52.7%,3940,52.7
124,8:37 - OT) T,NE 52.7%,3983,52.7
125,8:33 - OT) (,NE 60.0%,3987,60.0
126,8:26 - OT) P,NE 70.6%,3994,70.6
127,8:16 - OT) M,NE 63.6%,4004,63.6
128,7:41 - OT) M,NE 63.6%,4039,63.6
129,7:07 - OT) T,NE 63.6%,4073,63.6
130,7:00 - OT) (,NE 51.4%,4080,51.4
